iteration,min_distance_to_curve,min_epsilon,min_beta,discriminative_need_gamma,population_init_gamma,complexity,accuracy,seed,kl_eb,eu_gamma,min_gnid,gnid_beta
1.0,0.1462285590255173,0.2044224482921636,1.0013131313131314,1.0,,0.2729989183419814,0.0682918881749827,6,0.3460190233414514,0.0176785429417091,0.951717878424258,1.0007575757575755
2.0,0.0175022934058791,0.0164723357410025,1.001010101010101,1.0,,0.0901551390557333,0.0736126502419427,6,0.0037247530671919,0.0193760347573134,0.8465306013720222,1.0007070707070709
3.0,0.0183799327607928,0.0233271011831159,1.0012626262626263,1.0,,0.2245542001985914,0.2010043255750577,6,0.0030458221828506,0.0226636423081245,0.7621363394115965,1.000858585858586
4.0,0.0320333464738087,0.0447487580667695,1.0024242424242424,1.0,,0.6076344914604874,0.5620269282608561,6,0.0047535357088615,0.0339757523627962,0.7126955186122197,1.001060606060606
5.0,0.0592175629928757,0.0833055867299546,1.0105555555555554,1.0,,1.4833903597127982,1.3943606377978297,6,0.012761299321845,0.0724134402155168,0.596020445327663,1.0028282828282828
6.0,0.0767674896714091,0.1054122008858485,1.0637688442211055,1.0,,2.6801776442171796,2.5346096806495737,6,0.039110667984872,0.1485573457614235,0.2110019849066863,1.023939393939394
7.0,0.0563522276670598,0.0699725608226017,1.1914572864321609,1.0,,3.4371198454300007,3.2491142958117916,6,0.0558738433510255,0.2095111905229682,0.0346232123170762,1.128140703517588
8.0,0.0265078184563916,0.0333114523652258,1.2969849246231155,1.0,,3.7514489836646945,3.539442048221801,6,0.0567197533089224,0.2402761848003745,0.0081267158144574,1.2618090452261308
9.0,0.0141334092274297,0.014885905790851,1.3603015075376883,1.0,,3.8850378279100433,3.6584922553267383,6,0.0534628354589759,0.2550590152408873,0.0047280151840701,1.3462311557788946
10.0,0.0070159962597879,0.0067080523027962,1.3954773869346735,1.0,,3.95090569256328,3.714494968873648,6,0.0500380551140401,0.2626988201477193,0.0028333380869165,1.3954773869346735
11.0,0.0057900399039538,0.0035572104876766,1.4165829145728643,1.0,,3.9855204667896102,3.742281279263004,6,0.0480426374975838,0.2667762712981171,0.0017559759936072,1.4165829145728643
12.0,0.0060402026703559,0.0022709088632916,1.4306532663316585,1.0,,4.005505129064627,3.7576343843100872,6,0.0470440803501117,0.2691431156680902,0.0016872180231578,1.4306532663316585
13.0,0.0069357908461429,0.001618027158521,1.4376884422110554,1.0,,4.017927621726249,3.766967233590897,6,0.0464947530391955,0.270628469261005,0.0013270673811948,1.4376884422110554
14.0,0.0034044685651785,0.0012062915966279,1.4376884422110554,1.0,,4.025997102387073,3.7729917851314823,6,0.0461548182333889,0.2715969149582373,0.0013041023702147,1.4376884422110554
15.0,0.0038974326158098,0.0009376578685397,1.4447236180904524,1.0,,4.031292084192938,3.7769334121148574,6,0.0459287073285442,0.2722343861338548,0.0008179730562345,1.4447236180904524
16.0,0.000831544629601,0.0007591311011642,1.4447236180904524,1.0,,4.034801600534346,3.779541134541155,6,0.0457712881704389,0.272658960791127,0.0006623435486063,1.4447236180904524
