,complexity,accuracy,distortion,mse,gNID,eps,beta,run,discr_need
0,3.0648766831149974,3.0614807675381996,3.76318696182768,190.52187691823084,,,,0,10.0
1,3.0649280391407565,3.061531851950462,3.763135877415417,190.50942570698473,,,,1,10.0
2,3.064846290611051,3.0614505607814433,3.763217168584436,190.52850478972545,,,,2,10.0
3,3.0649251456760975,3.061528982269863,3.7631387470960167,190.50938084712217,,,,3,10.0
4,3.0648915169545106,3.0614955305484113,3.763172198817468,190.51776595100503,,,,4,10.0
5,3.064962238229171,3.0615658713745155,3.763101857991364,190.501011302068,,,,5,10.0
6,3.064934928055429,3.061538639087365,3.7631290902785146,190.5102249864035,,,,6,10.0
7,3.01082028023054,3.0076380096175157,3.817029719748364,206.27000633406988,,,,7,10.0
0,3.0621946801379423,3.058812871106511,3.765854858259369,191.18793576273887,,,,0,0.0
1,3.0622195642912953,3.0588376619210624,3.765830067444817,191.1801071356702,,,,1,0.0
2,3.062264586969688,3.058882444764908,3.7657852846009714,191.1693501412899,,,,2,0.0
3,3.0622470540667166,3.0588650191373503,3.765802710228529,191.17347941097108,,,,3,0.0
4,3.0622154337868377,3.0588335742544963,3.765834155111383,191.18130246100625,,,,4,0.0
5,3.062268975423871,3.058886777050972,3.7657809523149073,191.1691375156997,,,,5,0.0
6,3.062202837367799,3.0588210161467124,3.765846713219167,191.1861266186299,,,,6,0.0
7,3.057106491877681,3.053748209929406,3.7709195194364735,192.5902941347937,,,,7,0.0
0,3.0649095617955826,3.0615134726994153,3.763154256666464,190.51377750902697,,,,0,1.0
1,3.064906381799821,3.061510315708908,3.763157413656971,190.51433855258608,,,,1,1.0
2,3.064884967217356,3.061489033121722,3.763178696244158,190.5190513007302,,,,2,1.0
3,3.064903706565941,3.061507657346654,3.7631600720192258,190.51484669723885,,,,3,1.0
4,3.0648885678822264,3.0614926286369,3.7631751007289793,190.51823874542737,,,,4,1.0
5,3.064883157607815,3.0614872237203947,3.763180505645485,190.51968045686735,,,,5,1.0
