,complexity,accuracy,distortion,mse,gNID,eps,beta,run,discr_need,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0
0,1.3598638,1.1674867,0.74454117,2.6668794,0.0016095850111885,-0.0094599584117531,1.0419546365737915,0,0.0,,,
1,1.3592215,1.1670656,0.7449622,2.6684937,0.0014419483545479,-0.0057102409191429,1.0319679975509644,1,0.0,,,
2,1.3598127,1.1674552,0.74457264,2.6669836,0.0016017939544971,-0.0094787208363413,1.0419546365737915,2,0.0,,,
3,1.3579631,1.1662512,0.74577665,2.6713676,0.001100174272935,-0.0061408863402903,1.0319679975509644,3,0.0,,,
4,1.3583527,1.1665044,0.74552345,2.6703832,0.0012409004372404,-0.0060087353922426,1.0319679975509644,4,0.0,,,
5,1.3532705,1.1631923,0.74883556,2.6824572,0.0012208616580527,-0.0047979489900171,1.0286390781402588,5,0.0,,,
6,1.3583474,1.166501,0.7455268,2.67049,0.0011988283538494,-0.0060110460035502,1.0319679975509644,6,0.0,,,
7,1.357986,1.166265,0.7457628,2.6712403,0.0011416784260465,-0.0061321072280406,1.0319679975509644,7,0.0,,,
0,1.5260682,1.2743344,0.6376929,2.2930458,0.0007742674275978,-0.0003362949937582,1.1251767873764038,0,1.0,,,
1,1.5206742,1.2710958,0.6409321,2.3039289,0.0018532751573948,-0.0022704435978084,1.1285057067871094,1,1.0,,,
2,1.5176573,1.26899,0.6430378,2.3135335,0.0007863747865605,-0.0009110543760471,1.1151901483535769,2,1.0,,,
3,1.5152397,1.2678366,0.64419127,2.3148699,0.0011939404479495,-7.930620631668717e-05,1.1218478679656982,3,1.0,,,
4,1.4566898,1.2308617,0.6811657,2.4437256,0.0044566849439325,-0.0058562718331813,1.0885590314865112,4,1.0,,,
5,0.8498409,0.76271725,1.1493111,4.854872,0.1133229627753718,-0.0197929181158542,0.8821681141853333,5,1.0,,,
6,1.4510369,1.2271938,0.684834,2.456946,0.0060669104988889,-0.003165784291923,1.0852301120758057,6,1.0,,,
7,1.2563984,1.0890758,0.82295156,3.0180244,0.0297161667368873,-0.0116114243865013,1.005336880683899,7,1.0,,,
0,0.97667074,0.88090086,1.031127,4.081272,0.0023667130812924,-0.0099917827174067,0.8821681141853333,0,-1.0,,,
1,0.976676,0.8809061,1.0311217,4.081248,0.0023637015419691,-0.0099912416189908,0.8821681141853333,1,-1.0,,,
2,0.9766698,0.88090086,1.031127,4.081274,0.0023669354385655,-0.0099923228845,0.8821681141853333,2,-1.0,,,
3,0.9766655,0.88089705,1.0311308,4.0812926,0.0023692183111003,-0.0099939443171024,0.8821681141853333,3,-1.0,,,
4,0.9766674,0.8808994,1.0311284,4.0812836,0.0023681061330476,-0.0099939443171024,0.8821681141853333,4,-1.0,,,
5,0.97666645,0.880898,1.0311298,4.0812874,0.0023686196168228,-0.0099934041500091,0.8821681141853333,5,-1.0,,,
6,0.97666836,0.8808994,1.0311284,4.08128,0.0023677320147831,-0.0099923228845,0.8821681141853333,6,-1.0,,,
7,0.9766693,0.88090086,1.031127,4.0812736,0.0023669295838431,-0.0099928630515933,0.8821681141853333,7,-1.0,,,
0,1.5260925,1.2743492,0.6376786,2.292996,-0.000398523690543,0.0224262904375791,1.0918879252835223,0,1.0,0.0,0.0,0.0
