,complexity,accuracy,distortion,mse,gNID,eps,beta,run,discr_need,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0
1,1.5261106,1.2743587,0.6376686,2.2929628,-0.0004065057882809,0.0224333480000495,1.0918879252835223,1,1.0,1.0,1.0,1.0
2,1.5260835,1.274344,0.63768387,2.2930155,-0.0003950508691346,0.0224232375621795,1.0918879252835223,2,1.0,2.0,2.0,2.0
3,1.5107327,1.264987,0.64704037,2.3259509,0.00064397150805,0.0148667683824896,1.088559039359573,3,1.0,3.0,3.0,3.0
4,1.5058727,1.262044,0.6499839,2.3360157,-0.0004282634679626,0.0133457351475954,1.088559039359573,4,1.0,4.0,4.0,4.0
5,1.2563982,1.089076,0.8229518,3.0180244,0.0093848527183503,0.0017246428178623,0.9920213475650432,5,1.0,5.0,5.0,5.0
6,1.5018215,1.2593222,0.65270567,2.3459926,-0.001508598041028,0.0176581349223852,1.0785723815877253,6,1.0,6.0,6.0,6.0
7,0.8498409,0.76271725,1.1493101,4.8548727,0.1087554804894754,-0.0187227316200733,0.8721814543028686,7,1.0,7.0,7.0,7.0
0,4.7683716e-07,0.0,1.9120278,16.399998,0.9633588418364524,-9.935735579347238e-05,0.446084052324295,0,-3.0,,,
1,1.9073486e-06,9.536743e-07,1.9120264,16.39998,0.9999821113779748,-0.0026537049561738,0.6424883008003235,1,-3.0,,,
2,0.00012588501,0.0001206398,1.9119072,16.397318,0.7372219073440409,-0.0001072703526006,0.4527418315410614,2,-3.0,,,
3,0.0005145073,0.00048971176,1.9115381,16.389046,0.2615205734349966,-6.408829358406365e-05,0.4527418315410614,3,-3.0,,,
4,0.00045347214,0.00043153763,1.9115963,16.390354,0.5167419947683811,-9.932006651069968e-05,0.4627285003662109,4,-3.0,,,
5,0.00082445145,0.0007843971,1.9112434,16.382458,0.3352036932483315,-0.0001113352627726,0.4760440289974212,5,-3.0,,,
6,0.00068712234,0.0006532669,1.9113736,16.38538,-0.0538821299517178,-4.302387606003322e-05,0.4527418315410614,6,-3.0,,,
7,0.0004658699,0.00044250488,1.9115853,16.390097,-inf,6.376190867740661e-05,0.3062708377838135,7,-3.0,,,
0,1.5261797904968262,1.2744007110595703,0.637627124786377,2.2928245067596436,0.000732063337167,-0.0002969811030197,1.1251767873764038,0,3.0,,,
1,1.5206975936889648,1.2711105346679688,0.6409173011779785,2.3038792610168457,0.0019862051135384,-0.0022630372550338,1.1285057067871094,1,3.0,,,
2,1.5261688232421875,1.274394989013672,0.637631893157959,2.2928459644317627,0.0007362213380728,-0.0003009747888427,1.1251767873764038,2,3.0,,,
3,1.5152602195739746,1.267850399017334,0.6441774368286133,2.314819574356079,0.001183829529657,-7.299223216250539e-05,1.1218478679656982,3,3.0,,,
4,1.4510610103607178,1.2272100448608398,0.6848177909851074,2.456883430480957,0.0060617414895881,-0.0031586529221385,1.0852301120758057,4,3.0,,,
5,2.384185791015625e-07,0.0,1.9120278358459473,16.39999771118164,-7.8969120101156385,-2.456871879985556e-05,0.3362308144569397,5,3.0,,,
6,5.3744577677150587e-08,2.9668706602592465e-08,1.9120278061772409,16.399996615172935,-7.8969116425415535,-2.456871879985556e-05,0.3362308144569397,6,3.0,,,
7,0.0,0.0,1.912027881419654,16.399997695541973,-7.8969116425415535,-2.456871879985556e-05,0.3362308144569397,7,3.0,,,
0,1.522169589996338,1.2720136642456057,0.6400141716003418,2.3007097244262695,0.0013626101997159,-0.0017592866206541,1.1285057067871094,0,2.0,,,
1,1.5261263847351074,1.274369239807129,0.6376585960388184,2.292929410934448,0.0007520810080086,-0.0003160482447128,1.1251767873764038,1,2.0,,,
2,1.5261578559875488,1.274388313293457,0.637639045715332,2.2928669452667236,0.0007400161731702,-0.0003047621285077,1.1251767873764038,2,2.0,,,
3,1.5152597427368164,1.2678489685058594,0.6441788673400879,2.3148207664489746,0.0011841529552822,-7.362129690591246e-05,1.1218478679656982,3,2.0,,,
4,1.4607877731323242,1.2335233688354492,0.678504467010498,2.434049367904663,0.0028459446713894,-0.0045370757579803,1.0885590314865112,4,2.0,,,
5,1.2564043998718262,1.0890796184539795,0.8229482173919678,3.0180182456970215,0.0297228207364261,-0.0116094583645462,1.005336880683899,5,2.0,,,
6,0.0,2.384185791015625e-07,1.912027597427368,16.39999771118164,-7.896912377689723,-2.456871879985556e-05,0.3362308144569397,6,2.0,,,
7,0.0,0.0,1.9120278706707348,16.399997688099003,-7.8969116425415535,-2.456871879985556e-05,0.3362308144569397,7,2.0,,,
0,0.4888196,0.45905352,1.4529743,7.999147,0.0281696265873842,-0.0077611985616385,0.7823015451431274,0,-2.0,,,
1,0.48875713,0.45900536,1.4530225,7.998657,0.0281670211736442,-0.0077794846147298,0.7823015451431274,1,-2.0,,,
2,0.4887123,0.45897007,1.4530573,7.9985185,0.0281532010099809,-0.0077916751615703,0.7823015451431274,2,-2.0,,,
3,0.48871374,0.45897055,1.4530573,7.9985204,0.028151191685513,-0.007789846509695,0.7823015451431274,3,-2.0,,,
4,0.4887128,0.45897055,1.4530573,7.998519,0.0281524581993116,-0.0077910656109452,0.7823015451431274,4,-2.0,,,
5,0.48872185,0.45897675,1.4530511,7.998568,0.0281544672938313,-0.0077880178578197,0.7823015451431274,5,-2.0,,,
6,0.4887128,0.45896912,1.4530587,7.998513,0.0281532072120899,-0.007789846509695,0.7823015451431274,6,-2.0,,,
7,0.4887209,0.45897627,1.4530506,7.9985642,0.0281586021973881,-0.0077880178578197,0.7823015451431274,7,-2.0,,,
