,complexity,accuracy,distortion,mse,trial,discr_need
0,6.311741828918457,0.5660724639892578,8.296966552734375e-05,0.1798212230205536,0,0.0
1,6.3638458251953125,0.5660877227783203,6.67572021484375e-05,0.1400011479854583,1,0.0
2,6.254887580871582,0.5660514831542969,0.0001029968261718,0.2237117290496826,2,0.0
3,6.346107006072998,0.5660800933837891,7.43865966796875e-05,0.1942160129547119,3,0.0
4,4.760630052611944,0.2930732180757829,0.2730812619046858,751.8331833388936,4,0.0
5,1.407651496680602,0.0750287736556387,0.49112570632483,1403.690870795782,5,0.0
6,1.3816964474722333,0.0688790270787116,0.4972754529017571,1444.5599176983478,6,0.0
7,1.4525922490536676,0.0893131618589659,0.4768413181215027,1349.9503326553945,7,0.0
0,6.396307945251465,0.4995174407958984,0.0666370391845703,210.79331970214844,0,1.0
1,6.41630744934082,0.4851341247558594,0.0810203552246093,265.5433349609375,1,1.0
2,6.383855819702148,0.5073947906494141,0.0587596893310546,192.34999084472656,2,1.0
3,6.236321449279785,0.4864015579223633,0.0797529220581054,230.41799926757812,3,1.0
4,3.5166171246197333,0.1989934319216146,0.3671610480588541,1016.628416224867,4,1.0
5,0.6115682962548945,0.0286612720246672,0.5374932079558015,1567.6104223186678,5,1.0
6,0.3662230434704145,0.0146098272267689,0.5515446527536998,1619.845298958415,6,1.0
7,0.1828506786242218,0.0093613131109187,0.55679316686955,1632.3806198021966,7,1.0
0,6.195937156677246,0.5660314559936523,0.0001230239868164,0.303116112947464,0,-1.0
1,6.359772682189941,0.5660886764526367,6.580352783203125e-05,0.1410459727048874,1,-1.0
2,6.237457275390625,0.566070556640625,8.392333984375e-05,0.1990111023187637,2,-1.0
3,6.262114524841309,0.566065788269043,8.869171142578125e-05,0.1883406043052673,3,-1.0
4,5.540171548769669,0.4295048702657329,0.1366496097147358,354.343389265844,4,-1.0
5,3.720324207096336,0.1809071172411371,0.3852473627393316,1140.936638167192,5,-1.0
6,3.316447930792087,0.1746488843708853,0.3915055956095834,1111.4897663492395,6,-1.0
7,2.7995756978114077,0.1278610425732171,0.4382934374072516,1276.1540304312412,7,-1.0
0,6.383856296539307,0.5122766494750977,0.053877830505371,161.39999389648438,0,1.0
1,6.4638566970825195,0.5080690383911133,0.0580854415893554,221.15997314453125,1,1.0
2,6.363855361938477,0.4925432205200195,0.0736112594604492,235.7049865722656,2,1.0
3,6.243775844573975,0.4671964645385742,0.0989580154418945,317.4593811035156,3,1.0
4,3.290594831432598,0.179000296246123,0.3871541837343457,1099.9919884523192,4,1.0
5,0.5501385318184688,0.0230193782708685,0.5431351017096002,1591.1465246065434,5,1.0
6,0.5421955015422846,0.0308099379285895,0.5353445420518792,1554.0298734920734,6,1.0
7,0.4808745446829299,0.0293728841574427,0.536781595823026,1557.9902001953033,7,1.0
0,3.5212793,0.56099415,0.0051603317,13.6490755,0,-3.0
1,3.642786,0.5621853,0.0039691925,9.984929,1,-3.0
2,4.143956,0.563179,0.0029754639,6.9168015,2,-3.0
3,5.8403254,0.56148624,0.004668236,9.920423,3,-3.0
4,5.952497,0.50996304,0.056191444,132.35933,4,-3.0
5,6.0110135,0.4033432,0.16281128,475.69995,5,-3.0
6,5.918562,0.37247753,0.19367695,616.8433,6,-3.0
7,5.7273674,0.37757015,0.18858433,531.6406,7,-3.0
0,6.443854808807373,0.4911956787109375,0.0749588012695312,243.55999755859375,0,3.0
1,6.40385627746582,0.4902057647705078,0.0759487152099609,237.5500030517578,1,3.0
2,6.4638566970825195,0.5178251266479492,0.0483293533325195,128.92999267578125,2,3.0
3,6.221208572387695,0.4800577163696289,0.0860967636108398,227.7833251953125,3,3.0
4,1.6254959661963504,0.0631381297405724,0.5030163502398963,1463.8642518162246,4,3.0
5,0.0608935654355651,0.0056207799288152,0.5605337000516535,1641.874295402595,5,3.0
6,0.1218435480771198,0.0053925927335818,0.5607618872468869,1647.9493855846108,6,3.0
7,8.733492862234017e-08,9.832158909262034e-08,0.5661543816588797,1666.4998960564872,7,3.0
0,6.38385534286499,0.4956636428833008,0.0704908370971679,219.28997802734375,0,2.0
1,6.403857231140137,0.5015573501586914,0.0645971298217773,183.5599822998047,1,2.0
2,6.328758716583252,0.4975614547729492,0.0685930252075195,205.07666015625,2,2.0
3,6.236555576324463,0.4535274505615234,0.1126270294189453,327.02154541015625,3,2.0
4,1.4076473285006852,0.0643408449457805,0.5018136350346882,1455.2955423532944,4,2.0
5,0.0608936177748358,0.0020678163789984,0.5640866636014703,1660.467205545157,5,2.0
6,6.718071432487704e-08,7.816737124244355e-08,0.5661544018130975,1666.4999196743615,6,2.0
7,7.121156109235471e-08,8.219821623356438e-08,0.5661543977822525,1666.4999157651348,7,2.0
0,5.15048,0.5655699,0.00058460236,1.5651352,0,-2.0
1,5.2874455,0.56574917,0.00040531158,0.9519384,1,-2.0
2,5.4178104,0.5657797,0.000374794,0.82845736,2,-2.0
3,5.925756,0.56555176,0.00060272217,1.4057834,3,-2.0
4,5.931921,0.50890255,0.05725193,192.18697,4,-2.0
5,5.866105,0.4112177,0.15493679,455.65344,5,-2.0
6,5.8985634,0.39689445,0.16926003,494.62662,6,-2.0
7,5.8083677,0.31942844,0.24672604,757.4317,7,-2.0
