,complexity,accuracy,distortion,mse,gNID,eps,beta,run,discr_need
0,7.28924202320893,5.7489734938853605,1.075694235480519,7268.649831979724,,,,0,10.0
1,8.103428621417457,6.567785354407729,0.2568823749581508,2970.2656276415264,,,,1,10.0
2,8.133731653130768,6.596745936589805,0.2279217927760743,2128.6113379069157,,,,2,10.0
3,8.103428616495851,6.561842234177602,0.2628254951882773,2392.7618967957924,,,,3,10.0
4,8.129156573585108,6.587502081423045,0.2371656479428345,1789.8855967724858,,,,4,10.0
5,8.12915656446443,6.587875411135526,0.2367923182303535,1998.0628542745012,,,,5,10.0
6,8.064777448863435,6.523191056684768,0.3014766726811118,2921.838754705296,,,,6,10.0
7,2.461311376653999,2.1035078110133494,4.72115991835253,14133.862029784525,,,,7,10.0
0,7.750112350055469,6.6206378468376315,0.204029882528248,1.3997940990601236,,,,0,0.0
1,7.979432188993526,6.7061083351760065,0.118559394189873,1.2104662905913388,,,,1,0.0
2,7.98538776510647,6.708852282313659,0.1158154470522205,1.204569148087984,,,,2,0.0
3,8.016940630873842,6.717290026335517,0.1073777030303624,1.191447658542507,,,,3,0.0
4,8.040855460659019,6.728817520946739,0.0958502084191401,1.161887906643612,,,,4,0.0
5,8.043926420521718,6.727407966023305,0.0972597633425742,1.1696472249198535,,,,5,0.0
6,8.083603051842967,6.741505182117855,0.0831625472480244,1.1400258337535774,,,,6,0.0
7,6.28818330517308,5.504444659003669,1.3202230703622106,3072.3572607666065,,,,7,0.0
0,6.745279282665207,5.227408518819248,1.597259210546632,9270.566053731513,,,,0,1.0
1,8.125383502779309,6.583729007771202,0.2409387215946772,2595.187571436222,,,,1,1.0
2,8.121610376621977,6.5799563126038585,0.244711416762021,2148.369438337286,,,,2,1.0
3,8.115549835066105,6.578190775749265,0.2464769536166144,1791.9218268030197,,,,3,1.0
4,8.113262296672524,6.575107493310133,0.2495602360557463,2282.2798684879463,,,,4,1.0
5,8.133731652789049,6.593793378095956,0.2308743512699234,1670.9359532979545,,,,5,1.0
