,complexity,accuracy,distortion,mse,gNID,eps,beta,run,discr_need
0,2.920376,1.8204823,0.09154558,0.98749816,0.0405538583088581,-0.0332225486636161,3.282294750213623,0,0.0
1,3.1201375,1.8661661,0.04586172,0.936847,0.0265639687440213,-0.0144260134547948,3.911454200744629,1,0.0
2,3.1193492,1.8542333,0.05779457,0.98998404,0.0343022180187503,-0.0113196782767772,3.9014675617218018,2,0.0
3,2.813246,1.7283664,0.18366146,1.2881446,0.0851930952502911,-0.0133611653000116,2.9826951026916504,3,0.0
4,2.6354923,1.6885352,0.22349215,1.2825644,0.0988257092760169,-0.0359572581946849,2.769646406173706,4,0.0
5,2.5087056,1.7016821,0.21034575,1.1928815,0.0771633690222193,-0.066096231341362,2.6165177822113037,5,0.0
6,2.4379578,1.6301622,0.2818656,1.3845956,0.1279562893696074,-0.0519709773361682,2.523308753967285,6,0.0
7,1.6624141,1.2477479,0.66427994,2.8252892,0.14865882144197,-0.0101801715791225,1.4647231101989746,7,0.0
0,3.1201115,1.7119136,0.20011425,5.297954,0.0369092194701866,0.0250034518539905,3.911454200744629,0,1.0
1,2.9205816,1.6537971,0.2582302,3.5059552,0.076704984235292,0.0176230203360319,3.282294750213623,1,1.0
2,3.1204052,1.7685447,0.14348316,1.2885796,0.0366550800133059,0.0106004597619175,3.911454200744629,2,1.0
3,2.8464549,1.6359172,0.27611065,2.0826986,0.0816506619717649,0.0296607296913862,2.9793663024902344,3,1.0
4,2.4679968,1.6726208,0.23940706,1.2845781,0.1066405284983832,-0.0521504618227481,2.506664514541626,4,1.0
5,1.713614,1.2962148,0.615813,2.419556,0.1331778483871623,-0.0083142956718802,1.4647231101989746,5,1.0
6,0.5515835,0.43533683,1.476691,10.356422,0.4655179774159051,0.0686050578951835,0.81891930103302,6,1.0
7,0.96625805,0.8014753,1.1105521,4.9658623,0.2689314804602423,-0.0250938851386308,1.015323519706726,7,1.0
0,2.597733,1.696693,0.21533489,1.2330881,0.060884625640958,-0.0336858741939067,2.649806499481201,0,-1.0
1,2.9136834,1.8196406,0.0923872,0.98872703,0.0394307433510701,-0.0332761034369468,3.2523348331451416,1,-1.0
2,3.1124136,1.8652482,0.046779633,0.9381283,0.0257651918160157,-0.0145144499838352,3.838218927383423,2,-1.0
3,2.6999917,1.7594056,0.15262222,1.0925546,0.0527690763084446,-0.0443345047533512,2.819579601287842,3,-1.0
4,2.2702863,1.5112181,0.40080976,1.8375605,0.1476514271064148,-0.0248706806451082,2.2736425399780273,4,-1.0
5,2.1100807,1.4727163,0.4393115,1.8798131,0.1382754329292322,-0.0538332685828208,2.1671180725097656,5,-1.0
6,1.9676151,1.4636042,0.44842362,1.7358619,0.131914204278525,-0.0852546021342277,2.010660409927368,6,-1.0
7,2.4096754,1.6655273,0.24650002,1.2804754,0.0861939560429063,-0.0436032116413116,2.3368911743164062,7,-1.0
0,0.0002527237,0.00021982193,1.9118075,16.395237,-inf,9.133580897469074e-05,0.3095997273921966,0,-3.0
1,0.020914555,0.016379833,1.8956475,16.08044,0.0863080215304055,0.0055667399428784,0.6191861033439636,1,-3.0
2,0.8449397,0.58756876,1.3244586,7.772505,0.1593436812396303,0.2476471364498138,0.8122615218162537,2,-3.0
3,1.9123755,0.9815059,0.93052197,8.004217,0.3340544155382479,0.3019119203090668,1.554603099822998,3,-3.0
4,2.3459313,1.3997536,0.5122738,3.0506423,0.1392538307730276,0.0713393092155456,2.2270379066467285,4,-3.0
5,2.086824,1.129108,0.7829199,13.597555,0.2193571747980189,0.2422152757644653,1.724376201629639,5,-3.0
6,1.9499898,1.2735629,0.6384649,6.253996,0.1739055643348567,0.0907301306724548,1.6811007261276243,6,-3.0
7,1.9907603,1.1986952,0.71333265,4.6334815,0.2204912727136622,0.1827729046344757,1.6245096921920776,7,-3.0
0,3.1204934,1.7688446,0.14318228,1.2998977,0.0367099253424321,0.0105461496859788,3.911454200744629,0,3.0
1,3.320632,1.9119177,0.00011014938,0.8861051,0.0102694849010659,0.0060102604329586,5.0,1,3.0
2,3.11846,1.7140956,0.19793224,2.5335987,0.0368294426283599,0.0246511735022068,3.8914809226989746,2,3.0
3,3.3206315,1.9119177,0.00011014938,0.88610506,0.0102694729686015,0.0060101649723947,5.0,3,3.0
4,1.763444,1.363466,0.5485618,2.0444539,0.1054938691862454,-0.0346970148384571,1.5279719829559326,4,3.0
5,0.0,0.0,1.9120278,16.399998,-7.8969120101156385,-2.464032149873674e-05,0.3362308144569397,5,3.0
6,0.0,2.3841858e-07,1.9120276,16.399998,-7.896912377689723,-2.534941268095281e-05,0.3362308144569397,6,3.0
7,0.8811486,0.712806,1.1992218,6.4558916,0.3214358721808358,0.0031545734964311,0.9820346832275392,7,3.0
0,2.9205846786499023,1.6684837341308594,0.2435441017150879,2.5438320636749268,0.0613476638564183,0.013149737380445,3.282294750213623,0,2.0
1,3.120686292648315,1.854358196258545,0.0576696395874023,0.989867627620697,0.0344669426678387,-0.0113445008173584,3.914783239364624,1,2.0
2,3.120539665222168,1.7120537757873535,0.1999740600585937,3.460740804672241,0.0369607204730919,0.0249685812741518,3.914783239364624,2,2.0
3,2.9206485748291016,1.6559319496154783,0.2560958862304687,2.593189001083374,0.0767669988704956,0.0169929303228855,3.282294750213623,3,2.0
4,2.3414692878723145,1.6460785865783691,0.2659492492675781,1.3110780715942385,0.0460813924928245,-0.0307846125215291,2.18709135055542,4,2.0
5,0.0,2.384185791015625e-07,1.912027597427368,16.39999771118164,-7.896912377689723,-2.456871879985556e-05,0.3362308144569397,5,2.0
6,0.0,0.0,1.9120278358459473,16.39999771118164,-7.8969120101156385,-2.456871879985556e-05,0.3362308144569397,6,2.0
7,0.279375429157886,0.1564432926188965,1.7555845432270507,14.595429474205316,0.7680449969874453,0.1266013532876968,0.7589993476867676,7,2.0
0,1.4284868,1.1976457,0.7143822,2.5295997,0.0427753584089358,-0.0136461360380053,1.1185190677642822,0,-2.0
1,1.6951947,1.353992,0.55803585,1.986468,0.0597359433304693,-0.0197805762290954,1.3482121229171753,1,-2.0
2,2.160821,1.5793128,0.33271456,1.4358454,0.027683228818766,-2.3821366994525303e-05,1.814256191253662,2,-2.0
3,2.5281084,1.7140546,0.19797325,1.1668816,0.045334041770922,-0.0466888882219791,2.519979953765869,3,-2.0
4,2.3307822,1.6027813,0.30924606,1.4814917,0.1019308408517568,-0.0385350324213504,2.2736425399780273,4,-2.0
5,1.963201,1.3727808,0.53924704,2.2773297,0.1167501730167503,0.067354530096054,1.5845630168914795,5,-2.0
6,1.914757,1.3738236,0.5382042,2.3386998,0.123812093107831,-0.0027169459499418,1.7310340404510498,6,-2.0
7,1.8236401,1.2947049,0.6173229,2.496399,0.1615102677785039,0.0515982471406459,1.5179853439331057,7,-2.0
