iteration,min_distance_to_curve,discriminative_need_gamma,population_init_gamma,complexity,accuracy
38.0,0.0122245161311177,1.0,100.0,2.9565644,2.6961155
39.0,0.0115328393192264,1.0,100.0,2.9571242,2.6965227
40.0,0.0108482294055285,1.0,100.0,2.9576788,2.6969252
41.0,0.0101691718434919,1.0,100.0,2.958228,2.6973257
42.0,0.0094956485348918,1.0,100.0,2.9587736,2.697722
43.0,0.008829841306943,1.0,100.0,2.9593134,2.6981134
44.0,0.0081688491110984,1.0,100.0,2.9598498,2.6985016
45.0,0.0075149890707926,1.0,100.0,2.9603796,2.6988869
46.0,0.0068683840286314,1.0,100.0,2.9609046,2.699267
47.0,0.0062292371789338,1.0,100.0,2.9614244,2.6996422
48.0,0.005597964583222,1.0,100.0,2.961938,2.7000132
49.0,0.004975543296559,1.0,100.0,2.9624457,2.7003784
50.0,0.0043653660242703,1.0,100.0,2.962944,2.700737
51.0,0.0037648956796117,1.0,100.0,2.9634342,2.7010918
52.0,0.0031777262418016,1.0,100.0,2.9639177,2.701437
53.0,0.0026055849547365,1.0,100.0,2.9643888,2.7017775
54.0,0.0020519544577854,1.0,100.0,2.9648495,2.7021093
55.0,0.0015202408275707,1.0,100.0,2.965301,2.7024336
56.0,0.0010298018130807,1.0,100.0,2.9657383,2.7027478
57.0,0.0006317752832911,1.0,100.0,2.9661655,2.7030544
58.0,0.0005342122637213,1.0,100.0,2.9665785,2.703351
59.0,0.0008188464350749,1.0,100.0,2.96698,2.703639
60.0,0.001225923512232,1.0,100.0,2.9673667,2.703916
61.0,0.0016529924719797,1.0,100.0,2.9677386,2.7041845
62.0,0.0020795054623104,1.0,100.0,2.9680996,2.7044425
63.0,0.0024952300500673,1.0,100.0,2.9684463,2.7046914
64.0,0.0028977589817602,1.0,100.0,2.9687796,2.7049303
65.0,0.0032870240642528,1.0,100.0,2.969101,2.7051592
66.0,0.0036600219376153,1.0,100.0,2.969407,2.70538
67.0,0.004020681485066,1.0,100.0,2.9697027,2.7055922
68.0,0.0043672676968643,1.0,100.0,2.969987,2.7057948
69.0,0.0046995175856477,1.0,100.0,2.9702587,2.7059898
70.0,0.0050204345901069,1.0,100.0,2.9705205,2.7061787
71.0,0.0053281849039076,1.0,100.0,2.9707718,2.706359
72.0,0.0056234211044287,1.0,100.0,2.9710135,2.7065306
73.0,0.0059082927826055,1.0,100.0,2.9712458,2.7066975
74.0,0.0061842544189203,1.0,100.0,2.9714713,2.7068582
75.0,0.0064494241018202,1.0,100.0,2.9716873,2.7070136
76.0,0.0067049971779578,1.0,100.0,2.9718966,2.7071614
77.0,0.006953225673397,1.0,100.0,2.9720984,2.7073073
78.0,0.0071924702585163,1.0,100.0,2.9722934,2.707447
79.0,0.0074254656052022,1.0,100.0,2.9724836,2.7075825
80.0,0.0076512014694072,1.0,100.0,2.9726677,2.707714
81.0,0.0078713633279956,1.0,100.0,2.972848,2.707841
82.0,0.0080850368001517,1.0,100.0,2.9730225,2.707965
83.0,0.0082944485646503,1.0,100.0,2.9731932,2.708087
84.0,0.0084977097056479,1.0,100.0,2.973359,2.7082052
85.0,0.0086972954107622,1.0,100.0,2.9735222,2.7083206
86.0,0.0088932898206933,1.0,100.0,2.9736824,2.708434
87.0,0.0090856577008616,1.0,100.0,2.9738388,2.7085466
88.0,0.0092738637392819,1.0,100.0,2.9739933,2.7086544
89.0,0.0094597142592317,1.0,100.0,2.974145,2.7087622
90.0,0.0096433504098508,1.0,100.0,2.9742947,2.708869
91.0,0.0098226235639942,1.0,100.0,2.974441,2.708973
92.0,0.0100014166735062,1.0,100.0,2.974588,2.709075
93.0,0.0101769132720892,1.0,100.0,2.9747314,2.7091765
94.0,0.0103519477901825,1.0,100.0,2.9748745,2.7092776
95.0,0.010524548756008,1.0,100.0,2.9750156,2.7093773
96.0,0.0106947629780349,1.0,100.0,2.9751554,2.7094746
97.0,0.0108635163944916,1.0,100.0,2.9752932,2.7095723
98.0,0.0110322039229362,1.0,100.0,2.9754324,2.7096677
99.0,0.0111063814944864,1.0,100.0,2.9755688,2.7097645
100.0,0.0109403993043839,1.0,100.0,2.9757047,2.7098598
101.0,0.0107759795981794,1.0,100.0,2.9758396,2.7099538
102.0,0.0106105101479582,1.0,100.0,2.9759755,2.7100482
103.0,0.0104481395307165,1.0,100.0,2.9761086,2.7101412
104.0,0.0102848835619441,1.0,100.0,2.9762425,2.7102346
105.0,0.0101245432971631,1.0,100.0,2.9763741,2.7103262
106.0,0.0099636083433413,1.0,100.0,2.9765058,2.7104187
107.0,0.0098040782446542,1.0,100.0,2.9766378,2.7105083
108.0,0.0096448318404118,1.0,100.0,2.976768,2.7106
109.0,0.0094868382914824,1.0,100.0,2.9768982,2.7106895
110.0,0.0093293691952922,1.0,100.0,2.977027,2.7107801
111.0,0.0091738862815997,1.0,100.0,2.9771547,2.7108688
112.0,0.0090188336122733,1.0,100.0,2.9772825,2.7109566
113.0,0.0088645777472087,1.0,100.0,2.9774094,2.7110443
114.0,0.0087112261343103,1.0,100.0,2.9775352,2.711132
115.0,0.0085584063107472,1.0,100.0,2.9776616,2.7112179
116.0,0.0084081094767367,1.0,100.0,2.977785,2.7113037
117.0,0.0082598811097268,1.0,100.0,2.9779072,2.7113876
118.0,0.0081111654030039,1.0,100.0,2.9780293,2.7114725
119.0,0.0079640250609532,1.0,100.0,2.9781508,2.7115555
120.0,0.0078187751450926,1.0,100.0,2.97827,2.7116385
121.0,0.007674012669622,1.0,100.0,2.9783893,2.7117205
122.0,0.0075319567603618,1.0,100.0,2.978506,2.7118015
123.0,0.0073909888640801,1.0,100.0,2.978622,2.7118816
124.0,0.0072510268343013,1.0,100.0,2.9787374,2.7119608
125.0,0.0071144180080943,1.0,100.0,2.9788508,2.712037
126.0,0.0069795031343049,1.0,100.0,2.978962,2.7121134
127.0,0.0068451382656357,1.0,100.0,2.9790726,2.7121897
128.0,0.006714866378993,1.0,100.0,2.9791803,2.712263
129.0,0.0065853890086893,1.0,100.0,2.9792862,2.7123375
130.0,0.0064577044680552,1.0,100.0,2.979392,2.712409
131.0,0.0063328334151621,1.0,100.0,2.979495,2.7124796
132.0,0.0062096827736196,1.0,100.0,2.9795966,2.7125492
133.0,0.0060890167141526,1.0,100.0,2.9796958,2.7126179
134.0,0.0059707237502919,1.0,100.0,2.9797935,2.7126846
135.0,0.0058547510615993,1.0,100.0,2.979889,2.7127504
136.0,0.0057389426257645,1.0,100.0,2.9799843,2.7128162
137.0,0.0056278526064897,1.0,100.0,2.9800758,2.7128792
138.0,0.0055194859564538,1.0,100.0,2.980166,2.7129393
139.0,0.0054115085827981,1.0,100.0,2.9802551,2.7130003
140.0,0.0053066717668816,1.0,100.0,2.980341,2.7130604
141.0,0.0052045561346878,1.0,100.0,2.9804263,2.7131166
142.0,0.0051041095534723,1.0,100.0,2.9805088,2.7131739
143.0,0.0050066934776823,1.0,100.0,2.980589,2.7132292
144.0,0.004910118268921,1.0,100.0,2.9806695,2.7132826
145.0,0.0048179703503107,1.0,100.0,2.9807453,2.713335
146.0,0.0047270755883773,1.0,100.0,2.9808202,2.7133865
147.0,0.0046383932422643,1.0,100.0,2.9808931,2.713437
148.0,0.0045510695203509,1.0,100.0,2.9809656,2.7134857
149.0,0.0044668593002134,1.0,100.0,2.9810357,2.7135324
150.0,0.0043848868410138,1.0,100.0,2.981103,2.7135792
151.0,0.0043042256364202,1.0,100.0,2.9811687,2.713626
152.0,0.0042247921110474,1.0,100.0,2.981235,2.7136698
153.0,0.0041489885499939,1.0,100.0,2.9812975,2.7137127
154.0,0.0040741109581648,1.0,100.0,2.9813595,2.7137547
155.0,0.0040016661652811,1.0,100.0,2.9814186,2.7137966
156.0,0.0039313447312282,1.0,100.0,2.9814777,2.7138348
157.0,0.0038627998598342,1.0,100.0,2.981534,2.7138739
158.0,0.0037948294234702,1.0,100.0,2.9815903,2.713912
159.0,0.0037301591317757,1.0,100.0,2.9816432,2.7139492
160.0,0.0036658442493727,1.0,100.0,2.981697,2.7139845
161.0,0.0036044754498044,1.0,100.0,2.9817472,2.7140198
162.0,0.0035435450133643,1.0,100.0,2.9817982,2.7140532
163.0,0.0034840602096086,1.0,100.0,2.9818468,2.7140875
164.0,0.0034263472836168,1.0,100.0,2.9818945,2.71412
165.0,0.0033699762120876,1.0,100.0,2.9819407,2.7141523
166.0,0.003315319809608,1.0,100.0,2.981986,2.7141829
167.0,0.0032623600678003,1.0,100.0,2.98203,2.7142124
168.0,0.0032100745218623,1.0,100.0,2.9820724,2.714243
169.0,0.0031595176853464,1.0,100.0,2.9821148,2.7142706
170.0,0.0031105139701551,1.0,100.0,2.9821553,2.7142982
171.0,0.0030613134007059,1.0,100.0,2.9821959,2.714326
172.0,0.0030145500477593,1.0,100.0,2.982235,2.7143517
173.0,0.0029681079268055,1.0,100.0,2.982273,2.7143784
174.0,0.0029222950868567,1.0,100.0,2.9823103,2.714405
175.0,0.0028788817604749,1.0,100.0,2.9823465,2.714429
176.0,0.0028355608825383,1.0,100.0,2.9823828,2.7144527
177.0,0.0027933179701012,1.0,100.0,2.982417,2.7144775
178.0,0.0027523367234215,1.0,100.0,2.982451,2.7145004
179.0,0.0027135078169255,1.0,100.0,2.982483,2.7145224
180.0,0.0026736767803073,1.0,100.0,2.9825163,2.7145443
181.0,0.0026347349471084,1.0,100.0,2.9825478,2.7145672
182.0,0.0025977083633526,1.0,100.0,2.9825783,2.7145882
183.0,0.0025608536138341,1.0,100.0,2.9826093,2.7146082
184.0,0.0025255479580374,1.0,100.0,2.9826384,2.7146282
185.0,0.0024898350791599,1.0,100.0,2.982668,2.7146482
186.0,0.0024548460521773,1.0,100.0,2.982696,2.7146692
187.0,0.0024207956412769,1.0,100.0,2.9827242,2.7146883
188.0,0.002388140166755,1.0,100.0,2.9827514,2.7147064
189.0,0.0023562994000963,1.0,100.0,2.9827776,2.7147245
190.0,0.0023238782960804,1.0,100.0,2.9828038,2.7147436
191.0,0.0022931409328251,1.0,100.0,2.98283,2.7147598
192.0,0.0022623819601836,1.0,100.0,2.9828548,2.714778
193.0,0.0022323201229667,1.0,100.0,2.9828796,2.714795
194.0,0.0022032234955258,1.0,100.0,2.982903,2.7148123
195.0,0.0021740335049042,1.0,100.0,2.9829273,2.7148285
196.0,0.0021451693277426,1.0,100.0,2.9829512,2.7148447
197.0,0.0021179556462258,1.0,100.0,2.982973,2.714861
198.0,0.0020905804859189,1.0,100.0,2.9829965,2.7148752
199.0,0.0020644494867852,1.0,100.0,2.9830184,2.7148895
0.0,0.7055462007166806,1.0,1000.0,5.8421116,2.7524443
1.0,0.0722413914674307,1.0,1000.0,2.5548854,2.310175
2.0,0.0436416430053326,1.0,1000.0,2.5804586,2.3669128
3.0,0.0242676498786771,1.0,1000.0,2.5982714,2.4058452
4.0,0.016462578556475,1.0,1000.0,2.6064086,2.422069
5.0,0.014143719114685,1.0,1000.0,2.6080084,2.427055
6.0,0.0120777768292933,1.0,1000.0,2.6099849,2.4302316
7.0,0.0113914027565537,1.0,1000.0,2.612382,2.4329543
8.0,0.0112068789555052,1.0,1000.0,2.6148562,2.4354181
9.0,0.0115109103042512,1.0,1000.0,2.6172347,2.437655
10.0,0.0104702229041334,1.0,1000.0,2.6194515,2.439681
11.0,0.0102493049076797,1.0,1000.0,2.6214938,2.4415107
12.0,0.0106984066522017,1.0,1000.0,2.6233768,2.4431705
13.0,0.0101062587217609,1.0,1000.0,2.6251354,2.4446926
14.0,0.0097768431645277,1.0,1000.0,2.6268263,2.4461284
15.0,0.0099642080115204,1.0,1000.0,2.6285334,2.4475517
16.0,0.0105219841135138,1.0,1000.0,2.630394,2.449069
17.0,0.0096864821493537,1.0,1000.0,2.6326065,2.450849
18.0,0.0096648002533074,1.0,1000.0,2.6354713,2.4531293
19.0,0.0100217939482004,1.0,1000.0,2.6393971,2.4562387
20.0,0.0093745087411771,1.0,1000.0,2.6448817,2.4605794
21.0,0.0099086173713374,1.0,1000.0,2.6523776,2.4665127
22.0,0.011848754047452,1.0,1000.0,2.6620054,2.4741368
23.0,0.0200000406759071,1.0,1000.0,2.6732178,2.4830194
24.0,0.008933433020314,1.0,1000.0,2.684772,2.4921675
25.0,0.012853501101418,1.0,1000.0,2.6952581,2.5004644
26.0,0.0184092236961731,1.0,1000.0,2.7038145,2.5072317
27.0,0.0112749986329715,1.0,1000.0,2.7103415,2.5123963
28.0,0.0077064172013105,1.0,1000.0,2.7151985,2.5162435
29.0,0.0076768600340052,1.0,1000.0,2.7188396,2.5191312
30.0,0.0093807382547938,1.0,1000.0,2.7216415,2.5213518
31.0,0.0113775736592877,1.0,1000.0,2.7238736,2.523116
32.0,0.0132707521802836,1.0,1000.0,2.7257252,2.5245767
33.0,0.0150370992011001,1.0,1000.0,2.7273483,2.525846
34.0,0.0167592284145098,1.0,1000.0,2.7288756,2.5270338
35.0,0.017643758556624,1.0,1000.0,2.7304611,2.5282621
36.0,0.0155036772397954,1.0,1000.0,2.7323132,2.529686
37.0,0.012817524697283,1.0,1000.0,2.7347298,2.5315409
38.0,0.0094097291289772,1.0,1000.0,2.7381477,2.5341558
39.0,0.0066694313487135,1.0,1000.0,2.7431364,2.5379715
40.0,0.0109018354116297,1.0,1000.0,2.7502842,2.5434332
41.0,0.0132966857260233,1.0,1000.0,2.7598634,2.5507379
42.0,0.0067008919790189,1.0,1000.0,2.77139,2.5595016
43.0,0.0117550874083175,1.0,1000.0,2.783556,2.568709
44.0,0.0068585381947133,1.0,1000.0,2.7948842,2.577232
45.0,0.0153527771480046,1.0,1000.0,2.8045912,2.5845032
46.0,0.006676172073519,1.0,1000.0,2.812768,2.590622
47.0,0.0069605684897112,1.0,1000.0,2.8199282,2.5960026
48.0,0.013973260116698,1.0,1000.0,2.8265562,2.6010127
49.0,0.0166655970336237,1.0,1000.0,2.8329206,2.6058507
50.0,0.0093333137000675,1.0,1000.0,2.8390703,2.6105437
51.0,0.0040968952517136,1.0,1000.0,2.8449025,2.6150093
52.0,0.0068786067322964,1.0,1000.0,2.8502622,2.6191244
53.0,0.0122917078878103,1.0,1000.0,2.8550224,2.6227899
54.0,0.0109364042093095,1.0,1000.0,2.8591294,2.6259623
55.0,0.0067833848638347,1.0,1000.0,2.8625994,2.6286516
56.0,0.0037421291476995,1.0,1000.0,2.8655005,2.6309094
57.0,0.0028182898846719,1.0,1000.0,2.867917,2.6327982
58.0,0.0041615958838354,1.0,1000.0,2.869938,2.6343822
59.0,0.0059552750271546,1.0,1000.0,2.8716407,2.6357222
60.0,0.0076311268009288,1.0,1000.0,2.8730855,2.6368608
61.0,0.0091203419024249,1.0,1000.0,2.8743248,2.6378412
62.0,0.0104338416487343,1.0,1000.0,2.8754005,2.63869
63.0,0.0115982865747765,1.0,1000.0,2.8763447,2.6394367
64.0,0.0126375028502201,1.0,1000.0,2.877184,2.6400957
65.0,0.0135783559062036,1.0,1000.0,2.8779407,2.6406903
66.0,0.0137712064934749,1.0,1000.0,2.8786364,2.641232
67.0,0.0129558340190749,1.0,1000.0,2.879283,2.641735
68.0,0.0121817208660523,1.0,1000.0,2.8799,2.64221
69.0,0.0114312203363193,1.0,1000.0,2.8804998,2.6426697
70.0,0.0106907824737838,1.0,1000.0,2.881095,2.6431208
71.0,0.0099440463975336,1.0,1000.0,2.8816977,2.6435747
72.0,0.0091757883566075,1.0,1000.0,2.8823204,2.644041
73.0,0.0083738665024812,1.0,1000.0,2.8829756,2.6445255
74.0,0.0075213992290419,1.0,1000.0,2.8836746,2.6450424
75.0,0.0066076637103307,1.0,1000.0,2.8844314,2.6455965
76.0,0.0056213147252525,1.0,1000.0,2.8852558,2.6462002
77.0,0.0045591221602188,1.0,1000.0,2.8861618,2.6468592
78.0,0.0034346413247112,1.0,1000.0,2.8871584,2.647583
79.0,0.0023256791423028,1.0,1000.0,2.888257,2.6483798
80.0,0.0016242429160685,1.0,1000.0,2.8894663,2.6492562
81.0,0.0021744558005584,1.0,1000.0,2.890792,2.6502151
82.0,0.0036183297666577,1.0,1000.0,2.8922358,2.651257
83.0,0.0054113347527249,1.0,1000.0,2.8937979,2.6523843
84.0,0.0074073190140408,1.0,1000.0,2.8954716,2.6535926
85.0,0.0095594494710723,1.0,1000.0,2.8972507,2.6548738
86.0,0.0093550598550074,1.0,1000.0,2.8991208,2.6562204
87.0,0.0069867418838942,1.0,1000.0,2.9010677,2.6576185
88.0,0.0045735590233975,1.0,1000.0,2.9030786,2.6590605
89.0,0.0022460845624166,1.0,1000.0,2.905139,2.6605358
90.0,0.001445595495359,1.0,1000.0,2.90724,2.6620364
91.0,0.0035675280413655,1.0,1000.0,2.9093738,2.6635566
92.0,0.0061245725202201,1.0,1000.0,2.9115372,2.6650944
93.0,0.0087707383253122,1.0,1000.0,2.9137278,2.666647
94.0,0.0114641097018165,1.0,1000.0,2.915944,2.6682134
95.0,0.0121947609398507,1.0,1000.0,2.9181795,2.6697898
96.0,0.0094596993946865,1.0,1000.0,2.9204254,2.6713686
97.0,0.0067410578779667,1.0,1000.0,2.9226665,2.6729407
98.0,0.004080565317969,1.0,1000.0,2.924881,2.6744928
99.0,0.0016303310637462,1.0,1000.0,2.9270458,2.6760054
100.0,0.0015408606417031,1.0,1000.0,2.929133,2.677463
101.0,0.0037569195253634,1.0,1000.0,2.931117,2.678846
102.0,0.0059758451633821,1.0,1000.0,2.9329739,2.6801424
103.0,0.0080495231112189,1.0,1000.0,2.934691,2.6813393
104.0,0.0099489062364806,1.0,1000.0,2.936257,2.6824331
105.0,0.0101776569970887,1.0,1000.0,2.9376726,2.6834216
106.0,0.0086349106757987,1.0,1000.0,2.9389396,2.684309
107.0,0.0072631372616621,1.0,1000.0,2.9400668,2.6850996
108.0,0.0060482026028335,1.0,1000.0,2.9410653,2.6858025
109.0,0.0049768576790585,1.0,1000.0,2.941947,2.6864247
110.0,0.0040312493143988,1.0,1000.0,2.9427261,2.6869779
111.0,0.0032002250883098,1.0,1000.0,2.9434137,2.687468
112.0,0.0024711904381626,1.0,1000.0,2.9440231,2.6879025
113.0,0.0018376763880314,1.0,1000.0,2.9445624,2.6882887
114.0,0.0012959029187929,1.0,1000.0,2.9450417,2.6886363
115.0,0.0008708751785483,1.0,1000.0,2.9454694,2.6889453
116.0,0.0006364480289335,1.0,1000.0,2.9458518,2.6892228
117.0,0.0006826283207608,1.0,1000.0,2.9461937,2.6894727
118.0,0.0009099398409239,1.0,1000.0,2.9465017,2.6896977
119.0,0.0011848340221288,1.0,1000.0,2.9467793,2.6899018
120.0,0.0014598479678175,1.0,1000.0,2.947031,2.6900868
121.0,0.0017207194653415,1.0,1000.0,2.9472594,2.6902556
122.0,0.0019630472294733,1.0,1000.0,2.9474664,2.6904097
123.0,0.0021896535747215,1.0,1000.0,2.9476576,2.6905508
124.0,0.0023978284470895,1.0,1000.0,2.9478312,2.6906805
125.0,0.0025915488539529,1.0,1000.0,2.9479918,2.6908002
126.0,0.0027708638350554,1.0,1000.0,2.9481392,2.6909118
127.0,0.0029390322200171,1.0,1000.0,2.9482775,2.6910148
128.0,0.0030950958852761,1.0,1000.0,2.9484057,2.6911097
129.0,0.0032428732561851,1.0,1000.0,2.9485264,2.6912003
130.0,0.003381106277197,1.0,1000.0,2.948639,2.6912851
131.0,0.0035139703199259,1.0,1000.0,2.9487472,2.6913662
132.0,0.0036402045822587,1.0,1000.0,2.9488502,2.6914425
133.0,0.0037642054986846,1.0,1000.0,2.9489508,2.6915183
134.0,0.0038842402565467,1.0,1000.0,2.9490485,2.6915908
135.0,0.0040042300019432,1.0,1000.0,2.9491463,2.6916628
136.0,0.0041253342708757,1.0,1000.0,2.949245,2.6917353
137.0,0.0042471461535643,1.0,1000.0,2.9493442,2.6918082
138.0,0.0043745789613811,1.0,1000.0,2.9494476,2.691885
139.0,0.0045072619037927,1.0,1000.0,2.9495564,2.6919627
140.0,0.0046486856047058,1.0,1000.0,2.9496717,2.6920466
141.0,0.0047991339687508,1.0,1000.0,2.9497948,2.6921349
142.0,0.0049618959073436,1.0,1000.0,2.9499283,2.6922297
143.0,0.0051382357281293,1.0,1000.0,2.9500732,2.6923318
144.0,0.0053287846106499,1.0,1000.0,2.9502292,2.692443
145.0,0.0055347357160292,1.0,1000.0,2.9503984,2.692562
146.0,0.005757376980863,1.0,1000.0,2.9505816,2.69269
147.0,0.0059944557322129,1.0,1000.0,2.9507766,2.6928263
148.0,0.0062496527535543,1.0,1000.0,2.9509869,2.6929722
149.0,0.0065205592932894,1.0,1000.0,2.95121,2.6931272
150.0,0.0068073882406907,1.0,1000.0,2.9514465,2.6932907
151.0,0.0071104446996431,1.0,1000.0,2.9516964,2.6934633
152.0,0.007431533214567,1.0,1000.0,2.9519606,2.693647
153.0,0.0077683161786392,1.0,1000.0,2.9522386,2.6938381
154.0,0.0081231352462428,1.0,1000.0,2.9525309,2.6940403
155.0,0.0084973041741814,1.0,1000.0,2.9528394,2.694253
156.0,0.008889150589358,1.0,1000.0,2.9531622,2.6944761
157.0,0.009302436894531,1.0,1000.0,2.9535036,2.6947098
158.0,0.0097359395941572,1.0,1000.0,2.9538608,2.6949563
159.0,0.0101913212474226,1.0,1000.0,2.954236,2.6952152
160.0,0.010667300057033,1.0,1000.0,2.954628,2.695486
161.0,0.0111664803683662,1.0,1000.0,2.9550395,2.6957693
162.0,0.0116844111046727,1.0,1000.0,2.9554672,2.696062
163.0,0.0122267133614345,1.0,1000.0,2.955913,2.6963716
164.0,0.012031542668435,1.0,1000.0,2.9563751,2.6966887
165.0,0.0114528024596959,1.0,1000.0,2.9568524,2.6970162
166.0,0.0108576133069936,1.0,1000.0,2.957343,2.6973534
167.0,0.0102481160441732,1.0,1000.0,2.9578452,2.697699
168.0,0.0096287941737055,1.0,1000.0,2.958356,2.6980495
169.0,0.0090029234760421,1.0,1000.0,2.9588718,2.6984043
170.0,0.0083727264255062,1.0,1000.0,2.9593916,2.698761
171.0,0.0077438541667027,1.0,1000.0,2.9599109,2.6991162
172.0,0.0071203213318142,1.0,1000.0,2.9604254,2.699469
173.0,0.0065055645990649,1.0,1000.0,2.9609332,2.6998162
174.0,0.0059019725303832,1.0,1000.0,2.9614315,2.7001576
175.0,0.0053167621659841,1.0,1000.0,2.9619155,2.7004876
176.0,0.0047514762444105,1.0,1000.0,2.9623837,2.7008057
177.0,0.0042075123621989,1.0,1000.0,2.9628334,2.7011132
178.0,0.003689610429158,1.0,1000.0,2.9632626,2.701405
179.0,0.0031965310406825,1.0,1000.0,2.9636707,2.701684
180.0,0.0027304783702884,1.0,1000.0,2.9640574,2.7019472
181.0,0.0022935734113022,1.0,1000.0,2.9644213,2.7021933
182.0,0.001883481741664,1.0,1000.0,2.9647636,2.702425
183.0,0.00150188703182,1.0,1000.0,2.9650826,2.7026424
184.0,0.0011479489716258,1.0,1000.0,2.9653807,2.7028456
185.0,0.0008238617946321,1.0,1000.0,2.9656591,2.703034
186.0,0.0005368079941988,1.0,1000.0,2.9659166,2.703209
187.0,0.0003147165171414,1.0,1000.0,2.966157,2.7033715
188.0,0.0002707311721289,1.0,1000.0,2.9663787,2.7035232
189.0,0.0004241532566703,1.0,1000.0,2.966586,2.7036624
190.0,0.0006246643253738,1.0,1000.0,2.9667778,2.703794
191.0,0.0008252219572402,1.0,1000.0,2.9669552,2.7039156
192.0,0.0010164270168808,1.0,1000.0,2.9671197,2.7040281
193.0,0.0011971983003287,1.0,1000.0,2.9672732,2.704133
194.0,0.0013665107159613,1.0,1000.0,2.9674158,2.7042308
195.0,0.001524741641021,1.0,1000.0,2.9675484,2.7043219
196.0,0.0016725272595056,1.0,1000.0,2.9676714,2.7044077
197.0,0.0018113374444217,1.0,1000.0,2.9677873,2.7044868
198.0,0.00194137635015,1.0,1000.0,2.967895,2.7045622
199.0,0.0020626261457976,1.0,1000.0,2.9679956,2.7046318
0.0,0.0042350420657506,1.0,0.1,0.006954193,0.0008211136
1.0,0.0003059954991282,1.0,0.1,0.0017061234,0.0012207031
2.0,0.00065627072527,1.0,0.1,0.007249832,0.0061101913
3.0,0.0021982999284847,1.0,0.1,0.03834343,0.03420925
4.0,0.0114084588487282,1.0,0.1,0.20762825,0.19059372
5.0,0.0247312242347129,1.0,0.1,0.9182348,0.8546438
6.0,0.0529183457376229,1.0,0.1,2.1121235,1.9638138
7.0,0.0216189661041846,1.0,0.1,2.7020187,2.491682
8.0,0.0116539741776297,1.0,0.1,2.8822536,2.6409378
9.0,0.0047187274420517,1.0,0.1,2.9421988,2.686534
10.0,0.0014999822484726,1.0,0.1,2.9650402,2.702691
11.0,0.0106259715573209,1.0,0.1,2.9750834,2.7094593
12.0,0.005517643337235,1.0,0.1,2.9802094,2.712881
13.0,0.0021475671799106,1.0,0.1,2.9830189,2.7147512
14.0,0.0002694603462533,1.0,0.1,2.984643,2.715828
15.0,0.0010204666307134,1.0,0.1,2.9856358,2.7164907
16.0,0.0017655580827764,1.0,0.1,2.9862614,2.7169094
17.0,0.00224948593979,1.0,0.1,2.986662,2.717186
18.0,0.0025580706308886,1.0,0.1,2.9869146,2.7173662
19.0,0.0027511616520837,1.0,0.1,2.987072,2.7174797
20.0,0.0028651497274955,1.0,0.1,2.9871616,2.7175522
21.0,0.0029256263264975,1.0,0.1,2.9872065,2.717595
