iteration,min_distance_to_curve,discriminative_need_gamma,population_init_gamma,complexity,accuracy
0.0,0.7629773959334374,1.0,100.0,5.7949486,2.6929817
1.0,0.0510308843288037,1.0,100.0,2.9826646,2.6547318
2.0,0.020274371123418,1.0,100.0,2.9440727,2.6657295
3.0,0.0102087394804539,1.0,100.0,2.9259653,2.6674628
4.0,0.0098306609608179,1.0,100.0,2.9156613,2.6640067
5.0,0.010730799146465,1.0,100.0,2.9162273,2.6656456
6.0,0.0116811785902531,1.0,100.0,2.9198651,2.6687822
7.0,0.0071611457684806,1.0,100.0,2.9234805,2.671679
8.0,0.003715105638201,1.0,100.0,2.9264445,2.674008
9.0,0.0020863022710285,1.0,100.0,2.9288301,2.67586
10.0,0.0032254821890532,1.0,100.0,2.9308157,2.6773825
11.0,0.0050884248294779,1.0,100.0,2.9325504,2.6786928
12.0,0.0069334679043961,1.0,100.0,2.9341264,2.679865
13.0,0.0086961540719968,1.0,100.0,2.9355965,2.6809444
14.0,0.010378086870713,1.0,100.0,2.936986,2.6819563
15.0,0.0100347189462586,1.0,100.0,2.9383087,2.6829104
16.0,0.0085010816837951,1.0,100.0,2.9395676,2.683815
17.0,0.0070529889938126,1.0,100.0,2.940764,2.684671
18.0,0.0056910176713861,1.0,100.0,2.9418983,2.6854825
19.0,0.0044221222167584,1.0,100.0,2.9429708,2.6862497
20.0,0.0032572139187841,1.0,100.0,2.943986,2.6869764
21.0,0.0022405267237218,1.0,100.0,2.9449444,2.6876636
22.0,0.0015107044130439,1.0,100.0,2.9458518,2.6883173
23.0,0.0014132491183262,1.0,100.0,2.9467125,2.6889372
24.0,0.0019537929178388,1.0,100.0,2.9475322,2.6895285
25.0,0.0027298233546143,1.0,100.0,2.9483128,2.6900954
26.0,0.0035618569462389,1.0,100.0,2.9490614,2.6906395
27.0,0.0043960677869877,1.0,100.0,2.94978,2.6911626
28.0,0.0052194519419529,1.0,100.0,2.9504747,2.6916676
29.0,0.0060250829367262,1.0,100.0,2.9511461,2.6921568
30.0,0.0068133785719164,1.0,100.0,2.9517975,2.6926336
31.0,0.007585945815071,1.0,100.0,2.952433,2.693098
32.0,0.0083435985666547,1.0,100.0,2.953054,2.693552
33.0,0.0090883109485211,1.0,100.0,2.9536629,2.693997
34.0,0.0098193992913558,1.0,100.0,2.9542599,2.6944323
35.0,0.0105398201580497,1.0,100.0,2.9548469,2.6948614
36.0,0.0112507742758688,1.0,100.0,2.9554257,2.695284
37.0,0.0119544860901944,1.0,100.0,2.955998,2.695702
