,complexity,accuracy,distortion,mse,gNID,eps,beta,run,discr_need
0,1.5495520577395665,1.549254046944716,5.2754136824211635,1673.581243340851,,,,0,10.0
1,1.549557049213675,1.5492590337624217,5.275408695603458,1673.5730595138689,,,,1,10.0
2,1.549532122721871,1.5492341213409482,5.275433608024931,1673.630231109627,,,,2,10.0
3,1.549528195776162,1.5492301985908714,5.275437530775008,1673.6358414153378,,,,3,10.0
4,1.5495294819528258,1.5492314829638687,5.275436246402011,1673.6348454382114,,,,4,10.0
5,1.5494896936088516,1.5491917184850743,5.275476010880805,1673.7263701542097,,,,5,10.0
6,1.5494485249874224,1.549150569779096,5.275517159586784,1673.8278309061147,,,,6,10.0
7,1.5478324869329183,1.547535447977582,5.2771322813882975,1677.606735272433,,,,7,10.0
0,1.548426119878508,1.5481287480027677,5.276538981363112,1676.0097447656287,,,,0,0.0
1,1.5484873611740415,1.548189955551054,5.276477773814825,1675.8661561638835,,,,1,0.0
2,1.5483902645534613,1.548092910495349,5.276574818870531,1676.0978368504962,,,,2,0.0
3,1.548485325838863,1.5481879196457982,5.276479809720081,1675.874189709486,,,,3,0.0
4,1.5483637905954382,1.5480664541277065,5.276601275238173,1676.1542043848594,,,,4,0.0
5,1.5484571739748194,1.5481597842106325,5.276507945155247,1675.939965559009,,,,5,0.0
6,1.548499758463862,1.5482023480983766,5.276465381267503,1675.8330875232518,,,,6,0.0
7,1.5472073920736502,1.5469106930220544,5.277757036343825,1678.8878298672848,,,,7,0.0
0,1.549594629088162,1.5492965932812697,5.27537113608461,1673.483772163851,,,,0,1.0
1,1.5495832996362573,1.5492852698720083,5.275382459493871,1673.5107883041371,,,,1,1.0
2,1.5495267850244048,1.5492287882746858,5.275438941091194,1673.640678605604,,,,2,1.0
3,1.5495527870800403,1.5492547767584617,5.275412952607418,1673.5777294322215,,,,3,1.0
4,1.5494111327096114,1.5491132027701244,5.275554526595755,1673.9064385803629,,,,4,1.0
5,1.5495186562586731,1.5492206653748075,5.275447063991072,1673.6569639147854,,,,5,1.0
6,1.5492995580969795,1.5490016933816246,5.275666035984255,1674.1633684375065,,,,6,1.0
7,1.547874474082887,1.547577408676842,5.277090320689037,1677.5123950842965,,,,7,1.0
0,1.5444274761648238,1.5441323268499438,5.280535402515936,1684.9380441646867,,,,0,-1.0
1,1.5444919808462707,1.5441967933896663,5.280470935976213,1684.791265750193,,,,1,-1.0
2,1.5444674283368247,1.5441722563576885,5.280495473008191,1684.845787001696,,,,2,-1.0
3,1.544473730427928,1.5441785569502624,5.280489172415617,1684.827603933893,,,,3,-1.0
4,1.5444050899284587,1.5441099550717077,5.280557774294172,1684.9874701508395,,,,4,-1.0
5,1.5443915546899625,1.544096427028025,5.280571302337854,1685.019330405838,,,,5,-1.0
6,1.5441588554873924,1.5438638544481726,5.280803874917707,1685.569057574905,,,,6,-1.0
7,1.5433982779544897,1.5431037150277105,5.281564014338169,1687.334793756096,,,,7,-1.0
0,1.398245271976144,1.3980195484400737,5.426648180925806,2079.1492196998197,0.5496309725258641,-0.0664164796471595,0.7157238125801086,0,-3.0
1,1.3982265751876053,1.3980008583432877,5.426666871022592,2079.206468975847,0.5496384967045164,-0.0664164870977401,0.7157238125801086,1,-3.0
2,1.3982461927590055,1.3980204698194072,5.426647259546472,2079.1428765258206,0.5496316755414208,-0.0664164870977401,0.7157238125801086,2,-3.0
3,1.398369153977601,1.3981433825680334,5.426524346797846,2078.7793233102525,0.5495774484964566,-0.0664164125919342,0.7157238125801086,3,-3.0
4,1.398300225702723,1.3980744817324933,5.426593247633386,2078.981910825955,0.5496083752709895,-0.0664164498448371,0.7157238125801086,4,-3.0
5,1.3982622712358754,1.398036545135291,5.4266311842305885,2079.0836328385103,0.5496253725517275,-0.0664164796471595,0.7157238125801086,5,-3.0
6,1.398386957898207,1.3981611816682111,5.426506547697668,2078.7189751188644,0.5495698635209489,-0.0664164051413536,0.7157238125801086,6,-3.0
7,1.398253926280132,1.3980282041892398,5.42663952517664,2079.106301219361,0.5496275415671346,-0.0664164870977401,0.7157238125801086,7,-3.0
0,1.5494842680954477,1.5491862924193942,5.275481436946485,1673.744801652998,,,,0,3.0
1,1.5494937859928442,1.549195806584919,5.2754719227809606,1673.719357486401,,,,1,3.0
2,1.549476862739578,1.54917889371227,5.27548883565361,1673.756508222858,,,,2,3.0
3,1.5495298976613725,1.5492318990008656,5.275435830365014,1673.6338209831792,,,,3,3.0
4,1.5494443525592452,1.5491464035897715,5.275521325776108,1673.829468868832,,,,4,3.0
5,1.5495123541809068,1.5492143667463374,5.275453362619542,1673.6717964697089,,,,5,3.0
6,1.5493457738937495,1.5490478843718964,5.275619844993983,1674.0498082164268,,,,6,3.0
7,1.5478486416058672,1.5475515923384844,5.277116137027395,1677.5706115319822,,,,7,3.0
0,0.0,0.0,6.824667826603031,18149.706532386255,1.0000000042785235,-0.3050942122936249,5.0,0,-10.0
1,0.0,0.0,6.824667808038596,18149.706441719725,1.0000000020506006,-0.3050942122936249,5.0,1,-10.0
2,0.0,0.0,6.824667815326167,18149.7063874828,1.0000000029251852,-0.3050942122936249,5.0,2,-10.0
3,0.0,0.0,6.8246678288282805,18149.706391569227,1.0000000045455772,-0.3050942122936249,5.0,3,-10.0
4,5.238305789134756e-09,0.0,6.824667785713418,18149.7064339086,0.4999984700741402,-8.903305648289006e-09,0.0399599745869636,4,-10.0
