,complexity,accuracy,distortion,mse,gNID,eps,beta,run,discr_need
5,0.0,0.0,6.824667803536839,18149.70635532657,1.0000000015103332,-0.3050942122936249,5.0,5,-10.0
6,8.30564317411131e-06,8.243680962749522e-06,6.824659485684917,18149.500753920744,0.9999150551910732,-0.0020991780329495,0.6158572435379028,6,-10.0
7,2.0640196002119637e-05,2.05776757997711e-05,6.82464715169008,18149.19579945921,0.9992912282169224,-0.0008577778353355,0.5692528486251831,7,-10.0
0,1.5494579916104136,1.5491600338359,5.27550769552998,1673.799632751251,,,,0,2.0
1,1.5495479997342816,1.5492499901225134,5.275417739243366,1673.5924166082043,,,,1,2.0
2,1.5495119248671951,1.5492139377834864,5.275453791582393,1673.6723653471768,,,,2,2.0
3,1.5494966586417327,1.5491986792375112,5.275469050128368,1673.7094152674672,,,,3,2.0
4,1.5495547769510267,1.5492567635074153,5.275410965858464,1673.577755458159,,,,4,2.0
5,1.549396856795216,1.5490989341929424,5.275568795172937,1673.9404105809072,,,,5,2.0
6,1.5495676591326433,1.5492696449774623,5.275398084388417,1673.530233571166,,,,6,2.0
7,1.547832501301409,1.5475354623377091,5.27713226702817,1677.6066954218904,,,,7,2.0
0,1.52387134078484,1.5235871220595332,5.301080607306346,1733.9078618585054,0.5030611494624571,-0.0663347542285919,0.7157238125801086,0,-2.0
1,1.523938116370969,1.5236538590988555,5.301013870267024,1733.7533071722369,0.503032034928306,-0.0663347020745277,0.7157238125801086,1,-2.0
2,1.5238464880389664,1.523562285068035,5.3011054442978445,1733.963406795746,0.5030720921304195,-0.0663347691297531,0.7157238125801086,2,-2.0
3,1.5238763326723903,1.523592112340772,5.301075617025107,1733.8945213454272,0.5030590871786433,-0.0663347542285919,0.7157238125801086,3,-2.0
4,1.5238464637956124,1.5235622620137423,5.301105467352137,1733.9618843535432,0.5030719535133438,-0.0663347765803337,0.7157238125801086,4,-2.0
5,1.5238356627628686,1.5235514671053991,5.30111626226048,1733.9871015578126,0.503076708416661,-0.0663347840309143,0.7157238125801086,5,-2.0
6,1.5238380426981148,1.5235538442625636,5.301113885103316,1733.983469734369,0.5030752804499818,-0.0663347840309143,0.7157238125801086,6,-2.0
7,1.5239353659368875,1.523651108891919,5.301016620473961,1733.7617051348054,0.5030342121468101,-0.0663347020745277,0.7157238125801086,7,-2.0
