complexity,accuracy,distortion,mse,trial
2.6167898,2.4505243,1.0302486,33.708683,0
2.630247,2.4615173,1.0192556,32.995766,1
2.647337,2.4747,1.006073,32.23859,2
2.6484575,2.4754572,1.0053158,32.213646,3
2.636733,2.4663925,1.0143805,32.752594,4
2.6317253,2.4625454,1.0182276,32.955074,5
2.610817,2.4459982,1.0347748,33.986965,6
2.613452,2.4475393,1.0332336,33.94626,7
