complexity,mse
0.7161045,3.1465237
0.71599007,3.1477132
0.5499983,5.0276117
0.71609545,3.146611
0.71601295,3.1474795
0.7161069,3.146494
0.71609735,3.1465936
0.71610737,3.1464827
