comm_cost,complexity
4.874194776894595e-12,4.891863174798625e-12
1.1524530777635e-05,1.1567380918034382e-05
0.00016220896128151156,0.00016275670123105178
0.006927061503371116,0.006952152881134733
1.4148980786159016,1.419501615703852
3.2988914818330786,3.316376945676859
3.302492747961233,3.32107140640352
3.3029267884724187,3.3217620180220395
3.302999139991983,3.3218952670006194
3.3030117739436604,3.3219216727610967
3.303013988130089,3.3219268504889237
3.3030143768392235,3.3219278559530774
3.3030144450537593,3.3219280493353325
3.303014457025717,3.321928086246949
3.3030144591295008,3.3219280932555693
3.303014459499658,3.321928094580619
3.3030144595647863,3.3219280948299277
3.303014459576247,3.321928094876647
3.303014459578266,3.321928094885371
3.3030144595786206,3.3219280948869923
3.303014459578682,3.3219280948872947
3.3030144595786943,3.3219280948873493
3.303014459578697,3.3219280948873604
3.303014459578697,3.3219280948873613
3.303014459578697,3.3219280948873626
