complexity,accuracy,distortion,mse,sender_delta,receiver_delta,round,run,min_distance_to_curve,min_epsilon,min_beta
6.999020442677306e-05,2.8124251493011343e-05,5.111643203576133,1666.3166065439575,0.5462389288933243,15.01027756280262,1.0,1.0,7.542928056400733e-05,4.2310992007967666e-05,0.9936815981298852
2.027916678137842e-05,1.660321920482488e-05,5.111654724608421,1536.7796890696754,0.1388509119089418,12.980448522347691,2.0,1.0,2.620881048409784e-05,3.8048951443703867e-06,0.9936815981298852
1.7134669723972706e-05,1.5651540030248157e-05,5.1116556762875955,1429.8893399305143,0.1290140918423679,11.102011008063691,3.0,1.0,2.3206872794009647e-05,1.5920827319803423e-06,0.9936815981298852
2.149873729528906e-05,2.064088774922368e-05,5.111650686939877,1343.622361360849,0.1774686184758495,9.473996674858846,4.0,1.0,2.9803201354540367e-05,9.945518480247647e-07,0.9936815981298852
3.7063495881284325e-05,3.647585066879344e-05,5.111634851976957,1274.7858317038158,0.2638811905899986,8.12143782309883,5.0,1.0,5.200164385973282e-05,8.23317244736835e-07,0.9936815981298852
7.746151485577002e-05,7.700338963978481e-05,5.111594324437986,1219.981848699342,0.3970573054634286,7.02293117321428,6.0,1.0,5.06536249127315e-05,9.506711997239679e-07,0.9936815981298852
0.0001754369323485,0.0001750180723867,5.111496309755239,1176.1331375488326,0.595631790537221,6.143381322702597,7.0,1.0,8.794506951161383e-05,1.4735336460794477e-06,0.9965486347263638
0.0004058076549444,0.000405324380587,5.111266003447039,1140.662300406429,0.887847201364067,5.45033613020986,8.0,1.0,0.0004136894910128505,2.335795215739637e-06,0.9965486347263638
0.0009354664825327,0.0009347367442504,5.110736591083375,1111.4604791745546,1.3138595983467694,4.927823569382852,9.0,1.0,0.0011625653864325864,4.416636330785613e-06,0.9965486347263638
0.0021291636167024,0.0021278115313378,5.109543516296288,1086.7336095171097,1.9295693890762688,4.588439789334988,10.0,1.0,0.0028502678895226756,9.173136722365382e-06,0.9965486347263638
0.0047671452585618,0.0047643660195113,5.106906961808114,1064.749479792561,2.8085353712650685,4.480190533197707,11.0,1.0,0.006579928231206587,1.9736460901041727e-05,0.9965486347263638
0.0104745121772733,0.0104685894677984,5.101202738359827,1043.4485531524035,4.046082193293847,4.691597496092423,12.0,1.0,0.014649141446770554,4.26463604797504e-05,0.9965486347263638
0.0225050263038841,0.0224923689089724,5.089178958918653,1019.8407133705116,5.7426674651603005,5.319774629861246,13.0,1.0,0.03165809620340999,9.104654746226611e-05,0.9965486347263638
0.0469482895405608,0.046921615993229,5.064749711834397,989.1629524293794,7.960826546606635,6.410910998411876,14.0,1.0,0.06621618108436199,0.00018971750444450033,0.9965486347263638
0.0938419106653611,0.0937872001399018,5.017884127687724,944.1773641059548,10.564253719268503,7.873305140136159,15.0,1.0,0.13251395389419784,0.00024665628729650624,0.9994239434885551
0.1759264629906578,0.1758189889367347,4.935852338890891,876.1754821134964,13.05737955465334,9.414361238726269,16.0,1.0,0.06828951357424606,0.0003467324113451063,0.9994239434885551
