complexity,accuracy,distortion,mse,gNID,eps,beta,run,point_type,round,universe,prior,num_signals,distance,discriminative_need_gamma,meaning_dist_gamma,dynamics,imprecise_imitation_gamma,population_init_gamma,seed,ib_bound_function
1.4515233,1.488358,0.42366982,2.4043252,,,,1.0,trajectory,28.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.4695191,1.5014668,0.41056108,2.3775675,,,,1.0,trajectory,29.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.4806647,1.5096083,0.40241957,2.3625548,,,,1.0,trajectory,30.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.4876194,1.5148182,0.39720964,2.3539698,,,,1.0,trajectory,31.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.4921174,1.5183349,0.39369297,2.3487172,,,,1.0,trajectory,32.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.4951868,1.5208845,0.39114332,2.3451176,,,,1.0,trajectory,33.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.4974298,1.5228915,0.3891363,2.3422706,,,,1.0,trajectory,34.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.4992146,1.524621,0.38740683,2.339672,,,,1.0,trajectory,35.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.500771,1.5262475,0.38578033,2.3370206,,,,1.0,trajectory,36.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5022469,1.5278716,0.38415623,2.3341415,,,,1.0,trajectory,37.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5037208,1.529532,0.38249588,2.3309739,,,,1.0,trajectory,38.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5052085,1.531198,0.3808298,2.3275743,,,,1.0,trajectory,39.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5066695,1.5327897,0.37923813,2.3241093,,,,1.0,trajectory,40.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5080242,1.5342011,0.3778267,2.3208191,,,,1.0,trajectory,41.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5091887,1.5353503,0.3766775,2.3179295,,,,1.0,trajectory,42.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5101118,1.5362177,0.37581015,2.315558,,,,1.0,trajectory,43.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5108104,1.5368538,0.37517405,2.3136816,,,,1.0,trajectory,44.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.511342,1.5373297,0.37469816,2.3121934,,,,1.0,trajectory,45.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5117722,1.5377111,0.3743167,2.310972,,,,1.0,trajectory,46.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
