complexity,accuracy,distortion,mse,sender_delta,receiver_delta,round,run,min_distance_to_curve,min_epsilon,min_beta
5.736143092569016,3.717600756163989,39.82337621121808,1437.0188470053895,172.13097208814867,176.71708980200611,1.0,1.0,0.7561279576902441,0.772349105609376,5.10613303157682
3.7621280975269302,3.504829392760324,35.759941051600904,11.159508777241587,18.759418639535745,48.78524551631267,2.0,1.0,0.06107840803357419,0.07614106528123774,1.3040201005025127
3.65223106399534,3.4517352045194603,33.64494897900903,10.051747442074852,7.396358291238757,21.039281119788612,3.0,1.0,0.0355384381718243,0.0433613158906067,1.2618090452261308
3.633723800060656,3.4471241144517677,32.83630914152384,10.052167228081847,4.880843618814116,12.936494104266428,4.0,1.0,0.026776638292879986,0.03322474038023476,1.2547738693467338
3.6367243250802552,3.4539995292341157,32.13319774937006,10.014135762068072,4.014924336704646,9.27195060570639,5.0,1.0,0.022441787660693446,0.02874061305843992,1.2547738693467338
3.646633527744739,3.4641099387482797,31.407713048348068,9.91164864675658,3.552422217331302,7.3342008118259265,6.0,1.0,0.023507138278544774,0.02652740550756118,1.2547738693467338
3.658047106243037,3.4744771428486745,30.70067757134195,9.776496937901236,3.172432668523262,6.07892622176755,7.0,1.0,0.020220565680978433,0.02522866632002165,1.2618090452261308
3.669339582546831,3.484386353177376,30.006548724993696,9.627634153543324,3.01294421498919,5.231131898251287,8.0,1.0,0.019668639442971047,0.024268889621168684,1.2618090452261308
3.6813268594171538,3.49481586614087,29.32468644254218,9.460476504638867,3.2647351777134617,5.164754458461462,9.0,1.0,0.021274369432334635,0.023292649121737438,1.2688442211055277
3.697223356271993,3.5086711093222593,28.98753056717972,9.241725843792114,4.120752482968011,4.240798185377195,10.0,1.0,0.01913003424670431,0.02193017643511704,1.2758793969849247
3.721553660359127,3.5299428676738493,28.419339658902025,8.926593321764908,5.070539972088083,3.776017670257488,11.0,1.0,0.016252537405670772,0.019665051997667757,1.2829145728643216
3.7533982611430785,3.5577600968829897,27.850792863986605,8.54072969722013,5.1490634225462415,3.484829233338354,12.0,1.0,0.014247655631815114,0.016496333646688868,1.2969849246231155
3.783838638219506,3.5841211565229845,27.33909209227195,8.18909863353075,4.411334138359388,3.2376376899751533,13.0,1.0,0.01246897101442209,0.013459139353174889,1.3110552763819097
3.806676781840145,3.603578130179932,26.87925575471604,7.933806015069179,3.472170872914938,2.998448115588496,14.0,1.0,0.009826516141490079,0.011351291531195615,1.3251256281407036
3.821985394863434,3.6163678079531474,26.447529067289977,7.769144872889113,2.707196769735501,2.7370492258751264,15.0,1.0,0.009244965714075008,0.010110252015600573,1.3321608040201005
3.832101698972046,3.624679711838902,26.03942048073652,7.665761940845119,2.1807497102719577,2.4863710913656623,16.0,1.0,0.007611393000259356,0.009392254269468334,1.3321608040201005
3.839146649813406,3.630415525811042,25.659690269874808,7.598058844114856,1.8392820969874195,2.27135345704585,17.0,1.0,0.010619100642209195,0.008931970363621347,1.3391959798994977
3.844522475141755,3.634786719622899,25.31121196035526,7.5496512189722385,1.644491285980902,2.0911658049470803,18.0,1.0,0.007765964372361067,0.00857499508963079,1.3391959798994977
3.849060622621902,3.638487606679666,24.992052254060212,7.511178616154813,1.5396495893731037,1.9442700730258264,19.0,1.0,0.006986414497210824,0.008262818533986851,1.3391959798994977
3.8532320057234193,3.64190071201884,24.697395005180187,7.477540302566501,1.5003823896637891,1.8281645899623689,20.0,1.0,0.009935746080039306,0.007953812037206968,1.3462311557788946
3.857289564500232,3.6452270506153504,24.42289999887736,7.4460634418541884,1.492531943368417,1.737838758119657,21.0,1.0,0.007994954519637845,0.007641486865801984,1.3462311557788946
3.861347348489484,3.6485547613642906,24.166191029961432,7.415489410217717,1.4828871560899088,1.6681798286503136,22.0,1.0,0.0058837043138976865,0.007327956833028086,1.3462311557788946
3.865423435285458,3.651894846971426,23.92626742820977,7.385433588846872,1.460438347115539,1.6123989541146362,23.0,1.0,0.007787371758241114,0.007013125618437343,1.3532663316582916
3.869469512822467,3.655205297398589,23.70202447380187,7.356060280522065,1.4196022320765591,1.5644721291172148,24.0,1.0,0.008824662530046124,0.006692535680931879,1.3532663316582916
3.8733991988604792,3.658414194019199,23.49149687895327,7.327836238423112,1.361606600777569,1.5217088807574686,25.0,1.0,0.005486169920209615,0.006387491721162219,1.3532663316582916
3.877116541953779,3.6614429898162095,23.29254154942157,7.301320916063467,1.2939678692164436,1.48221870337141,26.0,1.0,0.005684601916973398,0.00610563716279531,1.3532663316582916
3.880539967359628,3.664225942600555,23.10362422064943,7.2770021062505155,1.2158429601627987,1.445238705497682,27.0,1.0,0.008661621118404086,0.005845701156367741,1.3603015075376885
3.883616842790064,3.66672168554808,22.923889743127827,7.2551949763963055,1.1377656446171305,1.4129567205062346,28.0,1.0,0.0075048743566804455,0.0056118651562260214,1.3603015075376885
3.886327476958376,3.6689160348970296,22.753455100522572,7.236008649980357,1.0599304997533727,1.382557624484228,29.0,1.0,0.005028147055932172,0.005410187397575794,1.3603015075376885
3.8886809605302233,3.670818153955752,22.59267971532481,7.219366882674544,0.9890489933402492,1.3527617114823278,30.0,1.0,0.00425199158442689,0.005238187403492105,1.3603015075376885
3.890706792818457,3.672453424078696,22.44092320575568,7.205059328276803,0.9228579861393594,1.3232209045187329,31.0,1.0,0.00515288283472169,0.0050921696830540705,1.3603015075376885
3.892445835717833,3.673855959509437,22.29691667855876,7.192800117336939,0.8628973807806024,1.2941777568531525,32.0,1.0,0.006681246077743238,0.004968058844023589,1.3603015075376885
3.893942801243731,3.675062529389819,22.15952702226332,7.182277884869402,0.8083328157649803,1.2663335676046172,33.0,1.0,0.008258422901330855,0.004856551304084096,1.3673366834170855
3.8952411013361177,3.6761084873786904,22.02810351385741,7.173190588223276,0.7595460218086417,1.240110576387584,34.0,1.0,0.008805642877087991,0.00476010348935834,1.3673366834170855
3.8963799380278914,3.6770255413015462,21.902408359044305,7.165265348781334,0.7156696411439207,1.2145169763146653,35.0,1.0,0.007483995988030059,0.00467593637893519,1.3673366834170855
3.897393073445788,3.6778408665900546,21.78234372190633,7.158266888633182,0.6780472545125944,1.189857023852688,36.0,1.0,0.006360619589890807,0.004601566430968598,1.3673366834170855
3.89830865536916,3.6785770428227966,21.667727736090622,7.151998730306428,0.644356998192759,1.1658138416745696,37.0,1.0,0.005414673355495148,0.004534999910652571,1.3673366834170855
3.899149596983477,3.6792524090499903,21.55822091368348,7.1463005506403094,0.6143488649415709,1.142271408821915,38.0,1.0,0.00463976573290895,0.0044746552977515345,1.3673366834170855
3.8999341792678823,3.679881577591387,21.45336313620341,7.141043949657316,0.5868207344627129,1.1188933026583592,39.0,1.0,0.004045214244208616,0.004419290044104401,1.3673366834170855
3.90067669076954,3.6804759647378873,21.35267140974002,7.136127914967367,0.562823505642776,1.0956989643853448,40.0,1.0,0.0036533749391849096,0.004367937770187099,1.3673366834170855
3.901388021502276,3.681044277141159,21.25576321531588,7.131474577800408,0.5420957784741444,1.073816178224149,41.0,1.0,0.0034871794025685848,0.004319856222536434,1.3673366834170855
3.9020761885362423,3.681592939367559,21.162442852599096,7.127025446844655,0.5230171515985422,1.052589556603539,42.0,1.0,0.0035490025316436626,0.004274484109180696,1.3673366834170855
3.902746800968404,3.682126470463463,21.072693169379644,7.122738099676992,0.5055209056619459,1.0312927677459784,43.0,1.0,0.003809691682547961,0.004231404589903236,1.3673366834170855
3.903403481675311,3.6826478239698464,20.98658191443975,7.118583238719742,0.4910164944210649,1.0096680958464812,44.0,1.0,0.004221165700132975,0.004190313710034379,1.3673366834170855
3.904048260770648,3.6831587032314914,20.904148656417092,7.114542023812435,0.4786671200579193,0.988774279622331,45.0,1.0,0.004736287026475985,0.004150992845934612,1.3673366834170855
3.904681947365421,3.683659857061856,20.825329488311763,7.110603635046175,0.4677827162499105,0.9678632197595664,46.0,1.0,0.005318494413790448,0.004113284926484264,1.3673366834170855
3.9053044769625567,3.684151353632206,20.749929979169977,7.106763067205016,0.458751246282066,0.9466853088132088,47.0,1.0,0.0059420531492907986,0.004077074610562672,1.3673366834170855
3.905915225100898,3.6846328254691585,20.677630210972495,7.103019191140392,0.4507076857545852,0.925734546379984,48.0,1.0,0.006589262137729829,0.004042272672654542,1.3673366834170855
3.9065132755329897,3.685103676950513,20.60801364923948,7.09937312834753,0.4436665761641778,0.9052590529057192,49.0,1.0,0.007247816641137556,0.004006844605087857,1.3743718592964824
3.907097633359404,3.6855632476039784,20.540623293687027,7.095826973366772,0.4374847742350983,0.8860768194469625,50.0,1.0,0.007908997720797074,0.003972455697350104,1.3743718592964824
3.9076673788127234,3.686010928700648,20.47504148286974,7.092382871931798,0.4311776103121627,0.8672976670868016,51.0,1.0,0.008566539817055881,0.003939324308945975,1.3743718592964824
3.9082217637535273,3.68644623549615,20.41097776231088,7.089042431525525,0.4251392538914287,0.848556445049811,52.0,1.0,0.008468175528583737,0.003907390834175181,1.3743718592964824
3.9087602584994103,3.686868841570911,20.348341668455635,7.08580641458555,0.4189240662457939,0.8298038026558293,53.0,1.0,0.007827655335242064,0.003876596292981596,1.3743718592964824
3.9092825601405146,3.687278584195158,20.28724842748179,7.082674648739579,0.4130325834162641,0.8113176152281202,54.0,1.0,0.007214258275285734,0.0038468830163752364,1.3743718592964824
3.909788574656024,3.687675450302071,20.227910679078505,7.079646084553141,0.4079701982483174,0.7941488683641911,55.0,1.0,0.006629354084145901,0.0038181956611493847,1.3743718592964824
