complexity,accuracy,distortion,mse,round,run,min_distance_to_curve,min_epsilon,min_beta
0.0072288807118265,0.0028791326942538,5.108792195301044,1666.021488347371,0.0,1.0,0.0031637392376906276,-8.807174007901208,0.9558558558558559
0.0040728269463521,0.0032998664565724,5.1083714615387255,1665.5349965671246,1.0,1.0,0.0006919929809072981,-8.810896550975189,0.9558558558558559
0.0113720077208743,0.0101217411059693,5.101549586889329,1664.6340848323705,2.0,1.0,0.0036699739976246673,-8.810082147905717,0.9558558558558559
0.0367082145992618,0.0338400890553369,5.077831238939961,1661.3392092045483,3.0,1.0,0.0034655903600736165,-8.8072941908268,0.9558558558558559
0.1248446760396433,0.1172521859203907,4.994419142074907,1647.7645417197118,4.0,1.0,0.017049693017463986,-8.798504329322737,0.9651651651651652
0.4270300400225917,0.4057913196880758,4.705880008307222,1585.6047716054666,5.0,1.0,0.018021552350115436,-8.776277263123955,0.9837837837837838
1.327643756515851,1.2711332818031096,3.840538046192188,1301.8333355021514,6.0,1.0,0.03853077207394703,-8.764582672429833,1.0768768768768768
2.8535694250594243,2.737038004219535,2.374633323775763,643.9247428790362,7.0,1.0,0.06496627899026104,-9.041477262480434,2.3801801801801803
3.870642595265771,3.69917332362745,1.4124980043678477,176.58389508089115,8.0,1.0,0.04564503724323636,-9.607526566859121,2.7432432432432434
4.254856007042575,4.045361308586852,1.066310019408446,37.70173374789706,9.0,1.0,0.02045235932137965,-9.817166839348044,2.8828828828828827
4.408554579306827,4.173623935454723,0.9380473925405752,8.79586362607327,10.0,1.0,0.017806488727512178,-9.892688275006156,2.9480480480480478
4.484502791172881,4.232725246513743,0.8789460814815548,4.654388606245458,11.0,1.0,0.01056184324957426,-9.926133680268565,2.9759759759759756
4.529159793246794,4.266279345898495,0.8453919820968032,3.7110056620013703,12.0,1.0,0.007670291772843208,-9.94472700209248,2.9945945945945946
4.557283560933056,4.287117746636708,0.8245535813585896,3.313102312549217,13.0,1.0,0.004481561251095149,-9.956190864225972,3.003903903903904
4.575116040126979,4.300210442240619,0.8114608857546788,3.107164828034809,14.0,1.0,0.002454686826106194,-9.963359805587604,3.0132132132132132
4.586400283568379,4.30843423300799,0.803237094987308,3.018850835128143,15.0,1.0,0.009630244891233012,-9.967840628574608,3.0225225225225225
4.593605312149924,4.313656476354927,0.7980148516403709,2.9913167113400405,16.0,1.0,0.0016871741299326487,-9.970679091973553,3.0225225225225225
4.598343663939724,4.31708461209981,0.7945867158954876,2.9777098908633883,17.0,1.0,0.0054796991835311636,-9.97253954650035,3.0225225225225225
4.601584119254966,4.3194291650039,0.792242162991398,2.968658524977571,18.0,1.0,0.009381079283475615,-9.973811996453644,3.0225225225225225
4.603898253986678,4.321104069370216,0.7905672586250816,2.96233007429038,19.0,1.0,0.0111580033609844,-9.974721270551049,3.0225225225225225
4.605625839096136,4.322354395345791,0.7893169326495073,2.957706186398336,20.0,1.0,0.009031068733601239,-9.975400025894285,3.0225225225225225
4.606970587663428,4.323326997697954,0.7883443302973436,2.9541822584972386,21.0,1.0,0.0073781510999356556,-9.975928712373152,3.031831831831832
4.6080564705887745,4.3241113857901325,0.7875599422051653,2.9513925892215056,22.0,1.0,0.0060467694450434244,-9.976354939793637,3.031831831831832
4.608960605123654,4.324763399733138,0.7869079282621598,2.9491108760269733,23.0,1.0,0.004942359259091722,-9.976708739790412,3.031831831831832
4.609732337515037,4.325318894265962,0.7863524337293359,2.947193210949477,24.0,1.0,0.004004950970581749,-9.977009691052306,3.031831831831832
4.610404298731398,4.3258016581389125,0.7858696698563854,2.945545230720164,25.0,1.0,0.0031959096342364965,-9.977270819539909,3.031831831831832
4.610998836492046,4.326228026551284,0.7854433014440136,2.9441030223641147,26.0,1.0,0.002490784533248346,-9.977501089423859,3.031831831831832
4.611531794920694,4.326609599327808,0.7850617286674897,2.942821883876024,27.0,1.0,0.0018765645305743365,-9.97770687460456,3.031831831831832
4.612014771403935,4.326954870871242,0.7847164571240555,2.941669594646859,28.0,1.0,0.0013542703058841438,-9.977892844277036,3.031831831831832
4.612456494084665,4.327270230184595,0.7844010978107026,2.940622298075042,29.0,1.0,0.0009532810601389649,-9.978062508609524,3.031831831831832
4.612863685906536,4.327560591622081,0.7841107363732167,2.9396619169643183,30.0,1.0,0.0007603229952271853,-9.978218564503544,3.031831831831832
4.613241623848655,4.327829805265578,0.7838415227297197,2.9387744840765277,31.0,1.0,0.0008479576327089667,-9.978363121515974,3.031831831831832
4.613594513163601,4.328080932726792,0.7835903952685062,2.937949031035388,32.0,1.0,0.0011133113324310107,-9.978497854224932,3.031831831831832
4.613925746255314,4.328316438488649,0.7833548895066489,2.9371768266288014,33.0,1.0,0.0014384977209560914,-9.97862410818455,3.031831831831832
4.6142380873732645,4.328538326601906,0.7831330013933915,2.9364508399401195,34.0,1.0,0.00177602774488901,-9.978742975703238,3.031831831831832
4.614533808021328,4.328748240892395,0.7829230871029029,2.9357653524073215,35.0,1.0,0.002109959154353248,-9.97885535138853,3.031831831831832
4.614814788546873,4.328947540038794,0.7827237879565043,2.935115671388119,36.0,1.0,0.002434824305336073,-9.978961973717372,3.031831831831832
4.6150825958107,4.329137354843136,0.7825339731521623,2.9344979147839876,37.0,1.0,0.0027488623315734804,-9.97906345668846,3.031831831831832
4.615338543480059,4.329318632560684,0.7823526954346143,2.933908846619474,38.0,1.0,0.0030517436575370513,-9.97916031426546,3.031831831831832
4.615583739405324,4.329492171621519,0.782179156373779,2.933345749934108,39.0,1.0,0.003343715912241409,-9.97925297947218,3.031831831831832
