complexity,mse
0.0,2.5
2.6226044e-06,2.2607925
9.059906e-06,2.0631204
1.7166138e-05,1.905838
2.5987625e-05,1.7830939
3.4332275e-05,1.6876794
4.2676926e-05,1.6129619
5.054474e-05,1.5536039
5.8174133e-05,1.5056163
6.580353e-05,1.4661282
7.247925e-05,1.4331124
7.915497e-05,1.4051306
8.535385e-05,1.3811598
9.10759e-05,1.3604534
9.584427e-05,1.3424516
0.00010061264,1.3267243
0.000104665756,1.312934
0.00010848045,1.3008056
0.00011134148,1.2901125
0.00011372566,1.2806659
0.00011587143,1.2723051
0.00011730194,1.2648921
0.000118255615,1.2583103
0.00011873245,1.2524573
0.00011897087,1.2472448
0.00011873245,1.2425967
0.000118255615,1.2384462
0.00011754036,1.234735
0.00011634827,1.2314128
0.00011467934,1.2284353
0.00011301041,1.2257634
0.00011134148,1.2233632
0.00010931492,1.2212045
0.00010716915,1.2192615
0.00010514259,1.2175105
0.0001026392,1.2159313
0.00010061264,1.2145054
9.763241e-05,1.213217
9.536743e-05,1.2120519
9.274483e-05,1.2109971
9.036064e-05,1.2100418
8.785725e-05,1.2091758
8.523464e-05,1.20839
8.273125e-05,1.2076768
8.034706e-05,1.2070286
7.772446e-05,1.2064394
7.534027e-05,1.2059033
7.2956085e-05,1.2054152
7.081032e-05,1.2049706
6.854534e-05,1.2045654
6.6280365e-05,1.2041956
6.425381e-05,1.2038583
6.210804e-05,1.2035501
6.020069e-05,1.2032685
5.8174133e-05,1.2030112
5.6147575e-05,1.2027755
5.4359436e-05,1.20256
5.2452087e-05,1.2023624
5.0783157e-05,1.2021813
4.9352646e-05,1.2020154
4.7683716e-05,1.201863
4.6014786e-05,1.2017231
4.4465065e-05,1.2015948
4.339218e-05,1.2014766
4.184246e-05,1.2013681
4.041195e-05,1.2012682
3.9219856e-05,1.2011762
3.7789345e-05,1.2010916
3.683567e-05,1.2010136
3.552437e-05,1.2009416
3.4570694e-05,1.2008752
3.33786e-05,1.2008139
3.2663345e-05,1.2007573
3.159046e-05,1.200705
3.0398369e-05,1.2006565
2.9563904e-05,1.200612
2.861023e-05,1.2005703
2.8014183e-05,1.2005321
2.7060509e-05,1.2004966
2.6226044e-05,1.2004637
2.5749207e-05,1.2004331
2.4914742e-05,1.2004048
2.4199486e-05,1.2003787
2.360344e-05,1.2003541
2.2888184e-05,1.2003313
2.2292137e-05,1.2003102
2.2292137e-05,1.2003
2.3245811e-05,1.2003
2.4199486e-05,1.2003002
2.4676323e-05,1.2002912
2.5510788e-05,1.2002921
2.6464462e-05,1.2002934
2.69413e-05,1.2002854
2.8252602e-05,1.2002873
2.9444695e-05,1.2002895
3.015995e-05,1.2002822
3.159046e-05,1.200285
3.194809e-05,1.2002783
3.385544e-05,1.2002814
3.4213066e-05,1.2002752
3.6120415e-05,1.2002788
3.671646e-05,1.2002729
3.7550926e-05,1.2002673
3.9815903e-05,1.2002715
4.053116e-05,1.2002661
4.3034554e-05,1.2002705
4.3988228e-05,1.2002656
4.6610832e-05,1.2002703
4.8041344e-05,1.2002654
4.9233437e-05,1.2002608
5.2332878e-05,1.2002658
5.364418e-05,1.2002612
5.507469e-05,1.2002568
5.865097e-05,1.2002621
6.055832e-05,1.2002575
6.222725e-05,1.2002532
6.6399574e-05,1.2002585
6.842613e-05,1.2002542
7.367134e-05,1.2002594
7.581711e-05,1.200255
7.83205e-05,1.2002505
8.404255e-05,1.2002555
8.690357e-05,1.2002509
8.952618e-05,1.2002461
9.6559525e-05,1.2002506
0.000100016594,1.2002456
0.00010752678,1.2002497
0.000111699104,1.2002442
0.00012028217,1.2002478
0.00012457371,1.2002417
0.00013458729,1.2002445
0.00013959408,1.2002375
0.00015091896,1.2002397
0.00016307831,1.2002411
0.00017607212,1.200242
0.00018334389,1.2002327
0.00019848347,1.200232
0.00021457672,1.2002304
0.00023245811,1.2002279
0.00026154518,1.2002337
0.0002837181,1.2002285
0.00030744076,1.2002215
0.0003464222,1.2002225
0.0003759861,1.2002115
0.00042390823,1.2002078
0.0004606247,1.2001916
0.0005197525,1.2001816
0.00058686733,1.2001679
0.00066280365,1.2001498
0.00072062016,1.2001176
0.00081431866,1.2000892
0.00092053413,1.200055
0.0010010004,1.2000057
0.0011320114,1.1999584
0.001231432,1.1998959
0.001339674,1.1998262
0.0014582872,1.1997495
0.0015870333,1.1996652
0.001727581,1.1995735
0.0018810034,1.1994743
