complexity,accuracy,distortion,mse
6.3963056,4.880741,0.23092937,186.54352
6.396308,4.8851786,0.22649193,256.7933
-7.6293945e-06,-2.861023e-06,5.1116734,1666.5018
6.483856,4.965847,0.14582443,113.439995
6.356308,4.8241215,0.28754997,320.8133
6.3363075,4.804348,0.30732346,178.43001
6.2887583,4.7709723,0.34069824,488.81332
6.3163075,4.7843466,0.3273239,259.5533
