accuracy,complexity
3.9677123262428766e-16,-4.371174257534617e-17
6.797351896004162e-16,1.8050666697439442e-14
2.628062655565447e-14,1.025669015473899e-12
2.8698643832882057e-13,1.153388827762301e-11
1.6467733612545307e-12,6.633623978570585e-11
5.279811229028765e-12,2.127060719086612e-10
1.8183695510903096e-11,7.326442849419919e-10
4.229880098321272e-11,1.7042856226839788e-09
8.415455798004039e-11,3.3907524527054287e-09
9.028968066763465e-11,3.637951016638386e-09
1.4757377284118175e-10,5.946054480446549e-09
2.208676355246802e-10,8.899215753154115e-09
3.306025065887259e-10,1.3320701652286555e-08
5.180761958391965e-10,2.0874424529206378e-08
7.08741798002636e-10,2.8556759641004493e-08
1.0009158227286441e-09,4.032912085728957e-08
1.414972523705212e-09,5.701239903671118e-08
2.013690581307798e-09,8.113610261077142e-08
2.7657298180989307e-09,1.1143744740669916e-07
4.160365404858458e-09,1.6763045198767352e-07
5.067550746969898e-09,2.0418298651910758e-07
6.809469224557668e-09,2.743688017543225e-07
