complexity,accuracy,distortion,mse
9.681743,8.139118,0.28224754,22730.193
9.712007,8.169259,0.25210667,19222.922
5.531311e-05,4.9591064e-05,8.421316,166666.44
9.712992,8.168577,0.25278854,22001.984
9.686236,8.141821,0.27954483,24086.818
9.654988,8.112682,0.3086834,24421.238
9.627213,8.08491,0.33645535,26746.98
9.610724,8.070284,0.35108185,28522.795
