complexity,accuracy
6.624159803970589,5.109282536441428
6.619407896304671,5.108611583890018
6.613497330926015,5.107746652223126
6.606085327323003,5.106620984343253
6.596829941169577,5.105159990966701
6.585207638517612,5.103250148955825
6.570567486500753,5.100741464765836
6.552063199079709,5.097428400922201
6.5286322589812285,5.093035899611915
6.498962805250683,5.087200308198164
6.4613892239563215,5.0794287674933605
6.413646262502007,5.069018591702972
6.3535121367261045,5.055166455370412
6.277955332911734,5.036709960530257
6.185858836902382,5.012827064969853
6.076038072810773,4.982496073494278
5.948323003110546,4.944813338624064
5.807207599258021,4.900131623736765
5.632566677310215,4.840279891103896
5.475401083504133,4.781152341426494
5.317781263530403,4.715919770892893
5.153077673087259,4.640097856386317
4.93892566205467,4.5282551334689725
4.689143411639896,4.378096732066464
4.23902567602302,4.058437525890594
0.882971354321873,0.8623436786771267
0.005093967618994635,0.00494224784904447
0.00025439273887786865,0.00024402639553951702
4.500686111233223e-06,4.271639937240029e-06
1.8511047206602413e-12,1.7346356630773217e-12
