accuracy,complexity
5.191677830132338e-14,9.000029680351585e-14
3.8064750652660906e-08,6.62205188089675e-08
7.657214463482238e-07,1.3321086335889168e-06
3.401336634158652e-05,5.917291325931913e-05
8.421935680829411e-05,0.00014651825630571273
0.0007572868044977703,0.0013177408058764673
0.0077381995054458036,0.01349434480276393
0.07488838126044926,0.13357426898720043
0.15691526344329929,0.28937184941226457
0.23458911426630827,0.450655894354703
0.2874784998383187,0.5717741215353462
0.31875893788792814,0.6506899329084919
0.33763130049452916,0.7055600303148614
0.3521343380549587,0.7518163460741523
0.36539742312173523,0.7986891345139332
0.3772336916440059,0.8426260859569258
0.388619780357428,0.888270568130687
0.39769472086259844,0.9261247872390044
0.4076127971455054,0.9705597738967893
0.4163954861950625,1.0105413559378007
0.4239277114774175,1.0480232027571994
0.43027029511493725,1.0794189180788303
0.43694734121636,1.1156545518140062
0.44268954218217776,1.1467422725381875
0.4481073635241023,1.1787109461645306
0.45320353041125827,1.2094570992352598
0.4574486056677583,1.2369918433728757
0.46104756480206543,1.2593357795974787
0.46463455602547227,1.284653596038875
0.4683200942705411,1.3105384222179206
