complexity,accuracy,distortion,mse
1.5206985,1.271111,0.6409168,1.564577
1.5260558,1.2743273,0.63770056,1.5527154
0.84984064,0.76271725,1.1493106,4.4075174
1.5261159,1.2743626,0.6376653,1.5525835
1.5264163,1.2745566,0.6374712,1.5518614
1.5262008,1.2744136,0.63761425,1.5523976
1.5260086,1.2742982,0.63772964,1.5528196
1.5206838,1.2711029,0.64092493,1.5646057
