Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,complexity,accuracy,distortion,mse,gNID,eps,beta,run
0,0,0,1.5260925,1.2743492,0.6376786,2.292996,-0.00039852369054305115,0.022426290437579155,1.0918879252835223,0
1,1,1,1.5261106,1.2743587,0.6376686,2.2929628,-0.00040650578828094197,0.02243334800004959,1.0918879252835223,1
2,2,2,1.5260835,1.274344,0.63768387,2.2930155,-0.0003950508691346055,0.022423237562179565,1.0918879252835223,2
3,3,3,1.5107327,1.264987,0.64704037,2.3259509,0.0006439715080500674,0.014866768382489681,1.088559039359573,3
4,4,4,1.5058727,1.262044,0.6499839,2.3360157,-0.0004282634679626529,0.013345735147595406,1.088559039359573,4
5,5,5,1.2563982,1.089076,0.8229518,3.0180244,0.009384852718350323,0.0017246428178623319,0.9920213475650433,5
6,6,6,1.5018215,1.2593222,0.65270567,2.3459926,-0.0015085980410280975,0.017658134922385216,1.0785723815877253,6
7,7,7,0.8498409,0.76271725,1.1493101,4.8548727,0.10875548048947548,-0.01872273162007332,0.8721814543028686,7
