accuracy,complexity
0.6704526,0.011886597
0.6788759,0.01193285
0.6711068,0.011870861
0.68195295,0.011920452
0.6708312,0.011849403
0.66711044,0.011816502
0.6636596,0.011785984
0.66368103,0.011767864
0.6642723,0.011755466
0.65466976,0.011692047
0.6518245,0.011668205
0.65236616,0.0116381645
0.6438303,0.011588097
0.64097404,0.011563778
0.6405258,0.011529446
0.63660574,0.011508465
0.63382816,0.011474609
0.6298237,0.011435986
0.63306475,0.011424065
0.6307769,0.0113630295
0.62033033,0.011333942
0.6221523,0.011302471
0.62085104,0.011278629
0.6147256,0.011238098
0.6094184,0.01120472
0.6081476,0.011171341
0.60478544,0.011129856
0.60183334,0.011102676
0.5980234,0.011064053
0.5957947,0.01099062
0.5927472,0.010947704
0.58781767,0.010956764
0.58642673,0.010858059
0.5819478,0.010831356
0.5776715,0.010825157
0.5761318,0.0107831955
0.5720353,0.010741711
0.5679631,0.010602951
0.56398106,0.010632515
0.56199074,0.010628223
0.5580988,0.010550976
0.55460167,0.010497093
0.55159473,0.010508537
0.5459113,0.010375023
0.5441613,0.0103878975
0.5398569,0.010293484
0.5337601,0.010212421
0.5317745,0.010185242
0.52530575,0.010056496
0.52324724,0.010090351
0.52021646,0.010015011
0.51780415,0.010010719
0.5128217,0.009926796
0.5096345,0.009902
0.49889374,0.009675503
0.50520897,0.0098724365
0.497653,0.009749413
0.49214315,0.009613514
0.49276066,0.009699345
0.48926353,0.00965023
0.47841024,0.009426117
0.48194313,0.009551048
0.47107458,0.009309292
0.4711485,0.009352684
0.46619272,0.009282589
0.45713043,0.009117126
0.455616,0.009115696
0.45321846,0.009073257
0.4487872,0.009021759
0.44002533,0.008846283
0.44079638,0.008903027
0.42913246,0.008662701
0.43171883,0.008750439
0.42804432,0.008693695
0.42720842,0.008709431
0.4175892,0.008520603
0.4187317,0.008580208
0.40418196,0.008290291
0.40845108,0.00840044
0.3969803,0.008183479
0.39666748,0.00820303
0.38155174,0.007901669
0.39128256,0.008128166
0.3746338,0.007783413
0.3757143,0.007836342
0.34695578,0.007256508
0.36209106,0.0075922012
0.3616495,0.0075998306
0.34287262,0.0072131157
0.33754063,0.0071401596
0.34125566,0.0072221756
0.32831717,0.0069642067
0.34306479,0.007303238
0.30192757,0.0064315796
0.29770565,0.006416321
0.29776096,0.006409645
0.29671192,0.006380558
0.30301666,0.0065436363
0.30042458,0.006495476
0.29343843,0.006357193
0.28456545,0.006198883
0.27137518,0.005940914
0.26543283,0.005800247
0.2685566,0.0058870316
0.2671671,0.0058732033
0.24222994,0.005370617
0.24686432,0.0054559708
0.24751997,0.005498886
0.2273078,0.005051136
0.22020054,0.0048942566
0.21481657,0.004816532
0.22089195,0.004951477
0.20741224,0.0046839714
0.21085405,0.004755497
0.18409061,0.0041856766
0.16460657,0.0037703514
0.19195843,0.0043582916
0.17178106,0.0039339066
0.15119791,0.003493309
0.17200613,0.003950596
0.14392805,0.003332138
0.15405798,0.0035467148
0.15850878,0.0036616325
0.15956545,0.0036945343
0.13089752,0.0030574799
0.1276679,0.0029768944
0.11150837,0.0026097298
0.11407137,0.0026688576
0.11692619,0.002752304
0.10539341,0.0024914742
0.09580755,0.0022597313
0.086643696,0.0020604134
0.10157251,0.0024018288
0.09589243,0.0022802353
0.06601381,0.0015802383
0.064558506,0.0015544891
0.074257374,0.0017790794
0.056306362,0.0013551712
0.06239271,0.0015010834
0.033908367,0.0008254051
0.050768852,0.0012278557
0.04039049,0.0009799004
0.042321682,0.001024723
0.044550896,0.0010824203
0.030380726,0.00074243546
0.038484097,0.00093746185
0.015983582,0.00039291382
0.029013634,0.0007081032
0.025527477,0.0006251335
0.020430565,0.0005002022
0.011277199,0.0002784729
0.018405437,0.0004515648
0.01550293,0.0003809929
0.020222187,0.00049734116
0.014902592,0.00036668777
0.0070753098,0.0001745224
0.015153885,0.0003733635
0.007619381,0.00018882751
0.0092840195,0.00022888184
0.00903368,0.00022315979
0.0067744255,0.00016784668
0.0070171356,0.00017356873
0.005924225,0.00014734268
0.0041975975,0.00010442734
0.005279064,0.00013065338
0.00533247,0.0001320839
0.0041303635,0.00010204315
0.0021066666,5.197525e-05
0.0038528442,9.584427e-05
0.0035009384,8.583069e-05
0.0021471977,5.2928925e-05
0.0023031235,5.6743622e-05
0.0026946068,6.67572e-05
0.0014977455,3.671646e-05
0.001552105,3.862381e-05
0.0019202232,4.7683716e-05
0.0015420914,3.8146973e-05
0.0015187263,3.7670135e-05
0.0013513565,3.33786e-05
0.0013184547,3.2901764e-05
0.00063180923,1.5735626e-05
0.00062704086,1.6212463e-05
0.0006752014,1.7166138e-05
0.00058603287,1.4305115e-05
0.0002732277,6.67572e-06
0.0005378723,1.3828278e-05
0.0006456375,1.6212463e-05
0.00027370453,6.67572e-06
0.0007119179,1.7166138e-05
9.9658966e-05,2.3841858e-06
0.00011253357,2.861023e-06
0.00020074844,5.722046e-06
0.00028038025,7.6293945e-06
0.0001707077,3.8146973e-06
0.00016927719,4.2915344e-06
0.00017881393,4.2915344e-06
0.0001578331,3.33786e-06
0.00022315979,5.722046e-06
5.5789948e-05,9.536743e-07
4.7683716e-05,1.4305115e-06
3.862381e-05,9.536743e-07
8.9645386e-05,2.3841858e-06
0.00010728836,2.3841858e-06
0.000104904175,3.33786e-06
4.1484833e-05,9.536743e-07
4.1007996e-05,4.7683716e-07
3.0517578e-05,9.536743e-07
5.1498413e-05,9.536743e-07
3.0040741e-05,1.9073486e-06
4.9591064e-05,1.4305115e-06
2.9563904e-05,9.536743e-07
3.7670135e-05,0.0
2.861023e-05,4.7683716e-07
2.527237e-05,4.7683716e-07
2.0503998e-05,0.0
1.0967255e-05,9.536743e-07
1.7642975e-05,9.536743e-07
8.106232e-06,4.7683716e-07
7.6293945e-06,9.536743e-07
1.3828278e-05,4.7683716e-07
1.0967255e-05,4.7683716e-07
3.33786e-06,4.7683716e-07
8.106232e-06,0.0
3.33786e-06,0.0
5.2452087e-06,0.0
8.106232e-06,-4.7683716e-07
2.861023e-06,4.7683716e-07
3.33786e-06,0.0
2.861023e-06,4.7683716e-07
2.861023e-06,4.7683716e-07
1.9073486e-06,0.0
2.3841858e-06,4.7683716e-07
2.861023e-06,4.7683716e-07
1.9073486e-06,4.7683716e-07
3.33786e-06,0.0
1.4305115e-06,0.0
9.536743e-07,4.7683716e-07
1.4305115e-06,-4.7683716e-07
9.536743e-07,4.7683716e-07
9.536743e-07,4.7683716e-07
9.536743e-07,0.0
1.4305115e-06,-4.7683716e-07
9.536743e-07,4.7683716e-07
1.4305115e-06,-4.7683716e-07
0.0,4.7683716e-07
1.4305115e-06,-4.7683716e-07
4.7683716e-07,0.0
-4.7683716e-07,0.0
0.0,4.7683716e-07
9.536743e-07,4.7683716e-07
0.0,0.0
-4.7683716e-07,-4.7683716e-07
4.7683716e-07,9.536743e-07
4.7683716e-07,0.0
-4.7683716e-07,0.0
4.7683716e-07,4.7683716e-07
0.0,4.7683716e-07
4.7683716e-07,0.0
-9.536743e-07,4.7683716e-07
4.7683716e-07,0.0
9.536743e-07,0.0
-4.7683716e-07,0.0
0.0,-4.7683716e-07
4.7683716e-07,-4.7683716e-07
9.536743e-07,-4.7683716e-07
-4.7683716e-07,4.7683716e-07
4.7683716e-07,0.0
9.536743e-07,-4.7683716e-07
9.536743e-07,0.0
0.0,-4.7683716e-07
9.536743e-07,4.7683716e-07
4.7683716e-07,0.0
4.7683716e-07,-4.7683716e-07
0.0,4.7683716e-07
0.0,-4.7683716e-07
1.4305115e-06,-4.7683716e-07
4.7683716e-07,-9.536743e-07
0.0,4.7683716e-07
0.0,0.0
4.7683716e-07,9.536743e-07
0.0,-4.7683716e-07
0.0,-4.7683716e-07
-4.7683716e-07,4.7683716e-07
9.536743e-07,9.536743e-07
-4.7683716e-07,4.7683716e-07
-4.7683716e-07,4.7683716e-07
-4.7683716e-07,4.7683716e-07
0.0,0.0
0.0,0.0
4.7683716e-07,-4.7683716e-07
4.7683716e-07,4.7683716e-07
0.0,-4.7683716e-07
4.7683716e-07,0.0
0.0,0.0
4.7683716e-07,-4.7683716e-07
9.536743e-07,0.0
0.0,0.0
0.0,-4.7683716e-07
4.7683716e-07,-4.7683716e-07
9.536743e-07,-4.7683716e-07
0.0,4.7683716e-07
4.7683716e-07,0.0
4.7683716e-07,4.7683716e-07
4.7683716e-07,4.7683716e-07
4.7683716e-07,4.7683716e-07
0.0,-4.7683716e-07
4.7683716e-07,-9.536743e-07
9.536743e-07,0.0
4.7683716e-07,-9.536743e-07
-4.7683716e-07,0.0
4.7683716e-07,4.7683716e-07
4.7683716e-07,0.0
0.0,4.7683716e-07
0.0,-4.7683716e-07
9.536743e-07,9.536743e-07
