complexity,accuracy,distortion,beta,eu_gamma=0,eu_gamma=-3,eu_gamma=-1,eu_gamma=1,eu_gamma=2,eu_gamma=3
1.4230394640435406e-10,1.4244072588098788e-10,4.616410832997756,1.0,0.0176573743717419,0.4605714983669448,0.0551095029599472,0.0100009003586308,0.0100000000019408,0.010000000002209396
1.024448081921036e-09,1.0253575766228096e-09,4.616410832114839,1.000050505050505,0.0176573743932135,0.4605714987270938,0.0551095030259316,0.0100009003708426,0.0100000000141516,0.010000000014420196
6.666628138418673e-09,6.671861285667546e-09,4.616410826468336,1.0001010101010102,0.0176573745305449,0.4605715010305866,0.0551095034479648,0.0100009004489492,0.0100000000922512,0.010000000092519782
3.921540603357698e-08,3.924223790363613e-08,4.616410793897959,1.0001515151515152,0.0176573753227866,0.4605715143190519,0.0551095058826036,0.0100009008995329,0.0100000005427947,0.010000000543063272
2.085185109024225e-07,2.0864010785714981e-07,4.616410624500089,1.00020202020202,0.0176573794436471,0.4605715834392652,0.055109518546425,0.0100009032432528,0.0100000028863055,0.01000000288657404
1.002240905378926e-06,1.002724095755525e-06,4.616409830416101,1.0002525252525252,0.0176573987629515,0.4605719074867434,0.0551095779166017,0.0100009142310153,0.0100000138730877,0.010000013873356245
4.35453088165616e-06,4.356190327570175e-06,4.616406476949869,1.0003030303030302,0.0176574803579985,0.4605732761008794,0.0551098286664431,0.0100009606378102,0.010000060275742,0.01000006027601073
1.710230387530487e-05,1.7107093736257184e-05,4.616393726046461,1.000353535353535,0.0176577906382197,0.4605784805115688,0.055110782189083,0.0100011371082043,0.0100002367303913,0.010000236730660375
6.071767448112553e-05,6.072854718297549e-05,4.616350104593014,1.0004040404040404,0.0176588522134433,0.4605962866237108,0.0551140445188345,0.0100017408739751,0.0100008404422934,0.010000840442563648
0.0001948638416955,0.0001948790577426,4.616215954082454,1.0004545454545457,0.0176621170577379,0.4606510491601961,0.0551240777331021,0.0100035977376942,0.0100026971403406,0.010002697140614742
0.0005653666123315,0.0005653536941636,4.615845479446033,1.0005050505050506,0.0176711327489824,0.4608022756978766,0.0551517840097477,0.0100087253612627,0.0100078243064148,0.01000782430669948
0.0014831846926224,0.0014830013429047,4.614927831797292,1.0005555555555556,0.0176934565705187,0.4611767464499536,0.0552203883531752,0.0100214218747736,0.0100205196871169,0.01002051968742766
0.0035200604758589,0.0035192722761276,4.612891560864069,1.0006060606060605,0.0177429477250457,0.462007025736921,0.055372485053284,0.0100495694384622,0.0100486647393882,0.010048664739756909
0.0075667909760337,0.0075643462204553,4.608846486919742,1.0006565656565656,0.0178410641592821,0.4636534310670823,0.055674030682471,0.0101053713811507,0.0101044617031038,0.010104461703587145
0.0147676343849365,0.0147614317432491,4.601649401396948,1.0007070707070709,0.01801496608977,0.4665727626413379,0.056208535394566,0.0102042725251903,0.010203354022137,0.010203354022823146
0.0262740521607014,0.0262605704400176,4.590150262700179,1.0007575757575755,0.0182910178883578,0.4712102143947739,0.0570571267251955,0.0103612615879796,0.0103603290754257,0.010360329076432891
0.0428777474374157,0.0428519938785729,4.573558839261624,1.0008080808080808,0.0186853876776133,0.4778425114888351,0.0582696931623163,0.010585522975963,0.0105845704477991,0.010584570449262646
