complexity,accuracy,distortion,mse,gNID,eps,beta,run
5.254619615633413,4.937817429835027,1.7495894773775884,4439.387565209739,0.12336830093388684,0.17522482573986053,0.8388925790786743,0
3.5868232901801615,3.3751204240227555,3.31228648318986,7862.573781828196,0.3028733285513763,0.21845395863056183,0.7290393710136414,1
5.543447024667945,5.2190026019247995,1.468404305287816,2713.145010922595,0.09743325300124783,0.08917226642370224,0.9321014285087585,2
5.762290898036378,5.334614839189264,1.3527920680233514,2655.936051998481,0.10377469425264463,0.11391472071409225,1.0253101587295532,3
7.029314184687356,6.267195409972052,0.4202114972405635,1.8914317023336895,0.04994092198651279,-0.08266409486532211,2.0938825607299805,4
7.680983009910516,6.517865427748211,0.1695414794644048,1.308240811738249,0.02973024650763556,-0.03766351938247681,2.8062641620635986,5
7.841710298479239,6.574363722039884,0.1130431851727316,1.1897457010780397,0.021907356861283755,-0.0265905000269413,3.085890531539917,6
7.869097256466729,6.581691416543183,0.1057154906694322,1.1808209432308747,0.018585683696236033,-0.018395056948065758,3.0625884532928467,7
7.8722476812499345,6.581873525778182,0.1055333814344336,1.179927602637196,0.020531302538285057,-0.02339085377752781,3.149139404296875,8
6.121062031582618,5.401478229704967,1.2859286775076484,2221.0157607411043,0.11008913506512008,0.3358772397041321,1.0952168703079224,9
