complexity,accuracy,distortion,mse,eu_gamma,kl_eb,min_gnid,gnid_beta,sender_delta,receiver_delta,round,run,min_distance_to_curve,min_epsilon,min_beta
0.2714481628179825,0.0686755123678608,3.2354480058494577,1669.8041821082843,0.0772445217694862,0.3488242498303746,0.9416858952865712,1.0007575757575755,40.05496849421135,40.281681435428,1.0,1.0,0.14500104086109755,0.20249010225044164,1.0013131313131314
0.0653350881836392,0.0554435239678117,3.235662085640418,1621.5537697486625,0.0814009505197749,0.0338271597549242,0.6385159281310893,1.0007070707070709,15.755630645931731,16.179504293598765,2.0,1.0,0.009239878608077649,0.009846066852943668,1.000959595959596
0.1376152446752989,0.1305317395390055,3.29161807651121,1560.8991112318165,0.0897095897547275,0.0200596825496968,0.5192000586932923,1.0008080808080808,25.82805952808738,24.960994290591913,3.0,1.0,0.019092566330888242,0.006962509822230737,1.001111111111111
0.3846460150354982,0.3733204214655359,3.48032054787626,1421.0237140183276,0.117098082402287,0.0231148292667043,0.4560891060409006,1.001010101010101,41.91571837881716,37.03515749425791,4.0,1.0,0.00881523208616525,0.010884456618862752,1.0015151515151515
1.0161259735110535,0.993565994814178,4.060002324708392,1061.9026606035716,0.2018068245488342,0.0268939069803949,0.4082924680478608,1.0018686868686868,51.606213147615605,41.91532777523642,5.0,1.0,0.014921663373837601,0.020264343284766253,1.005
1.982316009209855,1.941238058284222,5.554426448277582,514.6259573252594,0.3635799121469272,0.0306511778855665,0.1567391017107493,1.0108080808080808,38.60226580109143,32.59068520306437,6.0,1.0,0.019728276584465656,0.027575329929346828,1.0226767676767676
2.7095178965089204,2.648042034163728,8.626624953398675,167.74921158012214,0.5078992074408252,0.0334926345703994,0.021330756628224,1.0496984924623116,21.102953363054887,22.518993564007303,7.0,1.0,0.014261865782061614,0.019525818527269388,1.0665829145728645
3.0557800585083186,2.976617993535873,14.040152623871576,56.531102767280146,0.5850727848775129,0.0310311124056464,0.006909977366951,1.1,11.700327510438653,15.781515624174611,8.0,1.0,0.019269359531163335,0.009717077993784407,1.107035175879397
3.223918443468957,3.130910863379343,20.980968618721263,24.604747414948765,0.624955373497244,0.0262264293203856,0.0053513898786181,1.135175879396985,7.307768262038101,10.064677564768935,9.0,1.0,0.018294236486177312,0.00495993273475995,1.142211055276382
3.3176025041120543,3.2143714935228154,26.780775873919985,16.009166515976,0.6471296480271921,0.0223464959166034,0.0045068127391002,1.1633165829145728,4.961855701018898,6.3127200399069014,10.0,1.0,0.02014074179657511,0.002981291441043744,1.1633165829145728
3.3737240738519176,3.263312603878033,29.78571940925147,13.58737788827451,0.6600368214915984,0.0200564607628285,0.0038437536089886,1.177386934673367,3.636236827702405,4.229976002813379,11.0,1.0,0.015801111798269117,0.0021391494998925253,1.17035175879397
3.408691071660332,3.2934084224208355,30.985575454786904,12.677682302122111,0.6679071608191852,0.0187533187168003,0.0021722376507278,1.184422110552764,2.8305249954521225,2.722056047417973,12.0,1.0,0.01094077206992402,0.0017159499797373763,1.184422110552764
3.4313148855515045,3.31277736677556,31.681154798870743,12.18904227704183,0.672907259604897,0.0179035318617132,0.0025653480287523,1.1914572864321609,2.3322456216957583,1.7894766093722674,13.0,1.0,0.01532530852860689,0.001437338800964456,1.1914572864321609
3.446324509921416,3.325610097997423,32.03412550176144,11.908746444927395,0.6761678954762197,0.0172487147958934,0.0020760975294313,1.1914572864321609,1.99325072087296,1.206024322807561,14.0,1.0,0.004555135293901833,0.001202310023691663,1.1914572864321609
3.4565041486776344,3.334317025406527,32.20088143325885,11.758015350683186,0.6783425921063957,0.0166924373325009,0.0023310609703626,1.1984924623115578,1.7365822291045296,0.931557397641262,15.0,1.0,0.015068107198191764,0.0010310867793925243,1.1984924623115578
3.4635753610477007,3.3403741347518956,32.376143690713626,11.665229079770466,0.6798329799335671,0.0162059668867308,0.0010874695179358,1.1984924623115578,1.5269891885760103,0.7933803563394315,16.0,1.0,0.005776415508212606,0.0008740665813752434,1.1984924623115578
3.4686120220444323,3.3446976300319857,32.54329647114258,11.601175003480716,0.680882282662449,0.0157826112158893,0.0010124773645947,1.1984924623115578,1.3522325607267112,0.6960560518712655,17.0,1.0,0.0010696287578067063,0.0007530683174254432,1.1984924623115578
3.4722830248412766,3.347855862671046,32.669985501016825,11.55556911765896,0.6816397852122992,0.0154197145880793,0.0014911447639213,1.1984924623115578,1.2058492987110636,0.6209517837329878,18.0,1.0,0.005764082145862606,0.0006578526870527486,1.1984924623115578
3.4750161736946303,3.350212245604066,32.677310348554144,11.522270017588069,0.6821996834083639,0.0151133254113097,0.0018414895210054,1.1984924623115578,1.0827620388439476,0.5585007832071446,19.0,1.0,0.009360798064842387,0.0005819587343998141,1.1984924623115578
3.4770907121560217,3.35200428222136,32.6820138864167,11.497385604961975,0.6826225974397014,0.0148577036504931,0.0021036716431098,1.1984924623115578,0.9772956615793672,0.5061465517951499,20.0,1.0,0.012097707621150627,0.000520878736883092,1.1984924623115578
