complexity,accuracy,distortion
2.256798659520491e-12,2.105246808511551e-12,4.125258445737641
1.2602620937052185e-11,1.1742831030388005e-11,4.1252584457280035
4.739483181758625e-11,4.41842096962345e-11,4.125258445695562
1.4584496342561858e-10,1.3607193658915994e-10,4.1252584456036745
3.511093132329901e-10,3.2733783790886794e-10,4.125258445412408
7.784861783861708e-10,7.252965147158999e-10,4.12525844501445
1.5883084580310488e-09,1.4795870157761317e-09,4.125258444260159
3.0185706094705795e-09,2.811299256184679e-09,4.1252584429284465
5.60370830225694e-09,5.2223671521422166e-09,4.125258440517379
9.22511431868718e-09,8.595143363023362e-09,4.125258437144603
1.4897694634880788e-08,1.3871462769700335e-08,4.125258431868283
2.2378875987835695e-08,2.0850854402716086e-08,4.125258424888892
3.408281976168011e-08,3.175020270236372e-08,4.125258413989544
5.213124056777485e-08,4.858321349635986e-08,4.125258397156532
7.636139972796092e-08,7.121983080414657e-08,4.125258374519915
1.0309477422528829e-07,9.603934371810922e-08,4.1252583497004025
1.459374082335567e-07,1.3608697998379573e-07,4.125258309652766
2.0154852336578648e-07,1.8766116589495896e-07,4.12525825807858
2.607818250464065e-07,2.4334732702539623e-07,4.125258202392419
3.463881463414232e-07,3.2252109148205433e-07,4.1252581232186545
4.537454203406335e-07,4.228341420426187e-07,4.125258022905604
5.072700864638486e-07,4.79506166398414e-07,4.12525796623358
6.023980005982358e-07,5.696176387546007e-07,4.125257876122108
7.703766533296863e-07,7.287265842882493e-07,4.125257717013162
9.019567379336816e-07,8.524111367513429e-07,4.12525759332861
1.1103610323813216e-06,1.0498622880360776e-06,4.125257395877458
1.2996486886093223e-06,1.2293300586828648e-06,4.125257216409687
1.5243360860902389e-06,1.4416621693432506e-06,4.125257004077577
1.8362734306184049e-06,1.7375375959693983e-06,4.1252567082021505
2.1997459070759865e-06,2.080109029170898e-06,4.125256365630717
2.612962974308505e-06,2.4707341903708412e-06,4.1252559750055555
2.9544328623893286e-06,2.793755283799077e-06,4.125255651984462
3.494042620444139e-06,3.3051997949756613e-06,4.125255140539951
4.140586773526055e-06,3.918880391081611e-06,4.125254526859355
4.894145825291113e-06,4.631026276159793e-06,4.12525381471347
5.457438371967504e-06,5.1606402428298495e-06,4.125253285099503
6.596549283631912e-06,6.245095274125304e-06,4.125252200644472
7.202358420874866e-06,6.810822803549096e-06,4.125251634916943
8.57785374125153e-06,8.127150806172162e-06,4.1252503185889395
1.005646000393126e-05,9.514780180784315e-06,4.1252489309595655
1.1270023009407744e-05,1.064749971571134e-05,4.12524779824003
1.2423676403634071e-05,1.1754360202445842e-05,4.125246691379544
1.4922946822055072e-05,1.4119579025601353e-05,4.12524432616072
1.7120086288457982e-05,1.61938546247433e-05,4.125242251885122
1.944851202749102e-05,1.8407586806981968e-05,4.125240038152939
2.238917555721488e-05,2.1192675950916486e-05,4.125237253063795
2.3870842538928033e-05,2.2556173313314033e-05,4.125235889566433
2.7591400798879024e-05,2.609360905658378e-05,4.1252323521306895
