,L,a,b,name
188,81.35,-5.05,-23.28,189
189,81.35,23.53,-0.96,190
190,41.22,-39.09,-8.33,191
191,51.57,27.4,-33.72,192
192,71.6,-15.98,87.62,193
193,20.54,36.64,9.24,194
194,51.57,-40.14,52.84,195
195,81.35,-32.18,1.81,196
196,61.7,23.29,-23.79,197
197,20.54,-3.09,10.75,198
198,91.08,-13.13,7.63,199
199,71.6,-18.37,-18.07,200
200,81.35,23.18,13.11,201
201,51.57,-63.28,28.95,202
202,51.57,48.98,-15.95,203
203,20.54,10.16,21.44,204
204,41.22,24.29,-38.02,205
205,91.08,-10.76,13.38,206
206,51.57,51.2,-5.84,207
207,51.57,13.12,63.99,208
208,30.77,-27.32,-6.72,209
209,20.54,25.15,16.6,210
210,61.7,-22.98,-25.73,211
211,71.6,32.89,77.02,212
212,71.6,10.25,-21.6,213
213,81.35,-26.04,85.63,214
214,71.6,29.26,-13.95,215
215,30.77,-10.05,24.97,216
216,81.35,23.67,9.47,217
217,61.7,-14.02,73.17,218
218,91.08,-12.96,2.42,219
219,51.57,14.19,-39.14,220
220,91.08,-10.86,-2.13,221
221,41.22,29.49,-34.06,222
222,51.57,-51.99,4.46,223
223,91.08,5.04,-1.14,224
224,51.57,-6.4,58.71,225
225,30.77,-19.73,-18.89,226
226,20.54,-5.36,7.98,227
227,20.54,-5.25,-25.49,228
228,81.35,-33.63,8.67,229
229,91.08,5.51,3.28,230
230,51.57,35.21,-24.66,231
231,41.22,-0.21,42.37,232
232,61.7,9.58,-30.64,233
233,41.22,-54.08,14.27,234
234,41.22,7.17,-48.94,235
235,61.7,-21.81,70.54,236
236,81.35,18.52,26.72,237
237,51.57,-36.19,-11.99,238
238,71.6,32.47,2.76,239
239,30.77,28.16,36.05,240
240,91.08,4.31,-2.82,241
241,91.08,-9.03,45.94,242
242,20.54,35.97,-6.33,243
243,91.08,-6.32,-5.08,244
244,41.22,56.6,40.99,245
245,61.7,-39.17,-5.88,246
246,51.57,22.05,-37.02,247
247,20.54,-14.85,15.25,248
248,30.77,-29.07,-1.92,249
249,20.54,26.82,-27.84,250
250,81.35,-42.41,23.78,251
251,91.08,5.41,0.74,252
252,71.6,-40.91,1.15,253
253,71.6,0.85,-31.32,254
254,20.54,1.58,11.89,255
255,61.7,49.42,18.23,256
256,30.77,-10.88,-24.2,257
257,71.6,-9.51,87.14,258
258,30.77,40.89,36.03,259
259,91.08,-14.67,29.61,260
260,61.7,29.38,64.4,261
261,91.08,2.95,-4.85,262
262,61.7,-0.04,0.04,263
263,81.35,-6.82,-13.92,264
264,30.77,-39.23,16.6,265
265,41.22,32.37,46.62,266
266,20.54,35.44,-10.4,267
267,71.6,-51.55,27.69,268
268,51.57,46.17,-23.4,269
269,61.7,22.09,71.31,270
270,20.54,-27.43,4.26,271
271,91.08,-3.48,-5.55,272
272,61.7,34.47,-24.03,273
273,91.08,-0.05,0.06,274
274,61.7,-7.92,73.21,275
275,41.22,51.84,-8.08,276
276,30.77,-15.41,-22.0,277
277,71.6,34.96,37.54,278
278,30.77,25.75,-49.63,279
279,51.57,-25.02,50.55,280
280,41.22,-41.21,-2.07,281
281,61.7,-55.94,49.19,282
282,30.77,18.18,30.27,283
283,91.08,-9.69,-3.22,284
284,81.35,22.62,-5.51,285
285,91.08,2.19,-4.93,286
286,51.57,5.33,54.9,287
287,51.57,55.76,42.05,288
