comm_cost,complexity
2.086597743811079e-12,2.258967829347461e-12
5.134557620334759e-06,5.4792162511204665e-06
0.0002680684950878335,0.00028459719408984444
0.004605789616829862,0.004791463073222336
0.34538733484654743,0.3572767430685362
2.1906123876050607,2.368175131247901
2.6525628386064826,2.986434838945185
2.7728321970838565,3.1777543074476764
2.8143208896790233,3.254486522277689
2.8305237282046143,3.2885591486222325
2.8377717488251184,3.3055975550287093
2.8409640508954728,3.3139024965054062
2.8423876722419363,3.3179614972129525
2.8430296057490456,3.319951723996153
2.8433230217627075,3.320934514237582
2.8434594189467184,3.3214253160601364
2.843523518164829,3.321671861186383
2.8435544047018757,3.321798314686872
2.843569133474572,3.321862284657929
2.8435762022267377,3.3218947426032344
2.8435796046632005,3.3219112108552156
2.8435812449547084,3.3219195573921745
2.843582036743273,3.321923782945464
2.8435824192825745,3.3219259194211497
2.8435826042435206,3.3219269983434576
2.843582693741073,3.3219275426230084
2.84358273707816,3.321927816936373
2.843582758078562,3.321927955077398
2.843582768262548,3.3219280245961005
2.843582773204915,3.3219280595610408
