complexity,accuracy,distortion,mse,trial
2.5870447,2.5689917,2.5426788,35.28488,0
2.6200256,2.6012945,2.510377,33.494194,1
2.6387978,2.6196222,2.4920483,32.602177,2
2.644905,2.6255322,2.4861383,32.388145,3
2.6149912,2.596408,2.5152636,33.712505,4
2.6418352,2.6224957,2.4891758,32.608505,5
2.6326294,2.613576,2.4980946,32.93891,6
2.64264,2.623352,2.4883184,32.48344,7
