comm_cost,complexity
3.4909388584798415e-12,3.6193289660385437e-12
8.387896345107244e-06,8.669653011260628e-06
0.00011138996407420362,0.00011466415046541438
0.004006257331907146,0.004106119530886202
0.9940919802307318,1.021343520687149
3.0831695044316048,3.204383297262722
3.147689536569086,3.290428236818042
3.1610209702488183,3.3116911361857433
3.164588424755453,3.3182966606722633
3.165704030400835,3.3206399081094524
3.1660584094444624,3.321472521108823
3.166172180465495,3.321768086456322
3.166208732641109,3.321872120416248
3.166220492816944,3.3219085126431946
3.166224300205673,3.3219212405083156
3.166225541307062,3.321925697624219
3.1662259480355637,3.3219272592596694
3.166226081391164,3.3219278043940785
3.1662261251612467,3.321927994185266
3.166226139532967,3.3219280600702152
3.1662261442526782,3.3219280828786624
3.166226145802804,3.3219280907546054
3.166226146311961,3.3219280934679425
3.16622614647921,3.3219280944007474
3.1662261465341515,3.321928094720817
3.166226146552201,3.321928094830451
3.1662261465581336,3.321928094867943
3.166226146560082,3.321928094880743
3.1662261465607213,3.3219280948851093
3.1662261465609327,3.3219280948865957
