complexity,accuracy,distortion,mse,trial
6.3838563,4.865858,0.24581242,216.6599884033203,0
6.4638557,4.937333,0.17433739,101.69999694824219,1
6.3763075,4.844121,0.2675495,215.7799835205078,2
6.21366,4.744075,0.36759567,291.13330078125,3
4.295064,3.712072,1.3995986,81.12765938395806,4
0.5503981,0.5445113,4.567159,1273.3899165517776,5
0.35108244,0.35106897,4.7606015,1440.4498880935896,6
0.5503981,0.5349302,4.5767403,1198.8049355026146,7
