complexity,accuracy,distortion,mse
6.2209797,4.9737167,0.13795376,0.27258712
6.33818,5.01694,0.09473133,0.18056071
-5.722046e-06,-3.8146973e-06,5.1116743,1666.5018
6.2956953,5.007634,0.10403633,0.18620604
6.1793737,4.962167,0.14950371,0.30690414
6.2461166,4.9919853,0.11968517,0.21616796
6.282485,4.990862,0.1208086,0.24295107
6.207571,4.9714537,0.14021683,0.27249825
