comm_cost,complexity
4.8210874064389905e-12,4.825435143888635e-12
1.2645976672172904e-05,1.2655913990088514e-05
0.00017147821664636854,0.00017162016245653213
0.007390548201124762,0.0073965372488078995
1.424902929684171,1.4258758124282276
3.3160223426271567,3.3207942966284367
3.316845319406764,3.3218230885966893
3.316902775116869,3.3219139519465637
3.316909423880836,3.321926155111178
3.3169102290095847,3.32192783269309
3.316910326391227,3.3219280597874987
3.3169103381900347,3.321928090231343
3.3169103396194193,3.321928094274344
3.316910339792587,3.321928094807133
3.316910339813574,3.321928094876917
3.3169103398161197,3.321928094886009
3.316910339816428,3.3219280948871877
3.316910339816465,3.3219280948873395
3.3169103398164697,3.3219280948873604
3.31691033981647,3.3219280948873626
