complexity,accuracy,distortion,mse,trial
2.313521,0.43029356,2.0954537,396.9763,0
2.3074179,0.47237396,2.0533733,387.99084,1
2.2793064,0.43668747,2.0890598,391.172,2
2.19557,0.65573597,1.8700113,346.59137,3
1.7548556,0.9250064,1.6007409,215.47359,4
0.9136734,0.8296697,1.6960776,1.5866665,5
0.8558942,0.77809906,1.7476482,1.5599998,6
0.8558942,0.77809906,1.7476482,1.5599998,7
