complexity,accuracy,distortion,mse,eu_gamma,kl_eb,min_gnid,gnid_beta,sender_delta,receiver_delta,round,run,min_distance_to_curve,min_epsilon,min_beta
0.2844092295719935,0.0703673498855597,3.2362781280267776,1661.064700831878,0.0099881852141139,0.3556947908390652,0.935153988652184,1.0008080808080808,44.15755360505287,43.08937821839656,1.0,1.0,0.1517075075106189,0.21374233422378572,1.0013131313131314
0.0948247466835603,0.0760279078994496,3.2469557103992885,1648.390551047002,0.0110483699991863,0.0034597515268158,0.8118399681597415,1.0007575757575755,19.58398917040979,19.431335790223837,2.0,1.0,0.01549915652201326,0.018721950495756687,1.001060606060606
0.2369387654114092,0.2097043017949893,3.340373297503427,1618.8589627716135,0.0130791629828303,0.0029443143373087,0.6965324843192597,1.000858585858586,32.96719469890135,32.03237757528507,3.0,1.0,0.020288406237873955,0.02699607281760012,1.0012626262626263
0.6462063539143816,0.594322711130074,3.6290904861986473,1504.0493180008932,0.0203893624140175,0.006254595584785,0.6416530830673414,1.001111111111111,50.747076319965146,45.963314748150374,4.0,1.0,0.03611355056709616,0.05092722569922222,1.0026262626262625
1.568478432459644,1.4701254765736973,4.428653049953074,1152.7051172968152,0.0448986191069947,0.0263788103973961,0.5513568864511538,1.0031818181818182,56.15987486636241,46.29817022204443,5.0,1.0,0.06531943709035198,0.09168388956351757,1.012070707070707
2.7584507801720974,2.6025654732722288,6.224880570184155,626.8052015778102,0.0892806145913039,0.057811492157693,0.197644925616619,1.026969696969697,39.83777995409164,35.52117794954364,6.0,1.0,0.08088768085241628,0.1107781445110494,1.0715075376884422
3.506889406901351,3.3067201866553244,9.56988982696897,244.51210423019347,0.1266340467590334,0.0619744377598955,0.0284893399885957,1.142211055276382,19.888516100962228,23.77473233328945,7.0,1.0,0.05458732608783442,0.07051998835934621,1.212562814070352
3.8321384728731953,3.6045846495423266,15.313996263212792,69.07407032443439,0.1462984488647846,0.062805448918666,0.0061603723246995,1.3040201005025127,9.05950328634417,14.29873379312643,8.0,1.0,0.0242298127490971,0.029514921267396858,1.3321608040201005
3.9623348925795625,3.7177290362887057,21.93318415765593,16.17004059623984,0.1549424463017854,0.0615906735143473,0.0046305971977524,1.4025125628140704,5.500584154806601,7.575656571394857,9.0,1.0,0.011643579454906955,0.011646717453737155,1.4025125628140704
4.0200513441468,3.764189223727037,27.055431353457827,7.015214290352683,0.1590455739721398,0.0594555992777141,0.003698019461631,1.4376884422110554,4.276597579652508,4.080516641123413,10.0,1.0,0.008214203779756898,0.005873215497353538,1.4376884422110554
4.051304192484462,3.7876576436844474,30.594831912799773,6.245709353160208,0.1614491523852796,0.0576855405565748,0.0025436696006306,1.4587939698492465,3.621954723641175,2.7045993999504563,11.0,1.0,0.0062546097001247945,0.004022889546331618,1.4587939698492463
4.0718293125097595,3.802674211331317,32.47148772221449,6.1100154256119605,0.1631029240041854,0.0565065533869807,0.0017102748002246,1.4728643216080402,3.0989952732673465,1.956842769324402,12.0,1.0,0.005179750401478916,0.00304152614175582,1.4658291457286432
