run_num,iteration,is_final_iteration,complexity,accuracy,distortion,mse,eu_gamma,kl_eb,min_epsilon,min_epsilon_beta,min_gnid,gnid_beta
0,1,False,0.27428655558284554,0.06811992793249111,3.234965926544752,1669.859933294331,0.9836298564324282,0.35650305871876053,0.2058803571561174,1.0013131313131314,0.9413854207989417,1.0007575757575757
0,2,False,0.0469080452169397,0.03777977773373209,3.2235553844542144,1663.8742561091171,0.9836875916751573,0.08821532888941166,0.009099165782920299,1.0007575757575757,0.8051356901043301,1.0006565656565656
0,3,False,0.032407518344513164,0.02876931851390374,3.2187491583980674,1658.0814584537154,0.9837434847658628,0.0630347376329685,0.0036194562078332125,1.0006565656565656,0.7028004862515185,1.0006565656565656
0,4,False,0.026104909442800306,0.024040264950432544,3.2159660073489924,1652.4089445367044,0.9837982265643849,0.05142728662888808,0.002050036231006898,1.0006565656565656,0.6774755730447156,1.0006565656565656
0,5,False,0.022391306043800796,0.021024225407884956,3.2141052175237474,1646.8304832458384,0.9838520668145627,0.04451172691513786,0.0013548622450470858,1.0006060606060605,0.6773772149801682,1.0006565656565656
0,6,False,0.019881132873317497,0.018892030797371007,3.2127524342322333,1641.3331197183406,0.9839051289190652,0.039872513074034256,0.0009784040806988653,1.0006060606060605,0.6769585826982698,1.0006565656565656
0,7,False,0.018042729879441666,0.017284571046491948,3.211713566771239,1635.9092734588478,0.9839574851250356,0.03655060322094173,0.0007485743464809372,1.0006060606060605,0.6762384419452976,1.0006565656565656
0,8,False,0.016623649515500105,0.016018550197376413,3.2108845958506227,1630.5539687492903,0.9840091828811878,0.0340830368029421,0.0005963743594344028,1.0006060606060605,0.6752267077192635,1.0006565656565656
0,9,False,0.015487148689908636,0.014989628414836531,3.2102042777761595,1625.2636417560643,0.9840602561918784,0.03221597073913049,0.000489483687567306,1.0006060606060605,0.6739302925248738,1.0006565656565656
0,10,True,0.01455201172854892,0.014133520230620533,3.209633931199856,1620.0355602179204,0.9841107311413101,0.030796802646603113,0.0004110213168205338,1.0006060606060605,0.6599107080013135,1.0006060606060605
