complexity,accuracy,distortion,mse,trial
3.006445,0.55724716,0.008907318,28.041975,0
3.006425,0.5572462,0.008908272,28.04263,1
3.0063763,0.55724716,0.008907318,28.0441,2
3.0055761,0.5572357,0.008918762,28.064604,3
2.9961624,0.557106,0.009048462,28.31781,4
2.955711,0.55651,0.009644508,29.507027,5
2.7387877,0.552474,0.013680458,37.559643,6
2.4949713,0.54628754,0.019866943,50.533413,7
