complexity,accuracy,distortion,mse,eu_gamma,kl_eb,min_gnid,gnid_beta,sender_delta,receiver_delta,round,run,min_distance_to_curve,min_epsilon,min_beta
0.2729989183419814,0.0682918881749827,3.234819853678749,1669.606550970694,0.1671177947803816,0.3460190233414514,0.951717878424258,1.0007575757575755,38.91615144942104,40.418860981946096,1.0,1.0,0.14622855902551737,0.20442244829216363,1.0013131313131314
0.0533396261469469,0.0440888105671319,3.227941681015335,1587.3819935084275,0.1727671807513327,0.0660829238379856,0.7468112061619463,1.0007070707070709,11.134403894792149,12.91241608880487,2.0,1.0,0.010534734057110327,0.009216501020669707,1.000909090909091
0.075160294596829,0.0711358284003971,3.2487562287782614,1514.0912458662165,0.1809758652492188,0.0607008777673242,0.4531154081294581,1.0007575757575755,16.533698854970794,16.469918347040363,3.0,1.0,0.012296446826994338,0.003969444147315773,1.001010101010101
0.177731027962869,0.1744136102092977,3.3233133584183405,1409.5725876286494,0.202179510643261,0.0728954019544834,0.4081496695820197,1.000909090909091,27.46328733780866,24.089489852455067,4.0,1.0,0.014075077575914984,0.003150740891109829,1.0011616161616161
0.4674762491458697,0.462937325911696,3.5443453436987027,1181.6795227578425,0.2614908021681821,0.0806406729289651,0.3159631413583517,1.001161616161616,39.29824786484117,30.7320450360942,5.0,1.0,0.009391110716753153,0.003964598370839667,1.0017171717171718
1.0409399035158715,1.0329828038857674,4.117892300812373,745.0443607357477,0.3900771656148321,0.0746927652016695,0.2196766341674803,1.0029292929292928,39.16845043251593,30.115440561686924,6.0,1.0,0.00450567038068413,0.005537517073101382,1.005252525252525
1.6782186271016677,1.664704983963274,5.376171590687805,335.8170161806354,0.5427108121824322,0.0676630309924256,0.0418675042262551,1.0100505050505049,26.469454273475996,24.59821304970314,7.0,1.0,0.004343772842616748,0.005427043318577171,1.0143434343434343
2.103055833114121,2.0829884967737264,7.66829207039539,138.48728111791246,0.6484781946030009,0.0615385639277589,0.0070992111943085,1.0236868686868688,16.029719889379642,18.37867736983879,8.0,1.0,0.004310412232882509,0.003636989179946119,1.0272222222222223
2.348559286319629,2.3219836807350234,11.210529264424192,67.52248491489148,0.7095238214023907,0.0553965933215363,0.0042600771733842,1.0377386934673367,10.598555421655483,13.189159693314856,9.0,1.0,0.0023942449884476963,0.0023459518660223513,1.0391457286432162
2.5012699663650793,2.4687340995873406,15.366760295747284,44.36329561898356,0.7456528405925502,0.049823566965373,0.0041527747778249,1.048994974874372,7.753812399613446,9.6029343744457,10.0,1.0,0.0014676367078082255,0.0018802579922095474,1.0489949748743719
2.6072444003060724,2.5694907744515447,18.362715738603775,35.30417234962416,0.769128818714156,0.0446237371127064,0.0041424900044393,1.0577889447236182,6.031170897972509,7.165941920826796,11.0,1.0,0.0024305342860107292,0.0017569196946116013,1.0574371859296483
2.686290620652219,2.644089820650679,20.532116596043135,31.06340681609536,0.785548899758307,0.0395072675013477,0.0040982035225912,1.065175879396985,4.820740607477563,5.525011750904888,12.0,1.0,0.001956480632038571,0.0016772253957290258,1.0644723618090453
2.7473055210052735,2.7013775457127203,21.90104421651906,28.542790643646537,0.7975574673132396,0.0344648373301423,0.0034950717467598,1.0711557788944723,3.907865389071198,4.141308457973068,13.0,1.0,0.001830205222832496,0.0015585873339685626,1.0704522613065328
2.7950830506557054,2.7460693592538767,22.867717608778964,26.792532088956516,0.8065409023772531,0.0296585259932721,0.0027790887782188,1.0760804020100505,3.2095373404447995,3.0543670508281777,14.0,1.0,0.0016680741811194615,0.0014017641867849857,1.0753768844221105
2.8326378539950063,2.78109515275146,23.567789519901552,25.52494018126181,0.8133407085970803,0.0252700939286858,0.0024215878960592,1.0803015075376885,2.6722659930264783,2.3711826734437196,15.0,1.0,0.0014351463412331344,0.0012309166088317709,1.0795979899497488
2.8621709915634685,2.8085737607099404,24.023193444792664,24.583015209019912,0.8185275445865217,0.0214241285469086,0.001911549355498,1.083467336683417,2.2513115648791606,1.886904807504504,16.0,1.0,0.0015605179030420172,0.0010643806045217584,1.0831155778894472
2.885364025385499,2.8301106028067817,24.316175657990087,23.874567075116495,0.8225019464611167,0.0181697237566556,0.0015189190251422,1.086281407035176,1.9209993703941592,1.516200365932117,17.0,1.0,0.0011422493759084293,0.0009136569873410257,1.0859296482412062
2.903544869728055,2.8469651669361387,24.514578426007553,23.337782467951936,0.8255574264986192,0.0154933637496588,0.0014585250967258,1.088391959798995,1.6593124305381337,1.2308774056780414,18.0,1.0,0.0012650274582200539,0.0007839601109276791,1.0880402010050252
2.917776043129532,2.8601400020376335,24.6516629684398,22.928688097711703,0.8279135353740583,0.0133414250994443,0.0012186628432214,1.090502512562814,1.4491556642160377,1.0097360138657456,19.0,1.0,0.0017476529183569386,0.0006756185295603779,1.0901507537688444
2.9289076035976276,2.870433748104002,24.745955163430363,22.615304301136756,0.8297360612741121,0.0116409095386672,0.0010377218527932,1.0919095477386935,1.2785061919922749,0.8378062469764285,20.0,1.0,0.0011061761723934157,0.0005869725110413505,1.0915577889447237
2.9376164171505827,2.878480023173063,24.81468371540619,22.374051033118327,0.8311508047152478,0.0103144390272314,0.0008081071869723,1.0929648241206031,1.1372742460584018,0.7024220657025513,21.0,1.0,0.00039543245617329654,0.0005151160343539813,1.0926130653266333
2.9444378772844964,2.8847784506283816,24.86686878522817,22.187387829297897,0.8322534312475087,0.0092893262438394,0.0008379326015178,1.0936683417085429,1.0206701191659198,0.5940681565247781,22.0,1.0,0.0012562573575971155,0.0004569550793890515,1.0936683417085429
