complexity,accuracy,distortion,mse,run
1.7187607254726753,1.710086371894123,4.386634694638868,,90
1.7294569455941087,1.7206216712160867,4.380767337996014,,91
1.7294569455941087,1.7206216712160867,4.380767337996014,,92
1.7294569455941087,1.7206216712160867,4.380767337996014,,93
1.7294569455941087,1.7206216712160867,4.380767337996014,,94
1.7294569455941087,1.7206216712160867,4.380767337996014,,95
1.7294569455941087,1.7206216712160867,4.380767337996014,,96
1.7399775664978776,1.7309814292403125,4.373492847633129,,97
1.7399775664978776,1.7309814292403125,4.373492847633129,,98
1.7399775664978776,1.7309814292403125,4.373492847633129,,99
1.7503306814866892,1.7411737014479023,4.365068641131241,,100
1.7503306814866892,1.7411737014479023,4.365068641131241,,101
1.7605246667654804,1.7512068168708979,4.355756691125984,,102
1.7605246667654804,1.7512068168708979,4.355756691125984,,103
1.7705677174752044,1.761088920953263,4.345807365478498,,104
1.7705677174752044,1.761088920953263,4.345807365478498,,105
1.7705677174752044,1.761088920953263,4.345807365478498,,106
1.7705677174752044,1.761088920953263,4.345807365478498,,107
1.7705677174752044,1.761088920953263,4.345807365478498,,108
1.7705677174752044,1.761088920953263,4.345807365478498,,109
1.7705677174752044,1.761088920953263,4.345807365478498,,110
1.7705677174752044,1.761088920953263,4.345807365478498,,111
1.7705677174752044,1.761088920953263,4.345807365478498,,112
1.7705677174752044,1.761088920953263,4.345807365478498,,113
1.7705677174752044,1.761088920953263,4.345807365478498,,114
1.7705677174752044,1.761088920953263,4.345807365478498,,115
1.7705677174752044,1.761088920953263,4.345807365478498,,116
1.7705677174752044,1.761088920953263,4.345807365478498,,117
1.7705677174752044,1.761088920953263,4.345807365478498,,118
1.7705677174752044,1.761088920953263,4.345807365478498,,119
1.7705677174752044,1.761088920953263,4.345807365478498,,120
1.7705677174752044,1.761088920953263,4.345807365478498,,121
1.7705677174752044,1.761088920953263,4.345807365478498,,122
1.7705677174752044,1.761088920953263,4.345807365478498,,123
1.7705677174752044,1.761088920953263,4.345807365478498,,124
1.7705677174752044,1.761088920953263,4.345807365478498,,125
1.7705677174752044,1.761088920953263,4.345807365478498,,126
1.7705677174752044,1.761088920953263,4.345807365478498,,127
1.7705677174752044,1.761088920953263,4.345807365478498,,128
1.7705677174752044,1.761088920953263,4.345807365478498,,129
1.7705677174752044,1.761088920953263,4.345807365478498,,130
1.7705677174752044,1.761088920953263,4.345807365478498,,131
1.7705677174752044,1.761088920953263,4.345807365478498,,132
1.7705677174752044,1.761088920953263,4.345807365478498,,133
1.7605246667654804,1.7512068168708979,4.355756691125984,,134
1.7605246667654804,1.7512068168708979,4.355756691125984,,135
1.7605246667654804,1.7512068168708979,4.355756691125984,,136
1.7605246667654804,1.7512068168708979,4.355756691125984,,137
1.7605246667654804,1.7512068168708979,4.355756691125984,,138
1.7605246667654804,1.7512068168708979,4.355756691125984,,139
1.7605246667654804,1.7512068168708979,4.355756691125984,,140
1.7605246667654804,1.7512068168708979,4.355756691125984,,141
1.7605246667654804,1.7512068168708979,4.355756691125984,,142
1.7605246667654804,1.7512068168708979,4.355756691125984,,143
1.7605246667654804,1.7512068168708979,4.355756691125984,,144
1.7605246667654804,1.7512068168708979,4.355756691125984,,145
1.7605246667654804,1.7512068168708979,4.355756691125984,,146
1.7605246667654804,1.7512068168708979,4.355756691125984,,147
1.7605246667654804,1.7512068168708979,4.355756691125984,,148
1.7605246667654804,1.7512068168708979,4.355756691125984,,149
1.7605246667654804,1.7512068168708979,4.355756691125984,,150
1.7605246667654804,1.7512068168708979,4.355756691125984,,151
1.7605246667654804,1.7512068168708979,4.355756691125984,,152
1.7605246667654804,1.7512068168708979,4.355756691125984,,153
1.7605246667654804,1.7512068168708979,4.355756691125984,,154
1.7605246667654804,1.7512068168708979,4.355756691125984,,155
1.7605246667654804,1.7512068168708979,4.355756691125984,,156
1.7605246667654804,1.7512068168708979,4.355756691125984,,157
1.7605246667654804,1.7512068168708979,4.355756691125984,,158
1.7605246667654804,1.7512068168708979,4.355756691125984,,159
1.7605246667654804,1.7512068168708979,4.355756691125984,,160
1.7605246667654804,1.7512068168708979,4.355756691125984,,161
1.7605246667654804,1.7512068168708979,4.355756691125984,,162
1.7605246667654804,1.7512068168708979,4.355756691125984,,163
1.7605246667654804,1.7512068168708979,4.355756691125984,,164
1.7605246667654804,1.7512068168708979,4.355756691125984,,165
1.7605246667654804,1.7512068168708979,4.355756691125984,,166
1.7605246667654804,1.7512068168708979,4.355756691125984,,167
1.7605246667654804,1.7512068168708979,4.355756691125984,,168
1.7605246667654804,1.7512068168708979,4.355756691125984,,169
1.7605246667654804,1.7512068168708979,4.355756691125984,,170
1.7605246667654804,1.7512068168708979,4.355756691125984,,171
1.7605246667654804,1.7512068168708979,4.355756691125984,,172
1.7605246667654804,1.7512068168708979,4.355756691125984,,173
1.7605246667654804,1.7512068168708979,4.355756691125984,,174
1.7605246667654804,1.7512068168708979,4.355756691125984,,175
1.7605246667654804,1.7512068168708979,4.355756691125984,,176
1.7605246667654804,1.7512068168708979,4.355756691125984,,177
1.7605246667654804,1.7512068168708979,4.355756691125984,,178
1.7605246667654804,1.7512068168708979,4.355756691125984,,179
1.7605246667654804,1.7512068168708979,4.355756691125984,,180
1.7605246667654804,1.7512068168708979,4.355756691125984,,181
1.7605246667654804,1.7512068168708979,4.355756691125984,,182
1.7605246667654804,1.7512068168708979,4.355756691125984,,183
1.7605246667654804,1.7512068168708979,4.355756691125984,,184
1.7605246667654804,1.7512068168708979,4.355756691125984,,185
1.7605246667654804,1.7512068168708979,4.355756691125984,,186
1.7605246667654804,1.7512068168708979,4.355756691125984,,187
