run_num,iteration,is_final_iteration,complexity,accuracy,distortion,mse,eu_gamma,kl_eb,min_epsilon,min_epsilon_beta,min_gnid,gnid_beta
0,1,False,0.28440922957199355,0.0703673498855597,3.2362781280267776,1661.064700831878,1.000000000034115,0.35569479083906524,0.21374233422378577,1.0013131313131314,0.9351539886521839,1.0008080808080808
0,2,False,0.04845312658440015,0.03902410907506315,3.2244998564076957,1660.7425416432868,1.000000000048364,0.09037675752691535,0.00939874617894563,1.0007575757575757,0.7959602034347388,1.0006565656565656
0,3,False,0.03347276564290347,0.029714686254823874,3.219528123654159,1660.5264726210376,1.0000000000539901,0.06520321498612476,0.003738636819415379,1.0006565656565656,0.6882506114707665,1.0006565656565656
0,4,False,0.026956104824133575,0.024822348046638965,3.2166321412058188,1660.3591917798085,1.0000000000561637,0.05342533705912612,0.0021185900171705758,1.0006565656565656,0.6407324689414757,1.0006565656565656
0,5,False,0.0231101922783985,0.021697200365535352,3.2146860278122484,1660.2208087513031,1.0000000000570202,0.046230602124754355,0.0014003380972611422,1.0006060606060605,0.6414684631701271,1.0006565656565656
0,6,False,0.020506108082214425,0.019484211936122264,3.2132654686517226,1660.1016217634535,1.0000000000573386,0.041256729955516776,0.0010108196074109185,1.0006060606060605,0.6421935289099412,1.0006565656565656
0,7,False,0.01859516836667119,0.017812349042902298,3.2121706403796257,1659.9961375462412,1.0000000000574456,0.03755784696092228,0.0007729002288887068,1.0006060606060605,0.6429133947634345,1.0006565656565656
0,8,False,0.017116222089255118,0.016491800003267443,3.2112937977664053,1659.9009524321527,1.0000000000574865,0.03466924411683151,0.0006153987792827884,1.0006060606060605,0.6436293459031285,1.0006565656565656
0,9,False,0.015927576215400308,0.01541441718841341,3.2105712142978144,1659.813818336821,1.0000000000575229,0.03233236375113275,0.0005048556753842833,1.0006060606060605,0.644341787612858,1.0006565656565656
0,10,True,0.014945070134089633,0.01451361521351302,3.2099625373102496,1659.7331764281232,1.0000000000575804,0.0303907079080127,0.00042374666653990467,1.0006060606060605,0.6450510384633115,1.0006565656565656
