trial,meanings,words,p(w|m)
2.0,3.0,3.0,0.014940186
2.0,3.0,4.0,0.014940186
2.0,3.0,5.0,0.014940186
2.0,3.0,6.0,0.014940186
2.0,3.0,7.0,0.014940186
2.0,3.0,8.0,0.0
2.0,3.0,9.0,0.0
2.0,4.0,0.0,0.013738218
2.0,4.0,1.0,0.013738218
2.0,4.0,2.0,0.013738218
2.0,4.0,3.0,0.013738218
2.0,4.0,4.0,0.013738218
2.0,4.0,5.0,0.013738218
2.0,4.0,6.0,0.013738218
2.0,4.0,7.0,0.013738218
2.0,4.0,8.0,0.0
2.0,4.0,9.0,0.0
2.0,5.0,0.0,0.013737782
2.0,5.0,1.0,0.013737782
2.0,5.0,2.0,0.013737782
2.0,5.0,3.0,0.013737782
2.0,5.0,4.0,0.013737782
2.0,5.0,5.0,0.013737782
2.0,5.0,6.0,0.013737782
2.0,5.0,7.0,0.013737782
2.0,5.0,8.0,0.0
2.0,5.0,9.0,0.0
2.0,6.0,0.0,0.013737767
2.0,6.0,1.0,0.013737767
2.0,6.0,2.0,0.013737767
2.0,6.0,3.0,0.013737767
2.0,6.0,4.0,0.013737767
2.0,6.0,5.0,0.013737767
2.0,6.0,6.0,0.013737767
2.0,6.0,7.0,0.013737767
2.0,6.0,8.0,0.0
2.0,6.0,9.0,0.0
2.0,7.0,0.0,0.013615522
2.0,7.0,1.0,0.013615522
2.0,7.0,2.0,0.013615522
2.0,7.0,3.0,0.013615522
2.0,7.0,4.0,0.013615522
2.0,7.0,5.0,0.013615522
2.0,7.0,6.0,0.013615522
2.0,7.0,7.0,0.013615522
2.0,7.0,8.0,0.0
2.0,7.0,9.0,0.0
2.0,8.0,0.0,0.0
2.0,8.0,1.0,0.0
2.0,8.0,2.0,0.0
2.0,8.0,3.0,0.0
2.0,8.0,4.0,0.0
2.0,8.0,5.0,0.0
2.0,8.0,6.0,0.0
2.0,8.0,7.0,0.0
2.0,8.0,8.0,0.5
2.0,8.0,9.0,0.5
2.0,9.0,0.0,0.013820333
2.0,9.0,1.0,0.013820333
2.0,9.0,2.0,0.013820333
2.0,9.0,3.0,0.013820333
2.0,9.0,4.0,0.013820333
2.0,9.0,5.0,0.013820333
2.0,9.0,6.0,0.013820333
2.0,9.0,7.0,0.013820333
2.0,9.0,8.0,0.0
2.0,9.0,9.0,0.0
3.0,0.0,0.0,0.0
3.0,0.0,1.0,0.0
3.0,0.0,2.0,1.0
3.0,0.0,3.0,0.0
3.0,0.0,4.0,8.652587e-13
3.0,0.0,5.0,0.0
3.0,0.0,6.0,0.0
3.0,0.0,7.0,0.0
3.0,0.0,8.0,0.0
3.0,0.0,9.0,0.0
3.0,1.0,0.0,0.0
3.0,1.0,1.0,0.0
3.0,1.0,2.0,2.3784525e-33
3.0,1.0,3.0,0.0
3.0,1.0,4.0,1.0
3.0,1.0,5.0,0.0
3.0,1.0,6.0,0.0
3.0,1.0,7.0,0.0
3.0,1.0,8.0,8.425104e-36
3.0,1.0,9.0,0.0
3.0,2.0,0.0,0.0
3.0,2.0,1.0,0.0
3.0,2.0,2.0,0.0
3.0,2.0,3.0,5.7575237e-37
3.0,2.0,4.0,2.66617e-40
3.0,2.0,5.0,0.0
3.0,2.0,6.0,0.0
3.0,2.0,7.0,0.0
3.0,2.0,8.0,1.0
3.0,2.0,9.0,0.0
3.0,3.0,0.0,5.2572233e-32
3.0,3.0,1.0,0.0
3.0,3.0,2.0,0.0
3.0,3.0,3.0,0.42422172
3.0,3.0,4.0,0.0
3.0,3.0,5.0,0.0
3.0,3.0,6.0,0.0
3.0,3.0,7.0,0.0
3.0,3.0,8.0,7.43995e-32
3.0,3.0,9.0,0.0
3.0,4.0,0.0,1.0
3.0,4.0,1.0,0.0
3.0,4.0,2.0,0.0
3.0,4.0,3.0,9.039075e-38
3.0,4.0,4.0,0.0
3.0,4.0,5.0,1.3923286e-37
3.0,4.0,6.0,0.0
3.0,4.0,7.0,0.0
3.0,4.0,8.0,0.0
3.0,4.0,9.0,0.0
3.0,5.0,0.0,5.6854472e-37
3.0,5.0,1.0,5.62117e-40
3.0,5.0,2.0,0.0
3.0,5.0,3.0,0.0
3.0,5.0,4.0,0.0
3.0,5.0,5.0,1.0
3.0,5.0,6.0,4.005029e-39
3.0,5.0,7.0,0.0
3.0,5.0,8.0,0.0
3.0,5.0,9.0,0.0
3.0,6.0,0.0,0.0
3.0,6.0,1.0,0.3224199
3.0,6.0,2.0,0.0
3.0,6.0,3.0,0.0
3.0,6.0,4.0,0.0
3.0,6.0,5.0,9.10275e-40
3.0,6.0,6.0,0.6775801
3.0,6.0,7.0,0.0
3.0,6.0,8.0,0.0
3.0,6.0,9.0,1.1995025e-27
3.0,7.0,0.0,0.0
3.0,7.0,1.0,1.19305064e-35
3.0,7.0,2.0,0.0
3.0,7.0,3.0,2.6840043e-37
3.0,7.0,4.0,0.0
3.0,7.0,5.0,0.0
3.0,7.0,6.0,4.1468862e-33
3.0,7.0,7.0,0.0
3.0,7.0,8.0,0.0
3.0,7.0,9.0,1.0
3.0,8.0,0.0,0.0
3.0,8.0,1.0,0.0
3.0,8.0,2.0,0.0
3.0,8.0,3.0,0.5757783
3.0,8.0,4.0,0.0
3.0,8.0,5.0,0.0
3.0,8.0,6.0,0.0
3.0,8.0,7.0,1.2274192e-36
3.0,8.0,8.0,0.0
3.0,8.0,9.0,3.2452594e-36
3.0,9.0,0.0,0.0
3.0,9.0,1.0,0.0
3.0,9.0,2.0,0.0
3.0,9.0,3.0,1.17901e-40
3.0,9.0,4.0,0.0
3.0,9.0,5.0,0.0
3.0,9.0,6.0,0.0
3.0,9.0,7.0,1.0
3.0,9.0,8.0,0.0
3.0,9.0,9.0,0.0
4.0,0.0,0.0,0.0
4.0,0.0,1.0,0.0
4.0,0.0,2.0,0.0
4.0,0.0,3.0,0.0
4.0,0.0,4.0,0.0
4.0,0.0,5.0,1.2704492e-21
4.0,0.0,6.0,0.0
4.0,0.0,7.0,0.0
4.0,0.0,8.0,1.6252914e-25
4.0,0.0,9.0,1.0
4.0,1.0,0.0,0.0
4.0,1.0,1.0,0.0
4.0,1.0,2.0,0.0
4.0,1.0,3.0,0.0
4.0,1.0,4.0,0.0
4.0,1.0,5.0,0.0
4.0,1.0,6.0,3.484048e-29
4.0,1.0,7.0,0.0
4.0,1.0,8.0,0.6775457
4.0,1.0,9.0,8.634897e-25
4.0,2.0,0.0,1.0957277e-16
4.0,2.0,1.0,0.0
4.0,2.0,2.0,0.0
4.0,2.0,3.0,0.0
4.0,2.0,4.0,0.0
4.0,2.0,5.0,0.0
4.0,2.0,6.0,1.0
4.0,2.0,7.0,0.0
4.0,2.0,8.0,2.5093396e-29
4.0,2.0,9.0,0.0
4.0,3.0,0.0,1.0
4.0,3.0,1.0,0.0
4.0,3.0,2.0,0.0
4.0,3.0,3.0,0.0
4.0,3.0,4.0,1e-45
4.0,3.0,5.0,0.0
4.0,3.0,6.0,5.4286496e-30
4.0,3.0,7.0,0.0
4.0,3.0,8.0,3.2287825e-31
4.0,3.0,9.0,0.0
4.0,4.0,0.0,9.475428e-23
4.0,4.0,1.0,0.0
4.0,4.0,2.0,0.0
4.0,4.0,3.0,3e-44
4.0,4.0,4.0,6.68127e-26
4.0,4.0,5.0,0.0
4.0,4.0,6.0,0.0
4.0,4.0,7.0,1.2186431e-24
4.0,4.0,8.0,0.3224543
4.0,4.0,9.0,0.0
4.0,5.0,0.0,0.0
4.0,5.0,1.0,0.0
4.0,5.0,2.0,0.0
4.0,5.0,3.0,6.1894836e-15
4.0,5.0,4.0,0.80978113
4.0,5.0,5.0,0.0
4.0,5.0,6.0,0.0
4.0,5.0,7.0,0.19021884
