complexity,accuracy,distortion,mse,sender_delta,receiver_delta,round,run
3.9817094453613446,3.7430206076715677,35.487775785832525,6.675386935759541,0.011904172666359635,0.0063333876297056646,376.0,1.0
3.9817146649871873,3.7430245388187284,35.486821943663884,6.675352213724253,0.010757596931313788,0.005666040044617654,403.0,1.0
3.9817201604714736,3.7430286254177183,35.485990750789746,6.6753177219410365,0.009785774139262793,0.005145458157117196,432.0,1.0
3.981726194163599,3.7430330628036685,35.48526129490349,6.675281914245832,0.008927245526119313,0.004763886795836396,464.0,1.0
3.9817324141505352,3.7430375968226492,35.48467324812543,6.675246760617231,0.008225195094303438,0.004449764112814651,497.0,1.0
3.9817391777550046,3.743042493716759,35.48418063917178,6.675210043670493,0.007640281252674639,0.0041887755324914455,533.0,1.0
3.9817464254991393,3.7430477137403138,35.48378213531677,6.67517197325952,0.007148417544557743,0.003988893119780764,572.0,1.0
3.9817538860280735,3.743053066023121,35.48347789431163,6.675133784871132,0.006716259590069494,0.0038245185134973586,613.0,1.0
3.9817616390609043,3.7430586119990537,35.48324854259326,6.675094881020822,0.006339418931174813,0.0036757566570803286,657.0,1.0
3.981769731907651,3.7430643883564674,35.48308172300497,6.675054892449347,0.006005921124565043,0.003527677338711134,705.0,1.0
3.9817778645698656,3.743070183638821,35.48297195600152,6.675015172560406,0.005696501940053068,0.003386099878702457,756.0,1.0
3.9817860709861908,3.7430760245048216,35.482906933027095,6.6749754336964,0.0054009818957300795,0.0032548674279345865,811.0,1.0
3.9817940909619214,3.743081727881469,35.48287789938523,6.674936831145308,0.0051267761916288694,0.0031371584821013056,869.0,1.0
3.9818020913580767,3.7430874141954913,35.48287498977949,6.674898475667316,0.004869429040888761,0.003019111175590509,932.0,1.0
3.9818099488635887,3.743092997229992,35.482890873861194,6.674860890795748,0.004629495210156478,0.0028982287983536463,1000.0,1.0
3.981817463945635,3.7430983365162867,35.482917945749705,6.674824971246679,0.004407265518066129,0.0027779981531332204,1072.0,1.0
3.981824679767934,3.7431034638239993,35.482950090333844,6.674790462557182,0.00419898836331584,0.0026583883327732476,1149.0,1.0
3.9818316193165746,3.743108396423535,35.482982282187166,6.674757216212221,0.004006731568590033,0.0025408855249146145,1232.0,1.0
3.981838219795442,3.743113090479911,35.48300983784635,6.674725501933054,0.0038337802253433687,0.0024282333359193988,1321.0,1.0
3.9818445018879878,3.7431175613731593,35.48302905672502,6.674695195674216,0.0036737239866951638,0.0023182536662565423,1417.0,1.0
3.9818503675436965,3.743121739798587,35.483036567137034,6.674666753984905,0.0035287075855017732,0.0022169413544155655,1519.0,1.0
3.9818559074594653,3.743125690691045,35.483029938463815,6.674639726622958,0.0033945548886800125,0.002123016859730404,1629.0,1.0
3.981861094361168,3.743129394838686,35.48300690068404,6.674614239429103,0.0032723781556634334,0.002040077691641084,1747.0,1.0
3.9818659185571157,3.7431328453277875,35.48296580606157,6.674590340999932,0.0031538865293208084,0.001971459499542273,1873.0,1.0
3.9818704461667096,3.7431360893499654,35.482904505563454,6.674567708244377,0.003036664331644661,0.0019102858922607894,2009.0,1.0
3.981874640001502,3.743139099990252,35.48282221553736,6.674546537138683,0.002921595109534956,0.0018501343114514612,2154.0,1.0
3.9818785607750176,3.7431419203826124,35.48271677450774,6.674526537320087,0.002809090061454284,0.0017916518106419737,2310.0,1.0
3.9818822107507863,3.7431445516059387,35.4825871306069,6.674507716564687,0.002697345146598246,0.0017325045835671752,2477.0,1.0
3.98188561892953,3.7431470138658263,35.48243156185072,6.674489949898568,0.0025868356523044075,0.0016723818788414607,2656.0,1.0
3.9818888108581874,3.7431493248462804,35.482248192233456,6.674473131301312,0.0024785376323191097,0.001611715271092648,2848.0,1.0
3.981891795332581,3.743151490063166,35.48203608724289,6.674457244663649,0.0023727394386874852,0.0015490198960013382,3053.0,1.0
3.981894620561812,3.7431535436563443,35.48179107833286,6.674442063350281,0.0022674382840742096,0.0014855778239623182,3274.0,1.0
3.9818972869731084,3.7431554851461506,35.48151203447815,6.674427613885888,0.0021622379384588623,0.0014208565239831334,3511.0,1.0
3.981899797645541,3.7431573159926597,35.48119813590795,6.674413908632746,0.002058638813516544,0.0013545132677703618,3764.0,1.0
3.981902189312052,3.743159062316561,35.48084358663618,6.674400772405845,0.0019532446593457835,0.001285424899927237,4037.0,1.0
3.9819044393254135,3.7431607070205164,35.48045038450416,6.6743883514854865,0.00185045935858051,0.0012149300539950323,4328.0,1.0
3.981906572187837,3.7431622675548475,35.48001285111069,6.674376529028597,0.0017490632349039345,0.001143700862347085,4641.0,1.0
3.98190858341453,3.7431637402985434,35.47952952106324,6.674365343963723,0.0016517706836406917,0.0010727823510715989,4977.0,1.0
3.9819104632769857,3.7431651178606025,35.479000941007605,6.674354861489638,0.0015569276030142148,0.0010026283341065204,5336.0,1.0
3.981912222061263,3.743166407576606,35.47842239405345,6.674345032461119,0.0014612799416930415,0.0009346875453864438,5722.0,1.0
3.9819138492727824,3.7431676015890254,35.4777959053037,6.674335921520228,0.0013677882590349185,0.0008730702804664747,6135.0,1.0
3.9819153516157986,3.7431687046698467,35.477118578012856,6.674327495614596,0.0012772853770408063,0.0008147032154505496,6579.0,1.0
3.981916722055221,3.743169711505244,35.476394966747776,6.674319797627112,0.0011897459822697398,0.0007574908369297608,7054.0,1.0
3.98191796772387,3.743170627176161,35.475625168345104,6.6743127902152315,0.0011040487350664897,0.0007014840097991482,7564.0,1.0
3.981919090505606,3.7431714529013274,35.47481419594144,6.674306464875825,0.0010194521910449482,0.000648884699143781,8111.0,1.0
3.9819200941982125,3.7431721913070994,35.47396900529399,6.674300801756949,0.0009376952458310536,0.0005989728636987769,8697.0,1.0
3.9819209867096,3.7431728480625193,35.47309571045545,6.674295757093626,0.0008605172085914452,0.0005505201041549525,9326.0,1.0
3.9819217730228242,3.743173426722647,35.47220521956097,6.674291302794322,0.000786059452033777,0.0005034452486033454,10000.0,1.0
3.98192245999188,3.7431739322725175,35.47130861095334,6.674287399365914,0.0007149045738993671,0.0004580288474577748,10722.0,1.0
3.9819230557978624,3.7431743707335574,35.47041589235151,6.674283999043063,0.0006472438906901968,0.0004141499188603847,11497.0,1.0
3.981923566433247,3.7431747465698777,35.46954035186479,6.674281066170943,0.0005839588783644104,0.00037332556646827667,12328.0,1.0
