complexity,mse
2.3841858e-07,10.5
2.3841858e-07,2.582427
0.0,1.411566
0.0,0.9525975
1.1920929e-07,0.71538633
0.0,0.572084
1.1920929e-07,0.47554976
-1.1920929e-07,0.40474302
2.3841858e-07,0.3491129
-1.1920929e-07,0.30306125
0.0,0.26360375
-1.1920929e-07,0.22911628
0.0,0.19869342
5.9604645e-08,0.17180559
-5.9604645e-08,0.14808658
0.0,0.12723556
5.9604645e-08,0.10899584
0.0,0.09311745
0.0,0.07935916
8.940697e-08,0.06748755
0.0,0.05728546
0.0,0.048546586
0.0,0.041083727
0.0,0.034726348
0.0,0.029323008
0.0,0.024739137
0.0,0.020856598
0.0,0.017572058
0.0,0.014797087
8.940697e-08,0.012454876
8.940697e-08,0.010479392
0.0,0.0088142995
-1.7136335e-07,0.007412021
0.0,0.0062313983
0.0,0.0052377433
-1.7136335e-07,0.0044018663
-1.7136335e-07,0.0036989616
8.568168e-08,0.0031078178
0.0,0.0026110492
0.0,0.0021933943
0.0,0.0018424549
0.0,0.0015475744
8.568168e-08,0.0012998693
8.568168e-08,0.0010917106
8.568168e-08,0.0009168843
0.0,0.000770032
0.0,0.00064668903
0.0,0.0005430845
0.0,0.0004560681
0.0,0.00038300233
0.0,0.0003216329
0.0,0.00027009044
0.0,0.00022680208
0.0,0.00020893247
0.0,0.00020246301
0.0,0.00019722842
0.0,0.00019313606
0.0,0.00019012603
0.0,0.00018814387
0.0,0.00018715994
0.0,0.00017760466
0.0,0.00017838276
0.0,0.00017061234
0.0,0.00017301147
0.0,0.00016678053
0.0,0.00017076195
0.0,0.00016590884
0.0,0.00016175909
0.0,0.00015826519
-1.7206185e-07,0.00015538985
0.0,0.00015309929
0.0,0.00015137308
0.0,0.00015018591
0.0,0.00014953237
0.0,0.00014940243
0.0,0.00014029628
0.0,0.00014103408
0.0,0.00014226942
0.0,0.00013453589
0.0,0.00013654897
0.0,0.00012969066
0.0,0.00013243745
0.0,0.00012633609
0.0,0.00012980434
0.0,0.00012436749
0.0,0.00012856332
0.0,0.00012371661
0.0,0.00011925907
0.0,0.00012436767
0.0,0.00012041243
0.0,0.00011678698
0.0,0.00011346807
0.0,0.00011043801
0.0,0.0001167872
0.0,0.00011416378
0.0,0.00011179622
0.0,0.00010966859
0.0,0.00010776966
0.0,0.000106088824
0.0,0.00010461634
0.0,0.00010334486
0.0,0.00010226825
0.0,0.00010137775
-1.7194543e-07,0.0001006724
0.0,0.00010014697
0.0,9.979652e-05
0.0,9.962351e-05
0.0,9.962275e-05
0.0,9.979722e-05
0.0,9.10513e-05
0.0,9.1451075e-05
0.0,9.201163e-05
0.0,9.2736955e-05
0.0,9.3632356e-05
0.0,9.470127e-05
0.0,8.678088e-05
0.0,8.800238e-05
0.0,8.939672e-05
0.0,9.097222e-05
0.0,8.358226e-05
0.0,8.527787e-05
0.0,8.716135e-05
0.0,8.022068e-05
0.0,8.220652e-05
0.0,8.4389176e-05
0.0,7.780569e-05
0.0,8.0080994e-05
0.0,8.256672e-05
0.0,7.625794e-05
0.0,7.8831334e-05
0.0,8.16343e-05
0.0,7.552884e-05
0.0,7.841927e-05
0.0,7.261773e-05
0.0,7.559466e-05
0.0,7.883107e-05
0.0,7.312742e-05
0.0,7.6457865e-05
0.0,7.098727e-05
0.0,7.44155e-05
0.0,6.915148e-05
0.0,7.268106e-05
0.0,6.759929e-05
0.0,7.1235765e-05
0.0,6.6312714e-05
0.0,7.006313e-05
0.0,6.5278226e-05
0.0,6.915128e-05
0.0,6.448472e-05
0.0,6.849018e-05
0.0,6.392355e-05
0.0,6.807248e-05
0.0,6.358933e-05
0.0,6.789445e-05
-1.7194543e-07,6.3479034e-05
0.0,6.7953624e-05
0.0,6.358946e-05
0.0,5.9505146e-05
0.0,6.392344e-05
0.0,5.9870155e-05
0.0,6.448484e-05
0.0,6.0448387e-05
0.0,6.5278e-05
0.0,6.124529e-05
0.0,5.7462497e-05
0.0,6.227045e-05
0.0,5.8475016e-05
0.0,6.3533866e-05
0.0,5.971386e-05
0.0,5.6123226e-05
