complexity,mse
0.8917594,2.2934809
0.89187765,2.2930293
0.58600855,4.8548727
0.8919039,2.2929332
0.88688135,2.3129191
0.89189196,2.2929769
0.89005995,2.3005042
0.89186,2.293101
