complexity,mse
4.107712,2.0063114
4.1102257,1.9992528
4.11273,1.9922434
4.115224,1.9852834
4.117712,1.9783719
4.120263,1.9715089
4.1227303,1.9646943
4.1251917,1.9579265
4.1276445,1.9512056
4.130089,1.9445306
4.1325226,1.9379011
4.134948,1.931317
4.1373672,1.9247773
4.139777,1.9182825
4.1421804,1.911831
4.144575,1.9054229
4.146961,1.8990581
4.1493397,1.8927355
4.1517086,1.886455
4.154155,1.8802205
4.1565094,1.8740239
4.1588564,1.867868
4.161194,1.8617525
4.1635256,1.8556774
4.1658497,1.8496416
4.1681643,1.8436452
4.170473,1.8376877
4.1727743,1.8317685
4.175068,1.8258878
4.177355,1.8200445
4.179632,1.814239
4.181905,1.8084702
4.184168,1.8027383
4.186426,1.7970428
4.188675,1.791383
4.190918,1.7857592
4.1931562,1.7801708
4.195383,1.774617
4.197604,1.7690982
4.1998196,1.7636137
4.2020273,1.7581632
4.2042294,1.7527465
4.206423,1.7473631
4.2086105,1.742013
4.2107906,1.7366955
4.212965,1.7314107
4.215231,1.7261653
4.21739,1.7209451
4.2195444,1.7157562
4.221693,1.7105987
4.223834,1.7054724
4.2479,1.6489094
4.252164,1.6390872
4.256401,1.6293817
4.2606125,1.6197909
4.264802,1.6103129
4.2689657,1.600946
4.2731056,1.5916879
4.27722,1.5825367
4.281311,1.573491
4.2853804,1.5645485
4.289423,1.5557076
4.2934456,1.5469666
4.2974453,1.5383239
4.301421,1.5297778
4.305376,1.5213267
4.309309,1.5129689
4.313218,1.5047033
4.31711,1.4965277
4.320977,1.4884412
4.3248253,1.4804422
4.3286514,1.4725293
4.3323536,1.4646944
4.336138,1.4569502
4.339903,1.4492879
4.343649,1.4417064
4.347372,1.4342045
4.35108,1.4267807
4.354766,1.4194341
4.358433,1.412163
4.3620815,1.404967
4.365711,1.3978443
4.3693237,1.3907939
4.372916,1.3838149
4.3764915,1.3769063
4.3800488,1.3700668
4.383588,1.3632953
4.387109,1.356591
4.3906145,1.3499527
4.394001,1.3433766
4.3974714,1.336869
4.400923,1.3304249
4.404357,1.3240428
4.407777,1.3177226
4.4111805,1.3114626
4.414564,1.3052626
4.4179354,1.2991214
4.4212894,1.2930381
4.4246273,1.287012
4.4278584,1.2810408
4.431164,1.2751282
4.434455,1.2692703
4.43773,1.2634667
4.4409914,1.2577164
4.444236,1.2520187
4.447466,1.2463728
4.4506845,1.2407782
4.4538,1.2352337
4.4569845,1.229741
4.4601574,1.224297
4.463314,1.2189018
4.4664593,1.2135543
4.4695873,1.2082539
4.472705,1.2030003
4.475727,1.1977935
4.478815,1.1926326
4.4818897,1.1875163
4.48495,1.1824445
4.487999,1.1774161
4.4910326,1.1724308
4.4939804,1.1674895
4.49699,1.1625901
4.4999857,1.157732
4.502968,1.152915
4.5059376,1.148138
4.508896,1.1434011
4.511773,1.1387066
4.5147038,1.1340492
4.517625,1.1294303
4.5205336,1.1248493
4.523429,1.1203057
4.526249,1.1158023
4.5291233,1.1113336
4.5319815,1.1069008
4.534831,1.1025039
4.537668,1.0981419
4.540436,1.0938189
4.543249,1.0895274
4.546052,1.0852699
4.5488443,1.081046
4.5516243,1.0768552
4.5543394,1.0727018
4.5570974,1.0685773
4.559845,1.0644851
4.562581,1.0604241
4.5653086,1.0563943
4.567971,1.0524012
4.5706778,1.0484343
4.573371,1.0444973
4.5760555,1.0405902
4.578681,1.0367179
4.5813446,1.0328705
4.5839977,1.029052
4.5866413,1.0252618
4.5892315,1.0215052
4.591852,1.0177722
4.594467,1.0140667
4.5970716,1.0103884
4.5996227,1.0067425
4.602207,1.0031186
4.604782,0.99952114
4.6073484,0.99594957
4.6099033,0.99240375
4.6124105,0.9888902
4.6149464,0.9853961
4.6174765,0.9819267
4.619996,0.978482
4.622467,0.97506857
4.6249676,0.97167337
4.6274605,0.9683019
4.629944,0.964954
4.6323824,0.96163654
4.6348467,0.95833606
4.6373043,0.9550582
4.639719,0.9518095
4.6421585,0.94857776
4.6445885,0.9453679
4.6470127,0.9421799
4.649395,0.9390205
4.6518,0.9358765
4.6541996,0.9327537
4.6565905,0.92965174
4.6589394,0.92657816
4.661313,0.9235184
4.663678,0.92047894
4.6660366,0.9174597
4.668356,0.91446835
4.670698,0.9114894
4.6730328,0.9085302
4.675329,0.9055977
4.6776485,0.9026778
4.6799583,0.8997766
4.6822634,0.8968943
4.684533,0.89403856
4.686819,0.891194
4.6891003,0.8883675
4.691347,0.885567
4.693613,0.88277715
4.6958723,0.880005
4.698098,0.87725806
4.700343,0.8745215
4.7025805,0.8718021
4.7047853,0.86910737
4.7070084,0.8664224
4.7092237,0.86375415
4.7114067,0.8611103
4.7136116,0.85847557
4.715806,0.855857
4.7179728,0.85326254
4.720153,0.8506766
4.722328,0.84810627
4.724473,0.84556
4.726635,0.8430214
4.7287893,0.84049803
4.730917,0.8379986
4.733057,0.8355061
4.7351704,0.8330368
4.737299,0.8305745
4.739421,0.8281268
4.741516,0.82570237
4.7436256,0.8232841
4.7457066,0.8208885
4.7478027,0.8184991
4.749875,0.81613207
4.751958,0.813771
4.754037,0.8114234
4.7560883,0.8090986
4.758156,0.8067788
4.7601957,0.80448115
4.762251,0.80218834
4.7642765,0.7999177
4.76632,0.7976514
4.768338,0.79540706
4.7703686,0.7931669
4.772373,0.7909485
4.774393,0.788734
4.7763853,0.7865411
4.7783756,0.78436077
4.7803774,0.78218406
4.7823553,0.7800285
