complexity,accuracy,distortion,mse,sender_delta,receiver_delta,round,run
0.6972543696061457,0.3389094541135922,4.772761873871138,1672.990495584587,65.05460514387744,66.16865919426839,1.0,1.0
0.46421959347252617,0.3987313325304367,4.712939995454294,1607.4832251445264,49.23773872039145,46.22646330533795,2.0,1.0
1.28539696983119,1.1848876991018038,3.9267836288829265,1366.8703840317182,66.18559937639671,57.50293304314489,3.0,1.0
2.7802783529780903,2.62307383706745,2.4885974909172806,740.0816612817148,46.09521279466656,43.92237152800016,4.0,1.0
3.808624856115104,3.6194303583443315,1.4922409696403989,247.98460149475164,21.375635158378007,24.739784688367045,5.0,1.0
4.169666458511259,3.96613868238766,1.1455326455970702,76.93587272861612,10.846150847260528,13.289518815213453,6.0,1.0
4.293741087748343,4.082324530200822,1.0293467977839086,25.792828025151678,6.279881540099839,8.8925281829001,7.0,1.0
4.350586379346421,4.133733376151593,0.9779379518331375,9.670404685594917,4.346666327887839,5.957182524100698,8.0,1.0
4.380248588221887,4.159233674227988,0.9524376537567427,5.4027672535891575,3.6141439587638846,3.85830220410557,9.0,1.0
4.397944101769792,4.173689528445639,0.9379817995390916,4.035328016617187,3.194111381117646,2.6183200327377913,10.0,1.0
4.410201197503158,4.1834033726071365,0.9282679553775939,3.6088542469752163,2.860365194021491,1.9756296374555182,11.0,1.0
4.419438871629998,4.190623433821916,0.9210478941628146,3.52961054998906,2.5762021500457117,1.5953714281003168,12.0,1.0
4.426827597942076,4.196370794335964,0.9153005336487663,3.5027478673434813,2.3445133537469527,1.3912605775998728,13.0,1.0
4.432974715094966,4.201142380804066,0.9105289471806639,3.4831844223116812,2.152527492333,1.2347917122124126,14.0,1.0
4.438230219802646,4.205214733078085,0.9064565949066452,3.466879778215122,1.9953096880981638,1.1082706152895927,15.0,1.0
4.442806452172318,4.2087540918055915,0.9029172361791389,3.452936221120928,1.8617792831169035,1.0060497653852947,16.0,1.0
4.446833336979134,4.211862364122123,0.8998089638626077,3.4408243493516677,1.7410109397130147,0.9197442832526692,17.0,1.0
4.450391658653649,4.214603421616339,0.8970679063683917,3.4302166951331645,1.6264813938496192,0.8452449471850507,18.0,1.0
4.453534557161815,4.217019813144736,0.8946515148399943,3.4209020715350404,1.52069651366339,0.7767131203676609,19.0,1.0
4.456300999225601,4.21914311018803,0.8925282177967002,3.412732888202929,1.4232566112126936,0.7134118226794823,20.0,1.0
4.458723829190976,4.2210000145957025,0.8906713133890278,3.40559347861395,1.3297344604446324,0.6559182988003878,21.0,1.0
4.460834114000141,4.222615611894311,0.8890557160904198,3.3993821655659273,1.2418282065176853,0.6028331486981364,22.0,1.0
4.462662955601109,4.224014709673678,0.8876566183110519,3.3940024897296928,1.1593881614263344,0.5539353494529182,23.0,1.0
4.464241676763132,4.22522197387628,0.8864493541084499,3.3893603617019075,1.080938037740529,0.5096631505382427,24.0,1.0
4.465601134459993,4.226261439238842,0.8854098887458886,3.385364589127785,1.0071680702881696,0.4700550794359601,25.0,1.0
4.466770754689428,4.227155833050176,0.8845154949345542,3.381928806203901,0.9385180017556995,0.4350623024689994,26.0,1.0
