complexity,accuracy,distortion,mse,sender_delta,receiver_delta,round,run,min_distance_to_curve,min_epsilon,min_beta
5.362607289321491,3.881332222414001,1.230339105749236,2018.978007199555,123.17514775982356,119.5843541365173,1.0,1.0,0.7713091035369064,1.107179258185853,1.215723564722212
3.5370232703959097,3.270533000075522,1.8411383280877145,744.6298333695248,41.123013490425365,38.158657254664206,2.0,1.0,0.14538983949018558,0.1983116378116573,1.0802730296629401
3.222953449898794,3.0821271760570372,2.029544152106199,420.676921286122,25.76287484289709,23.868116362735712,3.0,1.0,0.06975188613133818,0.0960814659166899,1.058704538351176
3.0643755080554236,2.9688477583018127,2.1428235698614237,279.3203679489991,18.980217081539116,17.36866808429242,4.0,1.0,0.04394645244501134,0.059718488321773525,1.0495932305582276
2.9616676934352864,2.889477232881914,2.2221940952813224,203.6074877820696,14.876634291737012,13.9069678425665,5.0,1.0,0.03013467797910863,0.04133622634018041,1.0435626297753913
2.8907717064147125,2.832760053229629,2.2789112749336073,157.74551324116413,12.073650895359524,11.668419247762,6.0,1.0,0.037908751587632114,0.030165853231197186,1.0405603355109423
2.8401652870338943,2.7916063789515384,2.320064949211698,127.59172567777628,10.033080818214296,10.040152352170727,7.0,1.0,0.03226733625360693,0.022736031861662384,1.037566678745186
2.8022624657975985,2.7603928367327413,2.351278491430495,106.79785587830574,8.5292293825431,8.72982564443039,8.0,1.0,0.013003615173740062,0.017419082100768545,1.037566678745186
2.772152289024749,2.735219956049983,2.3764513721132534,92.08223833241308,7.405893142882796,7.420640288102575,9.0,1.0,0.0379046413407752,0.013586186459890705,1.0345816346283316
2.7468303105157688,2.713659584404148,2.3980117437590884,81.51011194053898,6.505750451187605,6.394933707351461,10.0,1.0,0.008405661023036994,0.01067098492577341,1.0345816346283316
2.724651321747089,2.6944188238680375,2.417252504295199,73.45246529771124,5.767721658088121,5.642289131432362,11.0,1.0,0.026593712731136053,0.008474105331487404,1.0345816346283316
2.7047166754187977,2.6768257644319338,2.4348455637313027,67.05723028224797,5.151994285135169,5.0803182130326725,12.0,1.0,0.03381195239144202,0.0067909620666898865,1.0316051783820808
2.6864717725594733,2.660477791480808,2.451193536682428,61.91523086055403,4.619088041978166,4.630404229298305,13.0,1.0,0.00979622642418454,0.005452999311347981,1.0316051783820808
2.669586016236435,2.6451497505831245,2.466521577580112,57.75394089818488,4.163386576082356,4.262718824846795,14.0,1.0,0.01417192267687063,0.004412611010642987,1.0316051783820808
2.6538555181590304,2.630713101666601,2.480958226496636,54.37709036203102,3.771712763688698,3.947791372945397,15.0,1.0,0.03525119760976636,0.003600695450129157,1.0316051783820808
2.6391463894109286,2.6170892001249246,2.494582128038312,51.635800760285946,3.4249786367025497,3.6635889296822426,16.0,1.0,0.0385840426379279,0.0029553479981476866,1.0286372852994212
2.6253658795049972,2.604226704344372,2.507444623818865,49.411760792569304,3.121706917394014,3.4051966094234416,17.0,1.0,0.019755486997232834,0.0024209835803850953,1.0286372852994212
2.6124472948038857,2.592090548975376,2.5195807791878604,47.60854921100717,2.849141668810322,3.167459051154851,18.0,1.0,0.0024251315714537303,0.0019982079386782975,1.0286372852994212
2.600340303272816,2.580654952136726,2.5310163760265105,46.14755870530398,2.6048572731938444,2.9422762523356596,19.0,1.0,0.014743860411338806,0.001663872164448573,1.0286372852994212
2.5890037553267433,2.569898085706363,2.5417732424568733,44.96540448466829,2.3890618634025724,2.7288638233944233,20.0,1.0,0.03033875248058769,0.0013998004000883605,1.0286372852994212
2.5784007846115973,2.559798470011888,2.551872858151349,44.01139159356936,2.1946566278675723,2.5300443661742875,21.0,1.0,0.0449727677473648,0.0011916323240584515,1.0286372852994212
2.5684960708400872,2.550333159994098,2.5613381681691383,43.24497353615697,2.018497608095216,2.349989694371009,22.0,1.0,0.044808290793166596,0.0010172543220856216,1.025677930744422
2.559254687791208,2.5414772650977593,2.570194063065477,42.63350013746574,1.859186714627367,2.185865029129752,23.0,1.0,0.0320092021249551,0.0008631249487479229,1.025677930744422
2.5506418541431763,2.5332041986623413,2.578467129500895,42.15041528383814,1.714817015715071,2.0358797397570565,24.0,1.0,0.020067991746813153,0.0007389807297641213,1.025677930744422
2.542623082845127,2.525486204272374,2.5861851238908624,41.77389515191918,1.5841841339701108,1.896619147444744,25.0,1.0,0.008943348887526771,0.0006389544158740762,1.025677930744422
2.535164444744309,2.5182949094478957,2.5933764187153407,41.48584216148057,1.46613430461473,1.7672512427107323,26.0,1.0,0.001483859344198133,0.0005583387533978376,1.025677930744422
2.5282328184039677,2.511601802080307,2.6000695260829296,41.27114147407468,1.358261701530048,1.646688818773858,27.0,1.0,0.011070134311263587,0.0004933536120544271,1.025677930744422
2.5217960842562395,2.505378603866797,2.6062927242964395,41.11710399497607,1.2592892905489126,1.534242646364946,28.0,1.0,0.020020105421282346,0.00044096184279424907,1.025677930744422
2.51582326048368,2.4995975493957676,2.612073778767469,41.01304066568884,1.1689304582440112,1.4296202295420743,29.0,1.0,0.028331352136987373,0.000398722672100465,1.025677930744422
2.510284591805542,2.4942315900989236,2.617439738064313,40.94992992989195,1.086201339781809,1.3314983974909156,30.0,1.0,0.03604252440992283,0.000364674313404818,1.025677930744422
2.505151604330555,2.489254542108945,2.6224167860542913,40.92015251632886,1.0107919392561555,1.2398943204310404,31.0,1.0,0.0431919515414031,0.00033723958894907037,1.025677930744422
2.5003971371742466,2.484641193125914,2.627030135037323,40.9172759798927,0.9416289518197885,1.1541432119097703,32.0,1.0,0.049816566613236225,0.0003151498891399759,1.025677930744422
2.495995358119126,2.480367378963088,2.6313039492001487,40.9358769294875,0.8779666404833015,1.0738975048988078,33.0,1.0,0.05595168561482248,0.000297383894902808,1.025677930744422
2.4919217676508225,2.476410036790785,2.6352612913724514,40.97139248599625,0.8193804503350768,0.99866736219483,34.0,1.0,0.05402301706116956,0.00027792018170107657,1.0227270901520287
2.4881531936484684,2.472747239532108,2.6389240886311285,41.019994913523355,0.7659761209538201,0.9284063141519748,35.0,1.0,0.04876771311318833,0.0002558888691573187,1.0227270901520287
2.4846677778033257,2.4693582142743846,2.642313113888852,41.07848498401302,0.71719797509554,0.8630465125156725,36.0,1.0,0.043906273892851545,0.00023695135880250596,1.0227270901520287
2.481444954286328,2.4662233467005343,2.645447981462702,41.14420074486659,0.6720277830141234,0.8020878822010495,37.0,1.0,0.03941028119375915,0.0002206131534859232,1.0227270901520287
2.478465421058999,2.4633241731654696,2.648347154997767,41.214939135377435,0.6302827621757225,0.7452313877470069,38.0,1.0,0.035253025143519585,0.00020646479063773563,1.0227270901520287
2.4757111043332305,2.460643361938926,2.6510279662243104,41.28888845121224,0.591847893868569,0.6923518554687215,39.0,1.0,0.031409465644126056,0.00019416584899408353,1.0227270901520287
2.4731651168910886,2.458164685157207,2.653506643006029,41.36457005798637,0.5566138234052369,0.6432279334110449,40.0,1.0,0.027856182947835127,0.00018343224288088137,1.0227270901520287
2.470811711183035,2.455872983074098,2.6557983450891385,41.44078805196058,0.5240882724701124,0.5976403783554082,41.0,1.0,0.024571319137980472,0.00017402611177054115,1.0227270901520287
2.468636228276173,2.453754122218159,2.6579172059450773,41.5165857893621,0.4940826726239657,0.5553547048283808,42.0,1.0,0.021534512409923583,0.00016574774571168538,1.0227270901520287
2.4666250438007076,2.4517949490252455,2.659876379137991,41.59120837718979,0.4664442655299951,0.5161903289964282,43.0,1.0,0.018726826082372243,0.00015842910044930092,1.0227270901520287
2.464765512040051,2.449983240417078,2.6616880877461586,41.664070352409645,0.4410262313537322,0.4799410138556514,44.0,1.0,0.016130674212107957,0.00015192855139200601,1.0227270901520287
2.463045909239419,2.4483076526494756,2.663363675513761,41.734727883520485,0.4175679432821763,0.4464232089912745,45.0,1.0,0.013729745559391843,0.00014612661377321208,1.0227270901520287
2.4614553770870575,2.4467576695721096,2.664913658591127,41.80285491583367,0.3959285392173043,0.4155036535248921,46.0,1.0,0.011508927500708997,0.0001409224200904734,1.0227270901520287
2.459983867171468,2.44532355124446,2.6663477769187764,41.868222754564925,0.376036133890704,0.3869850485767995,47.0,1.0,0.009454231396833076,0.0001362307956433836,1.0227270901520287
2.4586220870548487,2.443996283654118,2.667675044509119,41.93068264156568,0.3576317556846063,0.3606904605094076,48.0,1.0,0.0075527211099480724,0.0001319798120354974,1.0227270901520287
2.4573614484422546,2.4427675300973792,2.668903798065857,41.99015093474107,0.3406435986453084,0.3364652647879,49.0,1.0,0.005792447561077465,0.00012810872752515572,1.0227270901520287
2.456194017778635,2.441629584616093,2.6700417435471433,42.046596545676294,0.3249196643482973,0.3141749411367001,50.0,1.0,0.00416239781988444,0.00012456624505169584,1.0227270901520287
2.455112469477605,2.440575327743323,2.671096000419914,42.1000303319684,0.3104204432144486,0.2937118212270407,51.0,1.0,0.002652499520473705,0.00012130903469595089,1.0227270901520287
2.4541100418802504,2.4395981846957504,2.672073143467486,42.150496177123074,0.2970634949601077,0.2749708154497438,52.0,1.0,0.001254056529644932,0.00011830047876914448,1.0227270901520287
2.453180495959213,2.438692086061181,2.6729792421020555,42.19806352327177,0.2847742571745673,0.2577985832395049,53.0,1.0,9.497778278701042e-05,0.00011550960607130899,1.0227270901520287
2.4523180767214363,2.437851430962896,2.6738198972003406,42.24282115087494,0.2733963759051346,0.2420780862238911,54.0,1.0,0.001253854445053254,0.00011291018799415708,1.0227270901520287
2.451517477219399,2.4370710526357833,2.674600275527453,42.284872025380594,0.2628481530416436,0.2276776684869215,55.0,1.0,0.0023705794665567215,0.00011047997336917104,1.0227270901520287
2.4507738050523784,2.4363461863179143,2.675325141845322,42.32432905380947,0.2530659945139674,0.2146713247193765,56.0,1.0,0.003408638393024352,0.0001082000425648376,1.0227270901520287
2.4500825512231543,2.435672439342948,2.6759988888202884,42.36131161470093,0.2440071563100617,0.2027939267198542,57.0,1.0,0.00437369722984263,0.00010605426385283017,1.0227270901520287
2.4494395612082425,2.4350457633093043,2.676625564853932,42.39594274300904,0.235602959980107,0.1919445542769876,58.0,1.0,0.0052714270388023845,0.00010402883734824348,1.0227270901520287
