complexity,accuracy
6.624161149365187,5.109282722732223
6.6194120204285785,5.108612179744548
6.613495968708776,5.107746454390883
6.606086996306892,5.10662122785677
6.596827620782067,5.105159620748853
6.5852108074520945,5.103250634814019
6.570514814431064,5.100732137951711
6.552151389000212,5.097444246601025
6.52876747283405,5.093062239256016
6.499125870521572,5.087233131207729
6.461337111490232,5.079417089453796
6.413513100288594,5.068987693998545
6.353270191893347,5.055103434120536
6.278371307249564,5.036816873376861
6.186088244934638,5.012884913339851
6.075766365056545,4.982408958666725
5.94917378333257,4.945067319456158
5.808793110968825,4.900651764278976
5.631738646215043,4.839961250015106
5.4751826925866,4.781068195966856
5.318135127878219,4.716090244487339
5.153337902733174,4.640220961465945
4.938523196473917,4.528029449432058
4.688565655666261,4.377721743307962
4.240688799828843,4.059741718898814
0.8751126869613342,0.8547395859557912
0.005095653333514156,0.004943380980329044
0.00024933418434138605,0.000239028032521757
4.513213292930689e-06,4.286461366213262e-06
1.8602104085555756e-12,1.741932282551157e-12
