accuracy,complexity
-3.360213841126053e-16,1.0297779764570879e-16
6.5153527751783545e-16,1.915015795487809e-14
2.6737840056378553e-14,1.0728509249547587e-12
2.5266792779237387e-13,1.0185702701260549e-11
1.4682971229880034e-12,5.915587672942888e-11
5.8588601337536946e-12,2.3606090747141157e-10
1.6736352760326605e-11,6.74349877131925e-10
4.0859706722637546e-11,1.6463240141324928e-09
9.744297698626089e-11,3.926198989914621e-09
1.034585993217097e-10,4.168582095770451e-09
1.5007121228090656e-10,6.046690428844855e-09
2.1591191093303056e-10,8.699585085880164e-09
3.3402296986837106e-10,1.3458523355261884e-08
4.6041799740977504e-10,1.855125605554192e-08
7.04446179947154e-10,2.8383703963068794e-08
1.0335030634106679e-09,4.164215192731195e-08
1.4917283369546997e-09,6.0105058865879e-08
1.939222272830832e-09,7.81355908067948e-08
3.0155190567889377e-09,1.2150200370043953e-07
3.568629707738361e-09,1.4378805655072365e-07
5.178895610494688e-09,2.086692883335163e-07
6.575719436702593e-09,2.6495043813558896e-07
