,complexity,accuracy,distortion,mse,gNID,eps,beta,run,discr_need
0,7.123896192338721,5.589554911602738,1.2351128177631416,8289.464324254808,,,,0,10.0
1,8.11326229463022,6.571607799008227,0.2530599303576526,2352.245451287125,,,,1,10.0
2,8.123897974506079,6.584328949428999,0.2403387799368808,1760.3458513803523,,,,2,10.0
3,8.127671038019207,6.590380087366629,0.2342876419992503,1996.7009747430016,,,,3,10.0
4,8.10262652977894,6.561043805127323,0.2636239242385567,2952.7768885638156,,,,4,10.0
5,8.155686534824458,6.615747833856325,0.2089198955095543,2216.206343298856,,,,5,10.0
6,8.026126273616764,6.486187569564308,0.3384801598015716,2654.0584080964077,,,,6,10.0
7,0.967390598175248,0.6658195288135325,6.158848200552347,17166.205002061604,,,,7,10.0
0,7.837477062493823,6.659022271846405,0.1656454575194743,1.3050929011253034,,,,0,0.0
1,7.955518628389672,6.698576268826853,0.1260914605390262,1.2246270458384243,,,,1,0.0
2,7.987125107645859,6.708221569055315,0.1164461603105646,1.2084004711995129,,,,2,0.0
3,7.989419253853349,6.711390090414483,0.1132776389513967,1.1974986956202511,,,,3,0.0
4,7.988209392291568,6.708241351783311,0.1164263775825684,149.1922275008974,,,,4,0.0
5,8.075859567336332,6.7392180753043895,0.0854496540614899,1.1436517638610528,,,,5,0.0
6,8.065105047183504,6.7322275388295605,0.092440190536319,1.1634345443248884,,,,6,0.0
7,4.603558519174818,3.394827705280356,3.4298400240855234,11260.211545901306,,,,7,0.0
0,6.782883759388021,5.25495058503194,1.5697171443339393,8672.39362297107,,,,0,1.0
1,8.136019189963331,6.594432806646008,0.2302349227198714,2437.8483446460705,,,,1,1.0
2,8.170095183832652,6.628441117852578,0.1962266115133015,1113.4073730346172,,,,2,1.0
3,8.109489221427227,6.56790283292302,0.2567648964428599,2362.5775664209277,,,,3,1.0
4,8.154201009119756,6.616910489492696,0.2077572398731835,1708.324858746151,,,,4,1.0
5,8.117035364106002,6.575384960287019,0.2492827690788601,2243.839704135405,,,,5,1.0
6,8.058716839118196,6.517503792558225,0.3071639368076546,2049.1163673568626,,,,6,1.0
7,2.358956733948924,1.686854358178639,5.1378133711872405,15203.688315038666,,,,7,1.0
0,7.882407062290893,6.660848611923523,0.1638191174423564,1.346153856329796,,,,0,-1.0
1,7.883273708315164,6.664469165559453,0.1601985638064267,1.3497273564769108,,,,1,-1.0
2,7.909538378588845,6.679430893570604,0.1452368357952753,1.2738085745023855,,,,2,-1.0
3,7.919916943473497,6.685721971508501,0.1389457578573782,1.2519050941937522,,,,3,-1.0
4,7.974021189553955,6.707340534373122,0.1173271949927574,1.2048152035967292,,,,4,-1.0
5,7.949778659755767,6.697635401470485,0.1270323278953942,1.225644154801899,,,,5,-1.0
6,7.8828127417902625,6.670573415166469,0.1540943141994102,1.2919883030908612,,,,6,-1.0
7,6.132264429292267,4.722613911544803,2.1020538178210764,6310.894471765636,,,,7,-1.0
0,4.974378005579698,4.886131986982377,1.938535742383502,47.21590538372813,0.0500992234616357,0.0203144829720258,0.7456837892532349,0,-3.0
1,5.2587486317063075,5.160812885820363,1.6638548435455167,17.032167399268758,0.023167089259269,0.0068126837722957,0.7623282074928284,1,-3.0
2,5.188447687519464,5.089939625452525,1.7347281039133549,25.326522425159524,0.0316421440054832,0.0189467184245586,0.755670428276062,2,-3.0
3,5.4072592236905805,5.3006312488964475,1.524036480469432,10.608009442872934,0.0126491502413532,0.002645896282047,0.7723149061203003,3,-3.0
4,5.359927126760933,5.25256625710238,1.5721014722634994,12.481973319979849,0.0178081522074003,0.0119544276967644,0.7689859867095947,4,-3.0
5,5.501020722857888,5.382177059521595,1.4424906698442843,8.310737515300055,0.00674781218433,0.0116313435137271,0.7789726257324219,5,-3.0
6,7.038266767044028,5.914832973198081,0.9098347561677986,8.421769645548604,0.0705493586464217,0.3808489441871643,1.4647231101989746,6,-3.0
7,7.694805599166482,6.178019133569242,0.6466485957966377,1055.342696459206,0.051589815401591,0.1161760538816452,2.633162021636963,7,-3.0
0,7.251687221557233,5.7305576727399306,1.094110056625949,6347.889668641281,,,,0,3.0
1,8.09050539637402,6.550566692204857,0.2741010371610226,1882.944256522053,,,,1,3.0
2,8.145852862268928,6.604202029357635,0.2204657000082441,2166.3434227602775,,,,2,3.0
3,8.139792249558816,6.598945654764069,0.2257220746018102,1648.7061167675188,,,,3,3.0
4,8.091307245148027,6.549721286253247,0.2749464431126327,1802.5921638569307,,,,4,3.0
